BJLGFBAK_00005	K03530
BJLGFBAK_01684	K02427
BJLGFBAK_01696	K01915
BJLGFBAK_01697	K00135
BJLGFBAK_01698	K00048
BJLGFBAK_01699	K05874
BJLGFBAK_01700	K03724
BJLGFBAK_01701	K07497
BJLGFBAK_01707	K07120
BJLGFBAK_01710	K00266
BJLGFBAK_01711	K06153
BJLGFBAK_01712	K03953
BJLGFBAK_01713	K02035
BJLGFBAK_01714	K01607
BJLGFBAK_01715	K04768
BJLGFBAK_01716	K02033
BJLGFBAK_01717	K02034
BJLGFBAK_01718	K02031
BJLGFBAK_01719	K00128
BJLGFBAK_01720	K00059
BJLGFBAK_01721	K00059
BJLGFBAK_01723	K08680
BJLGFBAK_01725	K01662
BJLGFBAK_01737	K00549
BJLGFBAK_01741	K01897
BJLGFBAK_01744	K10112
BJLGFBAK_01745	K10119
BJLGFBAK_01746	K10118
BJLGFBAK_01750	K00059
BJLGFBAK_01751	K01256
BJLGFBAK_01754	K02035
BJLGFBAK_01756	K01556
BJLGFBAK_01757	K00453
BJLGFBAK_01758	K00281
BJLGFBAK_01760	K03412
BJLGFBAK_01761	K00575
BJLGFBAK_01762	K03408
BJLGFBAK_01763	K03406
BJLGFBAK_01764	K08997
BJLGFBAK_01768	K11927
BJLGFBAK_01769	K03711
BJLGFBAK_01772	K01689
BJLGFBAK_01774	K01872
BJLGFBAK_01776	K06207
BJLGFBAK_01777	K03297
BJLGFBAK_01778	K03719
BJLGFBAK_01779	K00252
BJLGFBAK_01780	K03566
BJLGFBAK_01782	K11751
BJLGFBAK_01785	K00254
BJLGFBAK_01786	K03327
BJLGFBAK_01790	K01725
BJLGFBAK_01791	K09958
BJLGFBAK_01792	K15579
BJLGFBAK_01794	K00666
BJLGFBAK_01796	K01810
BJLGFBAK_01797	K01057
BJLGFBAK_01798	K00036
BJLGFBAK_01800	K02469
BJLGFBAK_01801	K01299
BJLGFBAK_01802	K02259
BJLGFBAK_01803	K02533
BJLGFBAK_01807	K16328
BJLGFBAK_01808	K16329
BJLGFBAK_01810	K00059
BJLGFBAK_01811	K03650
BJLGFBAK_01812	K03495
BJLGFBAK_01813	K03501
BJLGFBAK_01814	K03496
BJLGFBAK_01815	K03497
BJLGFBAK_01817	K02428
BJLGFBAK_01818	K00989
BJLGFBAK_01819	K03705
BJLGFBAK_01820	K02031
BJLGFBAK_01824	K01897
BJLGFBAK_01825	K11085
BJLGFBAK_01828	K01997
BJLGFBAK_01830	K01995
BJLGFBAK_01831	K01996
BJLGFBAK_01836	K12663
BJLGFBAK_01838	K01907
BJLGFBAK_01839	K10805
BJLGFBAK_01841	K01897
BJLGFBAK_01842	K01758
BJLGFBAK_01844	K00942
BJLGFBAK_01848	K01992
BJLGFBAK_01850	K04773
BJLGFBAK_01851	K07301
BJLGFBAK_01852	K00034
BJLGFBAK_01853	K03703
BJLGFBAK_01854	K00995
BJLGFBAK_01856	K03635
BJLGFBAK_01859	K06125
BJLGFBAK_01860	K09761
BJLGFBAK_01863	K01919
BJLGFBAK_01864	K08591
BJLGFBAK_01865	K01465
BJLGFBAK_01867	K00609
BJLGFBAK_01868	K21929
BJLGFBAK_01869	K05834
BJLGFBAK_01870	K03638
BJLGFBAK_01872	K23269
BJLGFBAK_01873	K07161
BJLGFBAK_01874	K07161
BJLGFBAK_01878	K01465
BJLGFBAK_01879	K00762
BJLGFBAK_01880	K02314
BJLGFBAK_01882	K01775
BJLGFBAK_01883	K02066
BJLGFBAK_01884	K02065
BJLGFBAK_01886	K04485
BJLGFBAK_01888	K00764
BJLGFBAK_01894	K07651
BJLGFBAK_01896	K02483
BJLGFBAK_01897	K21686
BJLGFBAK_01899	K01997
BJLGFBAK_01900	K01998
BJLGFBAK_01901	K01995
BJLGFBAK_01902	K01996
BJLGFBAK_01904	K02160
BJLGFBAK_01905	K01961
BJLGFBAK_01906	K00684
BJLGFBAK_01912	K03544
BJLGFBAK_01913	K01358
BJLGFBAK_01914	K01669
BJLGFBAK_01915	K09815
BJLGFBAK_01916	K09823
BJLGFBAK_01917	K09817
BJLGFBAK_01918	K09816
BJLGFBAK_01921	K09471
BJLGFBAK_01922	K11074
BJLGFBAK_01923	K11075
BJLGFBAK_01926	K00029
BJLGFBAK_01928	K15578
BJLGFBAK_01929	K12146
BJLGFBAK_01932	K00059
BJLGFBAK_01933	K00013
BJLGFBAK_01934	K21393
BJLGFBAK_01936	K03767
BJLGFBAK_01937	K00927
BJLGFBAK_01939	K00161
BJLGFBAK_01940	K00162
BJLGFBAK_01941	K00627
BJLGFBAK_01942	K00640
BJLGFBAK_01945	K03187
BJLGFBAK_01947	K03189
BJLGFBAK_01948	K00121
BJLGFBAK_01951	K11527
BJLGFBAK_01953	K07497
BJLGFBAK_01958	K03413
BJLGFBAK_01959	K08281
BJLGFBAK_01960	K00763
BJLGFBAK_01962	K15034
BJLGFBAK_01963	K09125
BJLGFBAK_01965	K00315
BJLGFBAK_01966	K00102
BJLGFBAK_01967	K00681
BJLGFBAK_01969	K00928
BJLGFBAK_01973	K02020
BJLGFBAK_01974	K02018
BJLGFBAK_01975	K02017
BJLGFBAK_01979	K03321
BJLGFBAK_01980	K00772
BJLGFBAK_01983	K03296
BJLGFBAK_01984	K06147
BJLGFBAK_01987	K00626
BJLGFBAK_01988	K00059
BJLGFBAK_01989	K00059
BJLGFBAK_01992	K00344
BJLGFBAK_01996	K13600
BJLGFBAK_01998	K01759
BJLGFBAK_02006	K01799
BJLGFBAK_02007	K21393
BJLGFBAK_02013	K00335
BJLGFBAK_02016	K03943
BJLGFBAK_02017	K00333
BJLGFBAK_02019	K03936
BJLGFBAK_02020	K00331
BJLGFBAK_02021	K00330
BJLGFBAK_02022	K01661
BJLGFBAK_02023	K01640
BJLGFBAK_02025	K01968
BJLGFBAK_02026	K01969
BJLGFBAK_02027	K01895
BJLGFBAK_02029	K00253
BJLGFBAK_02031	K07806
BJLGFBAK_02032	K01091
BJLGFBAK_02033	K04042
BJLGFBAK_02034	K00820
BJLGFBAK_02035	K00812
BJLGFBAK_02041	K01759
BJLGFBAK_02042	K03465
BJLGFBAK_02043	K03704
BJLGFBAK_02047	K09930
BJLGFBAK_02049	K01868
BJLGFBAK_02051	K06889
BJLGFBAK_02053	K05973
BJLGFBAK_02056	K15580
BJLGFBAK_02057	K02033
BJLGFBAK_02058	K02034
BJLGFBAK_02059	K02031
BJLGFBAK_02060	K02032
BJLGFBAK_02062	K13243
BJLGFBAK_02063	K03217
BJLGFBAK_02065	K03978
BJLGFBAK_02066	K00930
BJLGFBAK_02069	K09972
BJLGFBAK_02070	K09971
BJLGFBAK_02071	K09970
BJLGFBAK_02073	K07556
BJLGFBAK_02074	K01091
BJLGFBAK_02075	K06180
BJLGFBAK_02076	K06199
BJLGFBAK_02077	K07478
BJLGFBAK_02078	K04771
BJLGFBAK_02079	K02879
BJLGFBAK_02080	K03040
BJLGFBAK_02081	K02948
BJLGFBAK_02082	K02952
BJLGFBAK_02083	K00939
BJLGFBAK_02084	K03076
BJLGFBAK_02085	K02876
BJLGFBAK_02086	K03320
BJLGFBAK_02087	K02907
BJLGFBAK_02088	K02988
BJLGFBAK_02089	K02881
BJLGFBAK_02090	K02933
BJLGFBAK_02091	K02994
BJLGFBAK_02092	K02954
BJLGFBAK_02093	K02931
BJLGFBAK_02094	K02895
BJLGFBAK_02095	K02874
BJLGFBAK_02096	K02961
BJLGFBAK_02097	K03296
BJLGFBAK_02099	K14348
BJLGFBAK_02103	K00605
BJLGFBAK_02104	K19745
BJLGFBAK_02105	K02503
BJLGFBAK_02107	K01669
BJLGFBAK_02108	K00574
BJLGFBAK_02110	K01738
BJLGFBAK_02111	K05802
BJLGFBAK_02112	K01872
BJLGFBAK_02116	K02481
BJLGFBAK_02117	K02482
BJLGFBAK_02118	K15468
BJLGFBAK_02119	K03695
BJLGFBAK_02120	K07147
BJLGFBAK_02125	K08151
BJLGFBAK_02126	K00153
BJLGFBAK_02127	K00854
BJLGFBAK_02128	K01805
BJLGFBAK_02131	K00790
BJLGFBAK_02134	K03596
BJLGFBAK_02138	K00013
BJLGFBAK_02140	K12409
BJLGFBAK_02142	K10544
BJLGFBAK_02143	K10441
BJLGFBAK_02144	K00845
BJLGFBAK_02145	K00847
BJLGFBAK_02148	K04091
BJLGFBAK_02152	K01956
BJLGFBAK_02153	K09117
BJLGFBAK_02155	K02274
BJLGFBAK_02156	K00315
BJLGFBAK_02159	K07638
BJLGFBAK_02160	K16639
BJLGFBAK_02165	K03750
BJLGFBAK_02166	K03753
BJLGFBAK_02167	K03752
BJLGFBAK_02168	K02379
BJLGFBAK_02177	K07566
BJLGFBAK_02178	K07735
BJLGFBAK_02181	K00830
BJLGFBAK_02182	K00817
BJLGFBAK_02184	K23164
BJLGFBAK_02185	K05523
BJLGFBAK_02188	K01692
BJLGFBAK_02189	K01657
BJLGFBAK_02191	K00812
BJLGFBAK_02192	K00769
BJLGFBAK_02193	K00208
BJLGFBAK_02194	K00275
BJLGFBAK_02196	K09005
BJLGFBAK_02198	K00525
BJLGFBAK_02200	K00812
BJLGFBAK_02201	K01883
BJLGFBAK_02202	K01649
BJLGFBAK_02204	K18163
BJLGFBAK_02207	K01247
BJLGFBAK_02208	K06999
BJLGFBAK_02210	K01142
BJLGFBAK_02211	K22072
BJLGFBAK_02213	K01951
BJLGFBAK_02216	K07497
BJLGFBAK_02218	K00411
BJLGFBAK_02220	K07734
BJLGFBAK_02221	K00794
BJLGFBAK_02222	K02062
BJLGFBAK_02223	K02063
BJLGFBAK_02224	K02064
BJLGFBAK_02225	K01736
BJLGFBAK_02231	K00826
BJLGFBAK_02233	K07659
BJLGFBAK_02235	K11407
BJLGFBAK_02237	K13789
BJLGFBAK_02238	K01662
BJLGFBAK_02243	K01778
BJLGFBAK_02244	K18707
BJLGFBAK_02246	K09020
BJLGFBAK_02247	K23537
BJLGFBAK_02249	K01455
BJLGFBAK_02250	K23536
BJLGFBAK_02251	K23535
BJLGFBAK_02252	K07335
BJLGFBAK_02254	K19226
BJLGFBAK_02255	K02033
BJLGFBAK_02256	K02034
BJLGFBAK_02257	K02031
BJLGFBAK_02258	K14541
BJLGFBAK_02260	K02433
BJLGFBAK_02262	K11608
BJLGFBAK_02265	K01799
BJLGFBAK_02266	K00128
BJLGFBAK_02268	K16048
BJLGFBAK_02269	K02170
BJLGFBAK_02271	K03566
BJLGFBAK_02272	K21948
BJLGFBAK_02273	K22130
BJLGFBAK_02275	K07497
BJLGFBAK_02276	K05880
BJLGFBAK_02277	K11954
BJLGFBAK_02278	K01995
BJLGFBAK_02280	K01693
BJLGFBAK_02281	K02501
BJLGFBAK_02282	K01523
BJLGFBAK_02283	K02500
BJLGFBAK_02284	K01814
BJLGFBAK_02286	K06929
BJLGFBAK_02287	K03218
BJLGFBAK_02294	K21602
BJLGFBAK_02296	K21393
BJLGFBAK_02299	K00285
BJLGFBAK_02300	K02032
BJLGFBAK_02301	K15583
BJLGFBAK_02303	K02034
BJLGFBAK_02304	K02033
BJLGFBAK_02306	K19802
BJLGFBAK_02308	K01644
BJLGFBAK_02309	K11249
BJLGFBAK_02310	K01962
BJLGFBAK_02311	K13654
BJLGFBAK_02312	K07043
BJLGFBAK_02315	K10117
BJLGFBAK_02316	K10118
BJLGFBAK_02317	K10119
BJLGFBAK_02318	K07407
BJLGFBAK_02319	K00059
BJLGFBAK_02320	K00883
BJLGFBAK_02321	K01631
BJLGFBAK_02322	K14274
BJLGFBAK_02324	K02197
BJLGFBAK_02325	K00145
BJLGFBAK_02326	K01776
BJLGFBAK_02330	K03184
BJLGFBAK_02331	K18551
BJLGFBAK_02338	K03412
BJLGFBAK_02340	K07082
BJLGFBAK_02341	K09458
BJLGFBAK_02342	K02078
BJLGFBAK_02343	K00059
BJLGFBAK_02345	K00645
BJLGFBAK_02348	K10112
BJLGFBAK_02349	K10112
BJLGFBAK_02350	K10118
BJLGFBAK_02351	K17246
BJLGFBAK_02357	K01996
BJLGFBAK_02358	K06861
BJLGFBAK_02359	K11961
BJLGFBAK_02360	K01997
BJLGFBAK_02361	K01895
BJLGFBAK_02362	K00248
BJLGFBAK_02363	K02302
BJLGFBAK_02365	K00366
BJLGFBAK_02366	K00390
BJLGFBAK_02368	K00528
BJLGFBAK_02369	K02520
BJLGFBAK_02376	K02303
BJLGFBAK_02380	K01430
BJLGFBAK_02381	K01429
BJLGFBAK_02383	K01428
BJLGFBAK_02385	K18703
BJLGFBAK_02387	K09022
BJLGFBAK_02388	K00128
BJLGFBAK_02389	K05708
BJLGFBAK_02391	K03046
BJLGFBAK_02392	K03043
BJLGFBAK_02393	K03168
BJLGFBAK_02394	K01028
BJLGFBAK_02395	K20715
BJLGFBAK_02396	K01029
BJLGFBAK_02400	K02483
BJLGFBAK_02401	K07645
BJLGFBAK_02403	K00382
BJLGFBAK_02405	K02914
BJLGFBAK_02408	K00290
BJLGFBAK_02411	K01448
BJLGFBAK_02415	K03526
BJLGFBAK_02417	K00643
BJLGFBAK_02418	K22368
BJLGFBAK_02422	K03829
BJLGFBAK_02423	K03937
BJLGFBAK_02424	K03702
BJLGFBAK_02429	K04566
BJLGFBAK_02432	K00285
BJLGFBAK_02433	K07259
BJLGFBAK_02434	K00969
BJLGFBAK_02435	K06020
BJLGFBAK_02440	K05815
BJLGFBAK_02441	K17245
BJLGFBAK_02442	K05813
BJLGFBAK_02443	K10112
BJLGFBAK_02457	K06162
BJLGFBAK_02458	K00135
BJLGFBAK_02459	K10973
BJLGFBAK_02461	K02479
BJLGFBAK_02469	K03624
BJLGFBAK_02471	K13639
BJLGFBAK_02473	K00311
BJLGFBAK_02475	K00919
BJLGFBAK_02476	K02523
BJLGFBAK_02479	K02015
BJLGFBAK_02481	K02013
BJLGFBAK_02482	K12308
BJLGFBAK_02483	K08319
BJLGFBAK_02484	K01816
BJLGFBAK_02489	K21393
BJLGFBAK_02492	K03979
BJLGFBAK_02493	K00931
BJLGFBAK_02494	K00147
BJLGFBAK_02498	K00655
BJLGFBAK_02499	K02967
BJLGFBAK_02500	K02357
BJLGFBAK_02504	K03786
BJLGFBAK_02507	K11707
BJLGFBAK_02508	K11710
BJLGFBAK_02509	K11708
BJLGFBAK_02510	K11709
BJLGFBAK_02511	K01874
BJLGFBAK_02517	K13247
BJLGFBAK_02518	K00019
BJLGFBAK_02520	K06942
BJLGFBAK_02522	K00108
BJLGFBAK_02523	K02000
BJLGFBAK_02524	K02001
BJLGFBAK_02526	K01262
BJLGFBAK_02527	K03821
BJLGFBAK_02531	K09471
BJLGFBAK_02532	K09470
BJLGFBAK_02533	K22314
BJLGFBAK_02534	K09470
BJLGFBAK_02536	K02050
BJLGFBAK_02537	K02049
BJLGFBAK_02545	K00485
BJLGFBAK_02547	K00013
BJLGFBAK_02550	K00065
BJLGFBAK_02551	K03110
BJLGFBAK_02552	K01619
BJLGFBAK_02553	K07127
BJLGFBAK_02554	K13485
BJLGFBAK_02555	K14977
BJLGFBAK_02556	K01483
BJLGFBAK_02557	K03458
BJLGFBAK_02558	K00833
BJLGFBAK_02560	K03572
BJLGFBAK_02561	K09760
BJLGFBAK_02563	K03088
BJLGFBAK_02564	K00574
BJLGFBAK_02567	K03499
BJLGFBAK_02568	K03498
BJLGFBAK_02569	K03666
BJLGFBAK_02570	K03665
BJLGFBAK_02572	K10717
BJLGFBAK_02573	K01623
BJLGFBAK_02575	K01679
BJLGFBAK_02580	K01126
BJLGFBAK_02581	K10112
BJLGFBAK_02582	K05815
BJLGFBAK_02583	K05814
BJLGFBAK_02584	K05813
BJLGFBAK_02586	K02199
BJLGFBAK_02588	K02195
BJLGFBAK_02589	K02194
BJLGFBAK_02590	K01990
BJLGFBAK_02593	K21393
BJLGFBAK_02594	K01803
BJLGFBAK_02596	K13628
BJLGFBAK_02598	K05844
BJLGFBAK_02599	K00773
BJLGFBAK_02600	K22305
BJLGFBAK_02609	K07670
BJLGFBAK_02611	K07497
BJLGFBAK_02612	K01790
BJLGFBAK_02613	K01710
BJLGFBAK_02614	K00067
BJLGFBAK_02616	K21393
BJLGFBAK_02618	K07148
BJLGFBAK_02619	K00864
BJLGFBAK_02620	K00111
BJLGFBAK_02621	K01823
BJLGFBAK_02622	K10960
BJLGFBAK_02624	K04040
BJLGFBAK_02628	K04038
BJLGFBAK_02629	K04039
BJLGFBAK_02630	K03403
BJLGFBAK_02631	K04037
BJLGFBAK_02632	K03428
BJLGFBAK_02633	K08226
BJLGFBAK_02638	K04035
BJLGFBAK_02640	K00643
BJLGFBAK_02643	K01438
BJLGFBAK_02644	K09022
BJLGFBAK_02645	K01754
BJLGFBAK_02649	K07777
BJLGFBAK_02650	K02479
BJLGFBAK_02651	K01652
BJLGFBAK_02652	K01653
BJLGFBAK_02656	K00344
BJLGFBAK_02658	K09987
BJLGFBAK_02660	K01885
BJLGFBAK_02661	K11755
BJLGFBAK_02664	K03655
BJLGFBAK_02666	K07714
BJLGFBAK_02667	K02482
BJLGFBAK_02668	K23265
BJLGFBAK_02669	K23264
BJLGFBAK_02670	K01923
BJLGFBAK_02673	K03604
BJLGFBAK_02674	K00681
BJLGFBAK_02676	K04771
BJLGFBAK_02682	K02618
BJLGFBAK_02685	K13421
BJLGFBAK_02686	K01885
BJLGFBAK_02687	K02238
BJLGFBAK_02688	K01356
BJLGFBAK_02689	K03750
BJLGFBAK_02690	K03637
BJLGFBAK_02693	K05712
BJLGFBAK_02704	K02035
BJLGFBAK_02705	K02033
BJLGFBAK_02706	K15582
BJLGFBAK_02708	K00325
BJLGFBAK_02709	K02010
BJLGFBAK_02711	K01627
BJLGFBAK_02714	K00077
BJLGFBAK_02715	K22133
BJLGFBAK_02717	K00020
BJLGFBAK_02718	K02437
BJLGFBAK_02719	K00605
BJLGFBAK_02720	K17509
BJLGFBAK_02722	K03089
BJLGFBAK_02723	K02231
BJLGFBAK_02724	K22316
BJLGFBAK_02726	K07391
BJLGFBAK_02727	K07391
BJLGFBAK_02728	K07188
BJLGFBAK_02729	K01920
BJLGFBAK_02731	K07056
BJLGFBAK_02733	K00990
BJLGFBAK_02734	K10255
BJLGFBAK_02736	K03980
BJLGFBAK_02738	K01867
BJLGFBAK_02739	K11407
BJLGFBAK_02743	K05606
BJLGFBAK_02744	K07667
BJLGFBAK_02746	K01876
BJLGFBAK_02748	K06132
BJLGFBAK_02751	K04763
BJLGFBAK_02752	K11527
BJLGFBAK_02753	K07678
BJLGFBAK_02756	K07497
BJLGFBAK_02760	K01464
BJLGFBAK_02762	K01681
BJLGFBAK_02764	K02990
BJLGFBAK_02765	K02963
BJLGFBAK_02766	K02939
BJLGFBAK_02767	K03545
BJLGFBAK_02769	K03787
BJLGFBAK_02770	K00573
BJLGFBAK_02772	K06923
BJLGFBAK_02773	K03118
BJLGFBAK_02779	K10112
BJLGFBAK_02780	K00059
BJLGFBAK_02781	K02837
BJLGFBAK_02783	K05592
BJLGFBAK_02784	K12574
BJLGFBAK_02785	K03525
BJLGFBAK_02786	K03524
BJLGFBAK_02787	K00343
BJLGFBAK_02788	K00342
BJLGFBAK_02789	K00341
BJLGFBAK_02790	K00340
BJLGFBAK_02791	K00339
BJLGFBAK_02793	K03941
BJLGFBAK_02795	K00337
BJLGFBAK_02797	K03934
BJLGFBAK_02799	K03550
BJLGFBAK_02800	K01159
BJLGFBAK_02802	K02687
BJLGFBAK_02804	K01004
BJLGFBAK_02805	K03733
BJLGFBAK_02807	K00616
BJLGFBAK_02808	K04066
BJLGFBAK_02809	K01870
BJLGFBAK_02811	K01491
BJLGFBAK_02812	K01938
BJLGFBAK_02814	K03798
BJLGFBAK_02815	K04075
BJLGFBAK_02817	K03640
BJLGFBAK_02818	K03641
BJLGFBAK_02820	K03559
BJLGFBAK_02821	K03562
BJLGFBAK_02822	K07107
BJLGFBAK_02824	K03551
BJLGFBAK_02825	K01785
BJLGFBAK_02827	K00940
BJLGFBAK_02828	K06158
BJLGFBAK_02829	K05595
BJLGFBAK_02830	K06985
BJLGFBAK_02832	K01255
BJLGFBAK_02835	K04744
BJLGFBAK_02837	K00097
BJLGFBAK_02839	K04771
BJLGFBAK_02841	K04087
BJLGFBAK_02842	K04088
BJLGFBAK_02843	K00383
BJLGFBAK_02844	K01807
BJLGFBAK_02846	K06190
BJLGFBAK_02847	K01464
BJLGFBAK_02849	K02083
BJLGFBAK_02850	K09017
BJLGFBAK_02851	K17723
BJLGFBAK_02852	K00266
BJLGFBAK_02853	K03704
BJLGFBAK_02854	K10804
BJLGFBAK_02855	K02003
BJLGFBAK_02857	K01092
BJLGFBAK_02860	K01885
BJLGFBAK_02861	K01916
BJLGFBAK_02865	K06876
BJLGFBAK_02867	K01649
BJLGFBAK_02868	K03569
BJLGFBAK_02871	K05515
BJLGFBAK_02872	K05837
BJLGFBAK_02873	K06991
BJLGFBAK_02874	K12972
BJLGFBAK_02875	K01284
BJLGFBAK_02876	K21029
BJLGFBAK_02877	K01520
BJLGFBAK_02878	K13038
BJLGFBAK_02879	K00135
BJLGFBAK_02886	K00179
BJLGFBAK_02887	K09681
BJLGFBAK_02891	K03664
BJLGFBAK_02892	K00872
BJLGFBAK_02894	K03088
BJLGFBAK_02895	K01424
BJLGFBAK_02910	K07305
BJLGFBAK_02916	K03466
BJLGFBAK_02928	K02823
BJLGFBAK_02929	K02669
BJLGFBAK_02931	K03152
BJLGFBAK_02934	K03685
BJLGFBAK_02935	K03595
BJLGFBAK_02937	K00806
BJLGFBAK_02944	K13444
BJLGFBAK_02947	K02851
BJLGFBAK_02948	K02377
