MNBOMGJM_00001	K03784
MNBOMGJM_01925	K00133
MNBOMGJM_01926	K00928
MNBOMGJM_01930	K01843
MNBOMGJM_01935	K22540
MNBOMGJM_01937	K07456
MNBOMGJM_01940	K08679
MNBOMGJM_01942	K14742
MNBOMGJM_01943	K06925
MNBOMGJM_01950	K00850
MNBOMGJM_01954	K01802
MNBOMGJM_01960	K00036
MNBOMGJM_01961	K00033
MNBOMGJM_01963	K01838
MNBOMGJM_01965	K00384
MNBOMGJM_01967	K01126
MNBOMGJM_01968	K01754
MNBOMGJM_01969	K01207
MNBOMGJM_01972	K16786
MNBOMGJM_01973	K16786
MNBOMGJM_01975	K01474
MNBOMGJM_01976	K01473
MNBOMGJM_01980	K07642
MNBOMGJM_01981	K02483
MNBOMGJM_01984	K07029
MNBOMGJM_01990	K07684
MNBOMGJM_01991	K07673
MNBOMGJM_01993	K07332
MNBOMGJM_02005	K07391
MNBOMGJM_02008	K02377
MNBOMGJM_02010	K09690
MNBOMGJM_02011	K11717
MNBOMGJM_02012	K09691
MNBOMGJM_02016	K15894
MNBOMGJM_02017	K00067
MNBOMGJM_02018	K01654
MNBOMGJM_02019	K16703
MNBOMGJM_02021	K00662
MNBOMGJM_02023	K07257
MNBOMGJM_02033	K00759
MNBOMGJM_02034	K07461
MNBOMGJM_02036	K00567
MNBOMGJM_02040	K23535
MNBOMGJM_02041	K23536
MNBOMGJM_02042	K23537
MNBOMGJM_02045	K03306
MNBOMGJM_02046	K07220
MNBOMGJM_02050	K01515
MNBOMGJM_02051	K03737
MNBOMGJM_02052	K00845
MNBOMGJM_02056	K02025
MNBOMGJM_02057	K10119
MNBOMGJM_02058	K00010
MNBOMGJM_02060	K00820
MNBOMGJM_02067	K00820
MNBOMGJM_02074	K01738
MNBOMGJM_02075	K01173
MNBOMGJM_02077	K00331
MNBOMGJM_02078	K00333
MNBOMGJM_02079	K00338
MNBOMGJM_02080	K03593
MNBOMGJM_02083	K01436
MNBOMGJM_02085	K04759
MNBOMGJM_02087	K12410
MNBOMGJM_02096	K07402
MNBOMGJM_02099	K03111
MNBOMGJM_02101	K00849
MNBOMGJM_02102	K10119
MNBOMGJM_02103	K02025
MNBOMGJM_02105	K02529
MNBOMGJM_02116	K10947
MNBOMGJM_02117	K13298
MNBOMGJM_02120	K03325
MNBOMGJM_02121	K07755
MNBOMGJM_02129	K12132
MNBOMGJM_02132	K18682
MNBOMGJM_02134	K03742
MNBOMGJM_02135	K01241
MNBOMGJM_02136	K01996
MNBOMGJM_02137	K01995
MNBOMGJM_02138	K01998
MNBOMGJM_02139	K01997
MNBOMGJM_02142	K00943
MNBOMGJM_02145	K22314
MNBOMGJM_02148	K01243
MNBOMGJM_02149	K00243
MNBOMGJM_02150	K05841
MNBOMGJM_02151	K03710
MNBOMGJM_02152	K23535
MNBOMGJM_02153	K23536
MNBOMGJM_02154	K07335
MNBOMGJM_02155	K23537
MNBOMGJM_02156	K20534
MNBOMGJM_02159	K07006
MNBOMGJM_02161	K13606
MNBOMGJM_02162	K14155
MNBOMGJM_02163	K01480
MNBOMGJM_02166	K11072
MNBOMGJM_02167	K11071
MNBOMGJM_02168	K00820
MNBOMGJM_02169	K02518
MNBOMGJM_02176	K06187
MNBOMGJM_02177	K09747
MNBOMGJM_02178	K02343
MNBOMGJM_02180	K02687
MNBOMGJM_02181	K03686
MNBOMGJM_02183	K09607
MNBOMGJM_02184	K03696
MNBOMGJM_02188	K03546
MNBOMGJM_02191	K07101
MNBOMGJM_02192	K06048
MNBOMGJM_02194	K02003
MNBOMGJM_02201	K03555
MNBOMGJM_02203	K15633
MNBOMGJM_02204	K00784
MNBOMGJM_02207	K18917
MNBOMGJM_02208	K00384
MNBOMGJM_02209	K17759
MNBOMGJM_02214	K01990
MNBOMGJM_02216	K03564
MNBOMGJM_02219	K13292
MNBOMGJM_02220	K01775
MNBOMGJM_02223	K06180
MNBOMGJM_02224	K02548
MNBOMGJM_02226	K02049
MNBOMGJM_02229	K01620
MNBOMGJM_02239	K15519
MNBOMGJM_02243	K01990
MNBOMGJM_02248	K01565
MNBOMGJM_02272	K01990
MNBOMGJM_02274	K12997
MNBOMGJM_02281	K22905
MNBOMGJM_02284	K06158
MNBOMGJM_02285	K03496
MNBOMGJM_02291	K14415
MNBOMGJM_02292	K11072
MNBOMGJM_02293	K05835
MNBOMGJM_02297	K00600
MNBOMGJM_02299	K00077
MNBOMGJM_02300	K00606
MNBOMGJM_02306	K00012
MNBOMGJM_02310	K01302
MNBOMGJM_02313	K02195
MNBOMGJM_02314	K02194
MNBOMGJM_02315	K01990
MNBOMGJM_02318	K02199
MNBOMGJM_02320	K02198
MNBOMGJM_02323	K00412
MNBOMGJM_02324	K02636
MNBOMGJM_02326	K07692
MNBOMGJM_02328	K07391
MNBOMGJM_02341	K03738
MNBOMGJM_02351	K01491
MNBOMGJM_02352	K00969
MNBOMGJM_02357	K01758
MNBOMGJM_02359	K06147
MNBOMGJM_02360	K06147
MNBOMGJM_02366	K22305
MNBOMGJM_02368	K03654
MNBOMGJM_02372	K01434
MNBOMGJM_02376	K01883
MNBOMGJM_02380	K01870
MNBOMGJM_02381	K15891
MNBOMGJM_02384	K02237
MNBOMGJM_02385	K03183
MNBOMGJM_02390	K00078
MNBOMGJM_02393	K01897
MNBOMGJM_02399	K01997
MNBOMGJM_02400	K01998
MNBOMGJM_02404	K07332
MNBOMGJM_02410	K06013
MNBOMGJM_02413	K00356
MNBOMGJM_02419	K00657
MNBOMGJM_02425	K11729
MNBOMGJM_02426	K02503
MNBOMGJM_02427	K00876
MNBOMGJM_02428	K08303
MNBOMGJM_02432	K18214
MNBOMGJM_02433	K02259
MNBOMGJM_02435	K01849
MNBOMGJM_02436	K15789
MNBOMGJM_02442	K02488
MNBOMGJM_02443	K00547
MNBOMGJM_02452	K00548
MNBOMGJM_02455	K11390
MNBOMGJM_02457	K15631
MNBOMGJM_02459	K01710
MNBOMGJM_02460	K20534
MNBOMGJM_02463	K21919
MNBOMGJM_02465	K05825
MNBOMGJM_02467	K03639
MNBOMGJM_02469	K02445
MNBOMGJM_02470	K06001
MNBOMGJM_02472	K00031
MNBOMGJM_02473	K11085
MNBOMGJM_02474	K04485
MNBOMGJM_02476	K01159
MNBOMGJM_02478	K03550
MNBOMGJM_02480	K00886
MNBOMGJM_02481	K06950
MNBOMGJM_02484	K07056
MNBOMGJM_02488	K13292
MNBOMGJM_02492	K00958
MNBOMGJM_02495	K00059
MNBOMGJM_02496	K21749
MNBOMGJM_02497	K05304
MNBOMGJM_02507	K09707
MNBOMGJM_02511	K00058
MNBOMGJM_02523	K07777
MNBOMGJM_02524	K02170
MNBOMGJM_02525	K02428
MNBOMGJM_02526	K18979
MNBOMGJM_02527	K17987
MNBOMGJM_02529	K00029
MNBOMGJM_02530	K00784
MNBOMGJM_02532	K03671
MNBOMGJM_02542	K15738
MNBOMGJM_02544	K07305
MNBOMGJM_02545	K03113
MNBOMGJM_02547	K03924
MNBOMGJM_02550	K00611
MNBOMGJM_02551	K00259
MNBOMGJM_02553	K00873
MNBOMGJM_02556	K02078
MNBOMGJM_02557	K01823
MNBOMGJM_02559	K01005
MNBOMGJM_02561	K14654
MNBOMGJM_02566	K14652
MNBOMGJM_02568	K00995
MNBOMGJM_02571	K13787
MNBOMGJM_02573	K04763
MNBOMGJM_02574	K02083
MNBOMGJM_02576	K13950
MNBOMGJM_02577	K00826
MNBOMGJM_02583	K00248
MNBOMGJM_02585	K00721
MNBOMGJM_02591	K01966
MNBOMGJM_02593	K01961
MNBOMGJM_02594	K01965
MNBOMGJM_02597	K02257
MNBOMGJM_02599	K09796
MNBOMGJM_02601	K07152
MNBOMGJM_02602	K02262
MNBOMGJM_02604	K02274
MNBOMGJM_02605	K02275
MNBOMGJM_02609	K01473
MNBOMGJM_02610	K00548
MNBOMGJM_02611	K00548
MNBOMGJM_02615	K01998
MNBOMGJM_02616	K01997
MNBOMGJM_02617	K01996
MNBOMGJM_02618	K01995
MNBOMGJM_02620	K03522
MNBOMGJM_02621	K03521
MNBOMGJM_02622	K00315
MNBOMGJM_02623	K01881
MNBOMGJM_02625	K07391
MNBOMGJM_02628	K02035
MNBOMGJM_02629	K02033
MNBOMGJM_02630	K02034
MNBOMGJM_02631	K02031
MNBOMGJM_02632	K02032
MNBOMGJM_02635	K05288
MNBOMGJM_02636	K00869
MNBOMGJM_02637	K07462
MNBOMGJM_02639	K01101
MNBOMGJM_02640	K00285
MNBOMGJM_02646	K02003
MNBOMGJM_02647	K02004
MNBOMGJM_02648	K04072
MNBOMGJM_02651	K09469
MNBOMGJM_02652	K00821
MNBOMGJM_02653	K00833
MNBOMGJM_02654	K00315
MNBOMGJM_02655	K03710
MNBOMGJM_02656	K14155
MNBOMGJM_02660	K03556
MNBOMGJM_02662	K16907
MNBOMGJM_02665	K01533
MNBOMGJM_02667	K04753
MNBOMGJM_02670	K02003
MNBOMGJM_02672	K02484
MNBOMGJM_02673	K02483
MNBOMGJM_02689	K06196
MNBOMGJM_02699	K00882
MNBOMGJM_02703	K00615
MNBOMGJM_02704	K01808
MNBOMGJM_02705	K00616
MNBOMGJM_02706	K01810
MNBOMGJM_02707	K07098
MNBOMGJM_02709	K07552
MNBOMGJM_02711	K15580
MNBOMGJM_02712	K07098
MNBOMGJM_02713	K00655
MNBOMGJM_02715	K00626
MNBOMGJM_02719	K01992
MNBOMGJM_02720	K02005
MNBOMGJM_02722	K01990
MNBOMGJM_02723	K01990
MNBOMGJM_02725	K06199
MNBOMGJM_02729	K02346
MNBOMGJM_02731	K06988
MNBOMGJM_02736	K00318
MNBOMGJM_02737	K00059
MNBOMGJM_02740	K03750
MNBOMGJM_02742	K03750
MNBOMGJM_02743	K07814
MNBOMGJM_02745	K01990
MNBOMGJM_02749	K03086
MNBOMGJM_02757	K07050
MNBOMGJM_02758	K23107
MNBOMGJM_02759	K07029
MNBOMGJM_02763	K07684
MNBOMGJM_02764	K07777
MNBOMGJM_02767	K07692
MNBOMGJM_02768	K02283
MNBOMGJM_02772	K05808
MNBOMGJM_02773	K01495
MNBOMGJM_02774	K01633
MNBOMGJM_02775	K07738
MNBOMGJM_02776	K00525
MNBOMGJM_02781	K11717
MNBOMGJM_02783	K01687
MNBOMGJM_02784	K01652
MNBOMGJM_02785	K01653
MNBOMGJM_02786	K00053
MNBOMGJM_02787	K01649
MNBOMGJM_02789	K01703
MNBOMGJM_02790	K01501
MNBOMGJM_02791	K01704
MNBOMGJM_02792	K01649
MNBOMGJM_02793	K00052
MNBOMGJM_02796	K09970
MNBOMGJM_02797	K09971
MNBOMGJM_02798	K02028
MNBOMGJM_02800	K22205
MNBOMGJM_02802	K01464
MNBOMGJM_02807	K01881
MNBOMGJM_02809	K03088
MNBOMGJM_02814	K02956
MNBOMGJM_02815	K00962
MNBOMGJM_02816	K08153
MNBOMGJM_02818	K01928
MNBOMGJM_02821	K02108
MNBOMGJM_02824	K00343
MNBOMGJM_02825	K00342
MNBOMGJM_02826	K00342
MNBOMGJM_02827	K00341
MNBOMGJM_02828	K00340
MNBOMGJM_02829	K00339
MNBOMGJM_02830	K00337
MNBOMGJM_02831	K00330
MNBOMGJM_02833	K01667
MNBOMGJM_02837	K07010
MNBOMGJM_02839	K01752
MNBOMGJM_02840	K01752
MNBOMGJM_02842	K04749
MNBOMGJM_02843	K02485
MNBOMGJM_02845	K07642
MNBOMGJM_02846	K02483
MNBOMGJM_02848	K07462
MNBOMGJM_02853	K13444
MNBOMGJM_02854	K03738
MNBOMGJM_02856	K06147
MNBOMGJM_02857	K22579
MNBOMGJM_02859	K13444
MNBOMGJM_02861	K09760
MNBOMGJM_02864	K06902
MNBOMGJM_02865	K01129
MNBOMGJM_02866	K03624
MNBOMGJM_02868	K03168
MNBOMGJM_02869	K00971
MNBOMGJM_02870	K04096
MNBOMGJM_02871	K02860
MNBOMGJM_02872	K06960
MNBOMGJM_02873	K02959
MNBOMGJM_02874	K03106
MNBOMGJM_02877	K03722
MNBOMGJM_02879	K03621
MNBOMGJM_02881	K02029
MNBOMGJM_02882	K23059
MNBOMGJM_02885	K17758
MNBOMGJM_02889	K07402
MNBOMGJM_02891	K11991
MNBOMGJM_02893	K15986
MNBOMGJM_02896	K12528
MNBOMGJM_02897	K00571
MNBOMGJM_02898	K06972
MNBOMGJM_02901	K12527
MNBOMGJM_02902	K14941
MNBOMGJM_02903	K11212
MNBOMGJM_02905	K12234
MNBOMGJM_02906	K07005
MNBOMGJM_02909	K12234
MNBOMGJM_02910	K06894
MNBOMGJM_02916	K01992
MNBOMGJM_02918	K01990
MNBOMGJM_02921	K02355
MNBOMGJM_02922	K02005
MNBOMGJM_02923	K02003
MNBOMGJM_02924	K02004
MNBOMGJM_02928	K08354
MNBOMGJM_02933	K21703
MNBOMGJM_02934	K07112
MNBOMGJM_02940	K03388
MNBOMGJM_02941	K03388
MNBOMGJM_02945	K07777
MNBOMGJM_02970	K11527
MNBOMGJM_02971	K11527
MNBOMGJM_02972	K02479
MNBOMGJM_02973	K07814
MNBOMGJM_02975	K07497
MNBOMGJM_02978	K01881
MNBOMGJM_02982	K00681
MNBOMGJM_02987	K16044
MNBOMGJM_02988	K00633
MNBOMGJM_02993	K06168
MNBOMGJM_02995	K10773
MNBOMGJM_02996	K01424
MNBOMGJM_02998	K07646
MNBOMGJM_02999	K01091
MNBOMGJM_03001	K01873
MNBOMGJM_03004	K15552
MNBOMGJM_03005	K02051
MNBOMGJM_03006	K02049
MNBOMGJM_03008	K00224
MNBOMGJM_03010	K06442
MNBOMGJM_03014	K00869
MNBOMGJM_03022	K01438
MNBOMGJM_03023	K08987
MNBOMGJM_03024	K05366
MNBOMGJM_03027	K03316
MNBOMGJM_03029	K01918
MNBOMGJM_03031	K03111
MNBOMGJM_03033	K07507
MNBOMGJM_03035	K08602
MNBOMGJM_03037	K06942
MNBOMGJM_03039	K00975
MNBOMGJM_03041	K01537
MNBOMGJM_03044	K19147
MNBOMGJM_03048	K01881
MNBOMGJM_03049	K00315
MNBOMGJM_03052	K02483
MNBOMGJM_03053	K07642
MNBOMGJM_03059	K04753
MNBOMGJM_03067	K03183
MNBOMGJM_03068	K02600
MNBOMGJM_03070	K02519
MNBOMGJM_03072	K06881
MNBOMGJM_03073	K03177
MNBOMGJM_03074	K11753
MNBOMGJM_03078	K06945
MNBOMGJM_03082	K07636
MNBOMGJM_03083	K02483
MNBOMGJM_03084	K19428
MNBOMGJM_03090	K02031
MNBOMGJM_03091	K02032
MNBOMGJM_03092	K00819
MNBOMGJM_03093	K01478
MNBOMGJM_03095	K02021
MNBOMGJM_03097	K12132
MNBOMGJM_03100	K07173
MNBOMGJM_03101	K01778
MNBOMGJM_03102	K04767
MNBOMGJM_03103	K01996
MNBOMGJM_03104	K01995
MNBOMGJM_03105	K01998
MNBOMGJM_03106	K01997
MNBOMGJM_03108	K07667
MNBOMGJM_03109	K07636
MNBOMGJM_03111	K12736
MNBOMGJM_03112	K00876
MNBOMGJM_03114	K03569
MNBOMGJM_03115	K03570
MNBOMGJM_03117	K05515
MNBOMGJM_03118	K03610
MNBOMGJM_03119	K03609
MNBOMGJM_03121	K05837
MNBOMGJM_03122	K01885
MNBOMGJM_03124	K18967
MNBOMGJM_03125	K06215
MNBOMGJM_03127	K07776
MNBOMGJM_03128	K07319
MNBOMGJM_03131	K01916
MNBOMGJM_03132	K12251
MNBOMGJM_03134	K00729
MNBOMGJM_03135	K07576
MNBOMGJM_03137	K12591
MNBOMGJM_03141	K02472
MNBOMGJM_03142	K01791
MNBOMGJM_03145	K01008
MNBOMGJM_03147	K03624
MNBOMGJM_03148	K07391
MNBOMGJM_03149	K11329
MNBOMGJM_03152	K01921
MNBOMGJM_03160	K06921
MNBOMGJM_03161	K06400
MNBOMGJM_03163	K00058
MNBOMGJM_03165	K00111
MNBOMGJM_03166	K00864
MNBOMGJM_03168	K03738
MNBOMGJM_03170	K22373
MNBOMGJM_03173	K00616
MNBOMGJM_03174	K01811
MNBOMGJM_03175	K05815
MNBOMGJM_03176	K17245
MNBOMGJM_03179	K02565
MNBOMGJM_03181	K12132
MNBOMGJM_03184	K13590
MNBOMGJM_03185	K07029
MNBOMGJM_03186	K07029
MNBOMGJM_03188	K00639
MNBOMGJM_03193	K15034
MNBOMGJM_03195	K06158
MNBOMGJM_03207	K03118
MNBOMGJM_03209	K07243
MNBOMGJM_03211	K04759
MNBOMGJM_03216	K11617
MNBOMGJM_03217	K02479
MNBOMGJM_03218	K03925
MNBOMGJM_03223	K03497
MNBOMGJM_03225	K16786
MNBOMGJM_03231	K05606
MNBOMGJM_03232	K04066
MNBOMGJM_03238	K03046
MNBOMGJM_03239	K02469
MNBOMGJM_03242	K01501
MNBOMGJM_03251	K04094
MNBOMGJM_03253	K07636
MNBOMGJM_03254	K03665
MNBOMGJM_03258	K01610
MNBOMGJM_03259	K00812
MNBOMGJM_03260	K16862
MNBOMGJM_03269	K07739
MNBOMGJM_03270	K07090
MNBOMGJM_03271	K02503
MNBOMGJM_03274	K10563
MNBOMGJM_03276	K00948
MNBOMGJM_03278	K07588
MNBOMGJM_03279	K03525
MNBOMGJM_03287	K00390
MNBOMGJM_03294	K00864
MNBOMGJM_03295	K00604
MNBOMGJM_03297	K01596
MNBOMGJM_03298	K02968
MNBOMGJM_03300	K00134
MNBOMGJM_03301	K00927
MNBOMGJM_03302	K12132
MNBOMGJM_03303	K01803
MNBOMGJM_03306	K00761
MNBOMGJM_03307	K03551
MNBOMGJM_03308	K07568
MNBOMGJM_03309	K01872
MNBOMGJM_03310	K21929
MNBOMGJM_03312	K14286
MNBOMGJM_03313	K01972
MNBOMGJM_03317	K00639
MNBOMGJM_03318	K06969
MNBOMGJM_03328	K00548
MNBOMGJM_03333	K14489
MNBOMGJM_03338	K05592
MNBOMGJM_03340	K06921
MNBOMGJM_03341	K06969
MNBOMGJM_03343	K22900
MNBOMGJM_03345	K00845
MNBOMGJM_03347	K15771
MNBOMGJM_03348	K15772
MNBOMGJM_03349	K01874
MNBOMGJM_03350	K07391
MNBOMGJM_03351	K00344
MNBOMGJM_03354	K03215
MNBOMGJM_03357	K14155
MNBOMGJM_03364	K12995
MNBOMGJM_03365	K07511
MNBOMGJM_03371	K00286
MNBOMGJM_03373	K04077
MNBOMGJM_03374	K07533
MNBOMGJM_03376	K00826
MNBOMGJM_03379	K03088
MNBOMGJM_03386	K01926
MNBOMGJM_03387	K03569
MNBOMGJM_03388	K02114
MNBOMGJM_03389	K02112
MNBOMGJM_03390	K02115
MNBOMGJM_03391	K02111
MNBOMGJM_03398	K03556
MNBOMGJM_03399	K01092
MNBOMGJM_03400	K02479
MNBOMGJM_03401	K05827
MNBOMGJM_03404	K13010
MNBOMGJM_03409	K01338
MNBOMGJM_03410	K07124
MNBOMGJM_03411	K01262
MNBOMGJM_03417	K07043
MNBOMGJM_03419	K01802
MNBOMGJM_03423	K09022
MNBOMGJM_03424	K07658
MNBOMGJM_03430	K07462
MNBOMGJM_03432	K00179
MNBOMGJM_03433	K00180
MNBOMGJM_03435	K15521
MNBOMGJM_03437	K11068
MNBOMGJM_03443	K00249
MNBOMGJM_03444	K07516
MNBOMGJM_03445	K00632
MNBOMGJM_03456	K03652
MNBOMGJM_03457	K00208
MNBOMGJM_03461	K00177
MNBOMGJM_03462	K00175
MNBOMGJM_03463	K00174
MNBOMGJM_03464	K00176
MNBOMGJM_03467	K01784
MNBOMGJM_03468	K00626
MNBOMGJM_03469	K22278
MNBOMGJM_03482	K06889
MNBOMGJM_03483	K03603
MNBOMGJM_03485	K00059
MNBOMGJM_03489	K03738
MNBOMGJM_03496	K03532
MNBOMGJM_03497	K02479
MNBOMGJM_03498	K07673
MNBOMGJM_03499	K00330
MNBOMGJM_03500	K00331
MNBOMGJM_03501	K00332
MNBOMGJM_03502	K00333
MNBOMGJM_03503	K00334
MNBOMGJM_03504	K00335
MNBOMGJM_03505	K00336
MNBOMGJM_03506	K00337
MNBOMGJM_03507	K00338
MNBOMGJM_03508	K00339
MNBOMGJM_03509	K00340
MNBOMGJM_03510	K00341
MNBOMGJM_03511	K00342
MNBOMGJM_03512	K00343
MNBOMGJM_03514	K10255
MNBOMGJM_03517	K07502
MNBOMGJM_03523	K00354
MNBOMGJM_03527	K06147
MNBOMGJM_03528	K06147
MNBOMGJM_03533	K08999
MNBOMGJM_03534	K02314
MNBOMGJM_03536	K02315
MNBOMGJM_03537	K14607
MNBOMGJM_03538	K06871
MNBOMGJM_03539	K02036
MNBOMGJM_03540	K02040
MNBOMGJM_03541	K02037
MNBOMGJM_03542	K02038
MNBOMGJM_03543	K02036
MNBOMGJM_03544	K01734
MNBOMGJM_03545	K02039
MNBOMGJM_03546	K03741
MNBOMGJM_03551	K01744
MNBOMGJM_03552	K03979
MNBOMGJM_03554	K03553
MNBOMGJM_03556	K03738
MNBOMGJM_03559	K14051
MNBOMGJM_03561	K13533
MNBOMGJM_03562	K13533
MNBOMGJM_03565	K03702
MNBOMGJM_03567	K01886
MNBOMGJM_03568	K01776
MNBOMGJM_03569	K07010
MNBOMGJM_03570	K02884
MNBOMGJM_03571	K00937
MNBOMGJM_03572	K22468
MNBOMGJM_03573	K22468
MNBOMGJM_03575	K02032
MNBOMGJM_03576	K02031
MNBOMGJM_03577	K02034
MNBOMGJM_03578	K02033
MNBOMGJM_03579	K02035
MNBOMGJM_03580	K21929
MNBOMGJM_03581	K06897
MNBOMGJM_03582	K01208
MNBOMGJM_03586	K12960
MNBOMGJM_03587	K11170
MNBOMGJM_03591	K02488
MNBOMGJM_03595	K00648
MNBOMGJM_03596	K09458
MNBOMGJM_03601	K02356
MNBOMGJM_03602	K15376
MNBOMGJM_03603	K07671
MNBOMGJM_03604	K01338
MNBOMGJM_03610	K00174
MNBOMGJM_03611	K00175
MNBOMGJM_03613	K14286
MNBOMGJM_03614	K00059
MNBOMGJM_03617	K00548
MNBOMGJM_03618	K00315
MNBOMGJM_03620	K09471
MNBOMGJM_03624	K17509
MNBOMGJM_03627	K01845
MNBOMGJM_03628	K00823
MNBOMGJM_03629	K00140
MNBOMGJM_03632	K17509
MNBOMGJM_03634	K07306
MNBOMGJM_03635	K07307
MNBOMGJM_03640	K09471
MNBOMGJM_03642	K03738
MNBOMGJM_03644	K02031
MNBOMGJM_03645	K02032
MNBOMGJM_03646	K00290
MNBOMGJM_03647	K09471
MNBOMGJM_03651	K02034
MNBOMGJM_03652	K02033
MNBOMGJM_03653	K02035
MNBOMGJM_03657	K00548
MNBOMGJM_03660	K01634
MNBOMGJM_03661	K00854
MNBOMGJM_03662	K00874
MNBOMGJM_03664	K03710
MNBOMGJM_03669	K00548
MNBOMGJM_03671	K02032
MNBOMGJM_03672	K15583
MNBOMGJM_03673	K02034
MNBOMGJM_03674	K02033
MNBOMGJM_03675	K01166
MNBOMGJM_03676	K06969
MNBOMGJM_03677	K00703
MNBOMGJM_03678	K00705
MNBOMGJM_03680	K03976
MNBOMGJM_03690	K00997
MNBOMGJM_03692	K07263
MNBOMGJM_03695	K00266
MNBOMGJM_03697	K07560
MNBOMGJM_03698	K01867
MNBOMGJM_03701	K06949
MNBOMGJM_03703	K07335
MNBOMGJM_03705	K00554
MNBOMGJM_03709	K10951
MNBOMGJM_03711	K04078
MNBOMGJM_03712	K04077
MNBOMGJM_03718	K03782
MNBOMGJM_03719	K03386
MNBOMGJM_03728	K03581
MNBOMGJM_03733	K07443
MNBOMGJM_03734	K03787
MNBOMGJM_03738	K02000
MNBOMGJM_03739	K02018
MNBOMGJM_03742	K00297
MNBOMGJM_03743	K01246
MNBOMGJM_03747	K03688
MNBOMGJM_03751	K01586
MNBOMGJM_03754	K14157
MNBOMGJM_03761	K03953
MNBOMGJM_03762	K00147
MNBOMGJM_03763	K00931
MNBOMGJM_03764	K00974
MNBOMGJM_03765	K00059
MNBOMGJM_03769	K01738
MNBOMGJM_03770	K07444
MNBOMGJM_03772	K18707
MNBOMGJM_03773	K09516
MNBOMGJM_03779	K19429
MNBOMGJM_03781	K03657
MNBOMGJM_03783	K07512
MNBOMGJM_03784	K18980
MNBOMGJM_03786	K02990
MNBOMGJM_03787	K03111
MNBOMGJM_03788	K02963
MNBOMGJM_03789	K07533
MNBOMGJM_03790	K03529
MNBOMGJM_03791	K03685
MNBOMGJM_03793	K09022
MNBOMGJM_03797	K01876
MNBOMGJM_03798	K01893
MNBOMGJM_03799	K00567
MNBOMGJM_03801	K01915
MNBOMGJM_03803	K21947
MNBOMGJM_03806	K00791
MNBOMGJM_03807	K01897
MNBOMGJM_03808	K03798
MNBOMGJM_03809	K01142
MNBOMGJM_03810	K07668
MNBOMGJM_03812	K19304
MNBOMGJM_03813	K12574
MNBOMGJM_03814	K07636
MNBOMGJM_03815	K02483
MNBOMGJM_03818	K03734
MNBOMGJM_03820	K02035
MNBOMGJM_03821	K01448
MNBOMGJM_03822	K07678
MNBOMGJM_03824	K07698
MNBOMGJM_03825	K06346
MNBOMGJM_03828	K08998
MNBOMGJM_03831	K00814
MNBOMGJM_03832	K07651
MNBOMGJM_03833	K00655
MNBOMGJM_03834	K00945
MNBOMGJM_03838	K02945
MNBOMGJM_03839	K00656
MNBOMGJM_03840	K07491
MNBOMGJM_03842	K00249
MNBOMGJM_03844	K01768
MNBOMGJM_03845	K00798
MNBOMGJM_03846	K07150
MNBOMGJM_03848	K01054
MNBOMGJM_03854	K02283
MNBOMGJM_03856	K07658
MNBOMGJM_03857	K07636
MNBOMGJM_03858	K07636
MNBOMGJM_03859	K03497
MNBOMGJM_03860	K03496
MNBOMGJM_03862	K04069
MNBOMGJM_03863	K04069
MNBOMGJM_03866	K02485
MNBOMGJM_03867	K07678
MNBOMGJM_03870	K02486
