AOJABBKC_00001	K03561
AOJABBKC_01470	K06153
AOJABBKC_01471	K10026
AOJABBKC_01475	K04088
AOJABBKC_01476	K03665
AOJABBKC_01477	K03666
AOJABBKC_01478	K00791
AOJABBKC_01479	K03572
AOJABBKC_01480	K01448
AOJABBKC_01481	K06925
AOJABBKC_01482	K17758
AOJABBKC_01483	K18979
AOJABBKC_01484	K13288
AOJABBKC_01485	K06949
AOJABBKC_01486	K01011
AOJABBKC_01487	K01613
AOJABBKC_01488	K01599
AOJABBKC_01489	K00380
AOJABBKC_01490	K00265
AOJABBKC_01491	K01735
AOJABBKC_01492	K00891
AOJABBKC_01495	K05366
AOJABBKC_01496	K20881
AOJABBKC_01497	K04762
AOJABBKC_01498	K04083
AOJABBKC_01500	K01867
AOJABBKC_01501	K01267
AOJABBKC_01502	K00020
AOJABBKC_01503	K14742
AOJABBKC_01504	K00939
AOJABBKC_01505	K04765
AOJABBKC_01506	K00997
AOJABBKC_01507	K03584
AOJABBKC_01508	K03595
AOJABBKC_01509	K03685
AOJABBKC_01510	K03100
AOJABBKC_01511	K03596
AOJABBKC_01512	K04771
AOJABBKC_01516	K03088
AOJABBKC_01517	K00278
AOJABBKC_01520	K06980
AOJABBKC_01523	K03648
AOJABBKC_01525	K02259
AOJABBKC_01528	K22820
AOJABBKC_01529	K04567
AOJABBKC_01530	K02836
AOJABBKC_01531	K21407
AOJABBKC_01532	K08997
AOJABBKC_01533	K02069
AOJABBKC_01537	K02004
AOJABBKC_01538	K02003
AOJABBKC_01539	K10804
AOJABBKC_01541	K00059
AOJABBKC_01546	K00457
AOJABBKC_01551	K03310
AOJABBKC_01552	K22314
AOJABBKC_01553	K03119
AOJABBKC_01554	K09470
AOJABBKC_01555	K09471
AOJABBKC_01557	K00383
AOJABBKC_01558	K03764
AOJABBKC_01559	K01739
AOJABBKC_01560	K01738
AOJABBKC_01561	K02303
AOJABBKC_01562	K13634
AOJABBKC_01563	K00390
AOJABBKC_01564	K00381
AOJABBKC_01565	K00380
AOJABBKC_01566	K02302
AOJABBKC_01567	K01875
AOJABBKC_01568	K06199
AOJABBKC_01569	K07478
AOJABBKC_01571	K03466
AOJABBKC_01572	K00384
AOJABBKC_01573	K00684
AOJABBKC_01574	K00685
AOJABBKC_01575	K02518
AOJABBKC_01577	K03694
AOJABBKC_01578	K06891
AOJABBKC_01582	K13566
AOJABBKC_01583	K01480
AOJABBKC_01584	K16871
AOJABBKC_01586	K09471
AOJABBKC_01587	K22443
AOJABBKC_01588	K09470
AOJABBKC_01589	K01905
AOJABBKC_01590	K00605
AOJABBKC_01593	K02167
AOJABBKC_01594	K00249
AOJABBKC_01595	K11073
AOJABBKC_01596	K11076
AOJABBKC_01597	K11075
AOJABBKC_01598	K11074
AOJABBKC_01599	K03601
AOJABBKC_01600	K03977
AOJABBKC_01601	K17713
AOJABBKC_01603	K01892
AOJABBKC_01604	K03526
AOJABBKC_01605	K06941
AOJABBKC_01606	K00940
AOJABBKC_01609	K04755
AOJABBKC_01610	K04044
AOJABBKC_01611	K04082
AOJABBKC_01612	K13628
AOJABBKC_01613	K04488
AOJABBKC_01614	K04487
AOJABBKC_01615	K13643
AOJABBKC_01616	K15396
AOJABBKC_01617	K01092
AOJABBKC_01622	K13872
AOJABBKC_01623	K00128
AOJABBKC_01625	K00537
AOJABBKC_01626	K03809
AOJABBKC_01628	K04773
AOJABBKC_01632	K01933
AOJABBKC_01633	K11175
AOJABBKC_01636	K01494
AOJABBKC_01637	K03593
AOJABBKC_01638	K01874
AOJABBKC_01639	K03617
AOJABBKC_01640	K03616
AOJABBKC_01641	K03615
AOJABBKC_01642	K03614
AOJABBKC_01643	K03612
AOJABBKC_01644	K03613
AOJABBKC_01645	K06991
AOJABBKC_01647	K12235
AOJABBKC_01648	K05802
AOJABBKC_01649	K01940
AOJABBKC_01651	K01465
AOJABBKC_01652	K03683
AOJABBKC_01653	K03310
AOJABBKC_01655	K07056
AOJABBKC_01657	K07460
AOJABBKC_01658	K03271
AOJABBKC_01660	K00626
AOJABBKC_01661	K03600
AOJABBKC_01662	K03599
AOJABBKC_01663	K00412
AOJABBKC_01664	K00411
AOJABBKC_01665	K02996
AOJABBKC_01666	K02871
AOJABBKC_01667	K06916
AOJABBKC_01670	K00640
AOJABBKC_01671	K04567
AOJABBKC_01672	K02356
AOJABBKC_01673	K01079
AOJABBKC_01675	K00901
AOJABBKC_01676	K00640
AOJABBKC_01678	K06206
AOJABBKC_01679	K06204
AOJABBKC_01680	K01885
AOJABBKC_01681	K02491
AOJABBKC_01682	K07713
AOJABBKC_01683	K00970
AOJABBKC_01684	K00950
AOJABBKC_01686	K00606
AOJABBKC_01687	K00432
AOJABBKC_01688	K03310
AOJABBKC_01689	K03711
AOJABBKC_01691	K09801
AOJABBKC_01693	K03308
AOJABBKC_01694	K03664
AOJABBKC_01695	K06889
AOJABBKC_01697	K06203
AOJABBKC_01698	K05592
AOJABBKC_01699	K03327
AOJABBKC_01700	K02493
AOJABBKC_01701	K02835
AOJABBKC_01702	K02492
AOJABBKC_01704	K02494
AOJABBKC_01706	K00948
AOJABBKC_01707	K02897
AOJABBKC_01708	K01056
AOJABBKC_01709	K06942
AOJABBKC_01711	K02521
AOJABBKC_01712	K00053
AOJABBKC_01713	K00626
AOJABBKC_01714	K02168
AOJABBKC_01719	K08150
AOJABBKC_01722	K00681
AOJABBKC_01723	K02014
AOJABBKC_01725	K06876
AOJABBKC_01726	K17290
AOJABBKC_01727	K06878
AOJABBKC_01728	K03307
AOJABBKC_01730	K01132
AOJABBKC_01734	K07512
AOJABBKC_01735	K07116
AOJABBKC_01738	K01130
AOJABBKC_01740	K12343
AOJABBKC_01741	K14346
AOJABBKC_01745	K21600
AOJABBKC_01751	K16048
AOJABBKC_01754	K23256
AOJABBKC_01756	K03292
AOJABBKC_01758	K22443
AOJABBKC_01760	K03929
AOJABBKC_01767	K18703
AOJABBKC_01770	K02342
AOJABBKC_01771	K07516
AOJABBKC_01778	K07040
AOJABBKC_01779	K02911
AOJABBKC_01780	K03621
AOJABBKC_01781	K00645
AOJABBKC_01782	K00059
AOJABBKC_01783	K02078
AOJABBKC_01784	K02619
AOJABBKC_01785	K07082
AOJABBKC_01786	K00943
AOJABBKC_01787	K02343
AOJABBKC_01788	K03424
AOJABBKC_01789	K01069
AOJABBKC_01791	K00024
AOJABBKC_01792	K03564
AOJABBKC_01793	K03210
AOJABBKC_01794	K03310
AOJABBKC_01795	K01081
AOJABBKC_01797	K13634
AOJABBKC_01801	K00311
AOJABBKC_01802	K03521
AOJABBKC_01803	K03522
AOJABBKC_01806	K01142
AOJABBKC_01807	K03797
AOJABBKC_01818	K01913
AOJABBKC_01820	K06929
AOJABBKC_01821	K00605
AOJABBKC_01823	K03292
AOJABBKC_01832	K01738
AOJABBKC_01839	K00605
AOJABBKC_01849	K09699
AOJABBKC_01850	K00167
AOJABBKC_01851	K00166
AOJABBKC_01853	K15537
AOJABBKC_01856	K07386
AOJABBKC_01862	K20074
AOJABBKC_01863	K12132
AOJABBKC_01865	K00021
AOJABBKC_01866	K09761
AOJABBKC_01868	K01665
AOJABBKC_01871	K00556
AOJABBKC_01872	K00835
AOJABBKC_01873	K10860
AOJABBKC_01874	K00075
AOJABBKC_01875	K01104
AOJABBKC_01876	K00979
AOJABBKC_01877	K00912
AOJABBKC_01878	K11085
AOJABBKC_01886	K03702
AOJABBKC_01889	K01785
AOJABBKC_01890	K01784
AOJABBKC_01891	K00849
AOJABBKC_01892	K00965
AOJABBKC_01897	K13299
AOJABBKC_01898	K00117
AOJABBKC_01899	K01782
AOJABBKC_01900	K00626
AOJABBKC_01901	K12663
AOJABBKC_01902	K00666
AOJABBKC_01903	K00249
AOJABBKC_01905	K10680
AOJABBKC_01907	K01563
AOJABBKC_01909	K02371
AOJABBKC_01910	K00059
AOJABBKC_01913	K07146
AOJABBKC_01915	K00547
AOJABBKC_01918	K07568
AOJABBKC_01919	K00773
AOJABBKC_01920	K03072
AOJABBKC_01921	K03074
AOJABBKC_01923	K15866
AOJABBKC_01924	K00833
AOJABBKC_01926	K11729
AOJABBKC_01940	K15537
AOJABBKC_01943	K01752
AOJABBKC_01945	K01693
AOJABBKC_01946	K02501
AOJABBKC_01948	K08683
AOJABBKC_01949	K06917
AOJABBKC_01950	K01008
AOJABBKC_01952	K01847
AOJABBKC_01953	K01966
AOJABBKC_01954	K01965
AOJABBKC_01955	K07588
AOJABBKC_01956	K01673
AOJABBKC_01957	K00457
AOJABBKC_01960	K01800
AOJABBKC_01963	K00501
AOJABBKC_01964	K03719
AOJABBKC_01965	K05714
AOJABBKC_01967	K01596
AOJABBKC_01969	K01704
AOJABBKC_01971	K01210
AOJABBKC_01975	K09470
AOJABBKC_01977	K04066
AOJABBKC_01978	K02909
AOJABBKC_01980	K01591
AOJABBKC_01984	K00281
AOJABBKC_01985	K02437
AOJABBKC_01986	K00605
AOJABBKC_01988	K01992
AOJABBKC_01989	K01990
AOJABBKC_01990	K09928
AOJABBKC_01991	K09808
AOJABBKC_01992	K09810
AOJABBKC_01993	K09808
AOJABBKC_01994	K00322
AOJABBKC_01996	K03734
AOJABBKC_01997	K00351
AOJABBKC_01998	K00350
AOJABBKC_01999	K00349
AOJABBKC_02000	K00348
AOJABBKC_02001	K00347
AOJABBKC_02002	K00346
AOJABBKC_02003	K00134
AOJABBKC_02004	K03723
AOJABBKC_02006	K03098
AOJABBKC_02007	K16052
AOJABBKC_02008	K01207
AOJABBKC_02011	K23016
AOJABBKC_02016	K05844
AOJABBKC_02017	K00128
AOJABBKC_02018	K00359
AOJABBKC_02019	K00626
AOJABBKC_02023	K01881
AOJABBKC_02025	K07160
AOJABBKC_02026	K06351
AOJABBKC_02027	K06350
AOJABBKC_02034	K13566
AOJABBKC_02035	K01480
AOJABBKC_02036	K16871
AOJABBKC_02038	K09471
AOJABBKC_02039	K22443
AOJABBKC_02040	K09470
AOJABBKC_02042	K01823
AOJABBKC_02043	K03386
AOJABBKC_02045	K05605
AOJABBKC_02046	K10027
AOJABBKC_02052	K03525
AOJABBKC_02053	K03524
AOJABBKC_02057	K04754
AOJABBKC_02058	K03578
AOJABBKC_02061	K01273
AOJABBKC_02062	K01916
AOJABBKC_02066	K02401
AOJABBKC_02068	K02420
AOJABBKC_02069	K02419
AOJABBKC_02071	K05884
AOJABBKC_02074	K01302
AOJABBKC_02078	K11163
AOJABBKC_02079	K18244
AOJABBKC_02082	K11073
AOJABBKC_02083	K11076
AOJABBKC_02084	K11075
AOJABBKC_02085	K11074
AOJABBKC_02088	K09471
AOJABBKC_02091	K02429
AOJABBKC_02093	K01752
AOJABBKC_02097	K00457
AOJABBKC_02100	K01800
AOJABBKC_02102	K02302
AOJABBKC_02103	K01738
AOJABBKC_02104	K01739
AOJABBKC_02105	K03764
AOJABBKC_02106	K00383
AOJABBKC_02108	K09471
AOJABBKC_02109	K09470
AOJABBKC_02110	K03119
AOJABBKC_02111	K22314
AOJABBKC_02112	K03310
AOJABBKC_02122	K23256
AOJABBKC_02123	K00029
AOJABBKC_02125	K14445
AOJABBKC_02129	K03495
AOJABBKC_02130	K03501
AOJABBKC_02131	K03496
AOJABBKC_02132	K03497
AOJABBKC_02134	K02108
AOJABBKC_02135	K02110
AOJABBKC_02136	K02109
AOJABBKC_02137	K02113
AOJABBKC_02138	K02111
AOJABBKC_02139	K02115
AOJABBKC_02140	K02112
AOJABBKC_02141	K02114
AOJABBKC_02142	K04042
AOJABBKC_02143	K00820
AOJABBKC_02145	K00681
AOJABBKC_02146	K01939
AOJABBKC_02147	K02502
AOJABBKC_02149	K04087
AOJABBKC_02150	K04088
AOJABBKC_02151	K03665
AOJABBKC_02152	K03666
AOJABBKC_02153	K00791
AOJABBKC_02154	K03572
AOJABBKC_02155	K01448
AOJABBKC_02156	K06925
AOJABBKC_02157	K17758
AOJABBKC_02158	K18979
AOJABBKC_02159	K13288
AOJABBKC_02160	K06949
AOJABBKC_02161	K01011
AOJABBKC_02162	K01613
AOJABBKC_02163	K01599
AOJABBKC_02164	K00380
AOJABBKC_02165	K01690
AOJABBKC_02166	K00845
AOJABBKC_02167	K01625
AOJABBKC_02168	K00036
AOJABBKC_02169	K01057
AOJABBKC_02170	K00134
AOJABBKC_02171	K19337
AOJABBKC_02172	K01895
AOJABBKC_02173	K01126
AOJABBKC_02175	K03719
AOJABBKC_02188	K10804
AOJABBKC_02191	K07462
AOJABBKC_02194	K09471
AOJABBKC_02198	K08300
AOJABBKC_02199	K06179
AOJABBKC_02200	K01091
AOJABBKC_02202	K07040
AOJABBKC_02203	K02911
AOJABBKC_02204	K03621
AOJABBKC_02205	K00645
AOJABBKC_02206	K00059
AOJABBKC_02207	K02078
AOJABBKC_02208	K02619
AOJABBKC_02209	K07082
AOJABBKC_02211	K01302
AOJABBKC_02212	K03719
AOJABBKC_02220	K01897
AOJABBKC_02221	K00128
AOJABBKC_02222	K00276
AOJABBKC_02223	K09470
AOJABBKC_02227	K00699
AOJABBKC_02228	K07102
AOJABBKC_02229	K00130
AOJABBKC_02237	K05844
AOJABBKC_02238	K00128
AOJABBKC_02239	K00359
AOJABBKC_02240	K00626
AOJABBKC_02241	K00059
AOJABBKC_02246	K02409
AOJABBKC_02249	K00059
AOJABBKC_02251	K00029
AOJABBKC_02253	K14445
AOJABBKC_02258	K02400
AOJABBKC_02260	K04562
AOJABBKC_02261	K02405
AOJABBKC_02264	K02619
AOJABBKC_02265	K02078
AOJABBKC_02266	K00059
AOJABBKC_02267	K00645
AOJABBKC_02268	K03621
AOJABBKC_02269	K02911
AOJABBKC_02270	K07040
AOJABBKC_02272	K01091
AOJABBKC_02273	K06179
AOJABBKC_02274	K08300
AOJABBKC_02276	K03315
AOJABBKC_02277	K02433
AOJABBKC_02278	K11407
AOJABBKC_02281	K03703
AOJABBKC_02282	K01556
AOJABBKC_02284	K00249
AOJABBKC_02286	K10680
AOJABBKC_02288	K01563
AOJABBKC_02290	K02371
AOJABBKC_02291	K00059
AOJABBKC_02296	K00812
AOJABBKC_02297	K03759
AOJABBKC_02301	K06978
AOJABBKC_02302	K03566
AOJABBKC_02305	K03307
AOJABBKC_02306	K01190
AOJABBKC_02312	K00087
AOJABBKC_02316	K01354
AOJABBKC_02317	K07001
AOJABBKC_02320	K00031
AOJABBKC_02321	K06181
AOJABBKC_02322	K12152
AOJABBKC_02323	K00566
AOJABBKC_02324	K07153
AOJABBKC_02326	K00472
AOJABBKC_02327	K05785
AOJABBKC_02328	K01840
AOJABBKC_02329	K03294
AOJABBKC_02332	K00616
AOJABBKC_02333	K05539
AOJABBKC_02335	K01669
AOJABBKC_02338	K07497
AOJABBKC_02343	K00249
AOJABBKC_02345	K00219
AOJABBKC_02347	K01961
AOJABBKC_02348	K05607
AOJABBKC_02360	K02417
AOJABBKC_02362	K02419
AOJABBKC_02363	K02420
AOJABBKC_02365	K02401
AOJABBKC_02368	K02405
AOJABBKC_02369	K04562
AOJABBKC_02371	K02400
AOJABBKC_02380	K02387
AOJABBKC_02381	K02388
AOJABBKC_02382	K00496
AOJABBKC_02384	K00456
