IGCIMHPM_00002	K00457
IGCIMHPM_01405	K02274
IGCIMHPM_01406	K02275
IGCIMHPM_01407	K03327
IGCIMHPM_01411	K00014
IGCIMHPM_01412	K00228
IGCIMHPM_01413	K07566
IGCIMHPM_01414	K01588
IGCIMHPM_01415	K04096
IGCIMHPM_01417	K01462
IGCIMHPM_01418	K00604
IGCIMHPM_01419	K03500
IGCIMHPM_01420	K03499
IGCIMHPM_01421	K03498
IGCIMHPM_01422	K01878
IGCIMHPM_01423	K01879
IGCIMHPM_01424	K00655
IGCIMHPM_01425	K02470
IGCIMHPM_01426	K03629
IGCIMHPM_01427	K02338
IGCIMHPM_01428	K02313
IGCIMHPM_01430	K08998
IGCIMHPM_01431	K03217
IGCIMHPM_01432	K03650
IGCIMHPM_01433	K07714
IGCIMHPM_01434	K07710
IGCIMHPM_01440	K02221
IGCIMHPM_01441	K00286
IGCIMHPM_01442	K06997
IGCIMHPM_01443	K02669
IGCIMHPM_01444	K02670
IGCIMHPM_01446	K00133
IGCIMHPM_01447	K01704
IGCIMHPM_01448	K01703
IGCIMHPM_01449	K21703
IGCIMHPM_01450	K00573
IGCIMHPM_01457	K02412
IGCIMHPM_01459	K02410
IGCIMHPM_01460	K02409
IGCIMHPM_01462	K01356
IGCIMHPM_01466	K03168
IGCIMHPM_01467	K08309
IGCIMHPM_01468	K03424
IGCIMHPM_01470	K04774
IGCIMHPM_01471	K02652
IGCIMHPM_01472	K02653
IGCIMHPM_01476	K00496
IGCIMHPM_01481	K03702
IGCIMHPM_01485	K02453
IGCIMHPM_01488	K01885
IGCIMHPM_01493	K00052
IGCIMHPM_01494	K09011
IGCIMHPM_01496	K14260
IGCIMHPM_01497	K07305
IGCIMHPM_01501	K01918
IGCIMHPM_01502	K01895
IGCIMHPM_01504	K00962
IGCIMHPM_01505	K02956
IGCIMHPM_01506	K03177
IGCIMHPM_01507	K02834
IGCIMHPM_01508	K02519
IGCIMHPM_01509	K02600
IGCIMHPM_01510	K09748
IGCIMHPM_01516	K03075
IGCIMHPM_01517	K01803
IGCIMHPM_01518	K03431
IGCIMHPM_01519	K00796
IGCIMHPM_01520	K03798
IGCIMHPM_01521	K02427
IGCIMHPM_01522	K07574
IGCIMHPM_01526	K07709
IGCIMHPM_01528	K07709
IGCIMHPM_01533	K11085
IGCIMHPM_01534	K01141
IGCIMHPM_01535	K07043
IGCIMHPM_01538	K03742
IGCIMHPM_01542	K15738
IGCIMHPM_01543	K01775
IGCIMHPM_01544	K15523
IGCIMHPM_01545	K01081
IGCIMHPM_01546	K13634
IGCIMHPM_01547	K02406
IGCIMHPM_01549	K02407
IGCIMHPM_01552	K02584
IGCIMHPM_01553	K07710
IGCIMHPM_01554	K07714
IGCIMHPM_01556	K15724
IGCIMHPM_01558	K09001
IGCIMHPM_01559	K19304
IGCIMHPM_01560	K01866
IGCIMHPM_01562	K15256
IGCIMHPM_01563	K15257
IGCIMHPM_01567	K00567
IGCIMHPM_01569	K00060
IGCIMHPM_01572	K17247
IGCIMHPM_01573	K07147
IGCIMHPM_01574	K17103
IGCIMHPM_01575	K02521
IGCIMHPM_01576	K00053
IGCIMHPM_01577	K01653
IGCIMHPM_01578	K01652
IGCIMHPM_01583	K02395
IGCIMHPM_01584	K02394
IGCIMHPM_01586	K02392
IGCIMHPM_01587	K02391
IGCIMHPM_01588	K02390
IGCIMHPM_01589	K02389
IGCIMHPM_01590	K02388
IGCIMHPM_01591	K02387
IGCIMHPM_01601	K00058
IGCIMHPM_01602	K03770
IGCIMHPM_01603	K03530
IGCIMHPM_01604	K01338
IGCIMHPM_01605	K03544
IGCIMHPM_01606	K01358
IGCIMHPM_01607	K03545
IGCIMHPM_01610	K15034
IGCIMHPM_01611	K01626
IGCIMHPM_01612	K00263
IGCIMHPM_01613	K09699
IGCIMHPM_01614	K00167
IGCIMHPM_01615	K00166
IGCIMHPM_01616	K03719
IGCIMHPM_01618	K01902
IGCIMHPM_01619	K01903
IGCIMHPM_01620	K00382
IGCIMHPM_01621	K00658
IGCIMHPM_01623	K03495
IGCIMHPM_01624	K03501
IGCIMHPM_01625	K03496
IGCIMHPM_01626	K03497
IGCIMHPM_01628	K02108
IGCIMHPM_01629	K02110
IGCIMHPM_01630	K02109
IGCIMHPM_01631	K02113
IGCIMHPM_01632	K02111
IGCIMHPM_01633	K02115
IGCIMHPM_01634	K02112
IGCIMHPM_01635	K02114
IGCIMHPM_01636	K04042
IGCIMHPM_01637	K00820
IGCIMHPM_01640	K14393
IGCIMHPM_01645	K20881
IGCIMHPM_01646	K04762
IGCIMHPM_01647	K04083
IGCIMHPM_01648	K01610
IGCIMHPM_01649	K03704
IGCIMHPM_01650	K01738
IGCIMHPM_01652	K03442
IGCIMHPM_01653	K02557
IGCIMHPM_01654	K11328
IGCIMHPM_01656	K02483
IGCIMHPM_01660	K01935
IGCIMHPM_01661	K02170
IGCIMHPM_01662	K00652
IGCIMHPM_01663	K01012
IGCIMHPM_01665	K02020
IGCIMHPM_01666	K02018
IGCIMHPM_01667	K02017
IGCIMHPM_01669	K21084
IGCIMHPM_01672	K07124
IGCIMHPM_01674	K03088
IGCIMHPM_01676	K03563
IGCIMHPM_01678	K04567
IGCIMHPM_01679	K02836
IGCIMHPM_01680	K01255
IGCIMHPM_01682	K00324
IGCIMHPM_01683	K00325
IGCIMHPM_01685	K00605
IGCIMHPM_01686	K00281
IGCIMHPM_01687	K00891
IGCIMHPM_01689	K03216
IGCIMHPM_01692	K14742
IGCIMHPM_01695	K00939
IGCIMHPM_01696	K04765
IGCIMHPM_01697	K00951
IGCIMHPM_01698	K12339
IGCIMHPM_01699	K07678
IGCIMHPM_01700	K03584
IGCIMHPM_01701	K03595
IGCIMHPM_01702	K03685
IGCIMHPM_01704	K03100
IGCIMHPM_01705	K03596
IGCIMHPM_01707	K03598
IGCIMHPM_01709	K03088
IGCIMHPM_01710	K00384
IGCIMHPM_01711	K00684
IGCIMHPM_01712	K00685
IGCIMHPM_01713	K02518
IGCIMHPM_01714	K05592
IGCIMHPM_01716	K02337
IGCIMHPM_01717	K03470
IGCIMHPM_01718	K00748
IGCIMHPM_01719	K00677
IGCIMHPM_01720	K02372
IGCIMHPM_01721	K02653
IGCIMHPM_01722	K02654
IGCIMHPM_01724	K05801
IGCIMHPM_01727	K04072
IGCIMHPM_01728	K11538
IGCIMHPM_01732	K01665
IGCIMHPM_01733	K01966
IGCIMHPM_01734	K01961
IGCIMHPM_01736	K01136
IGCIMHPM_01737	K00370
IGCIMHPM_01738	K00371
IGCIMHPM_01739	K00373
IGCIMHPM_01740	K00374
IGCIMHPM_01741	K00525
IGCIMHPM_01743	K01494
IGCIMHPM_01744	K03593
IGCIMHPM_01746	K01069
IGCIMHPM_01750	K19745
IGCIMHPM_01751	K00249
IGCIMHPM_01753	K00626
IGCIMHPM_01754	K00059
IGCIMHPM_01756	K01429
IGCIMHPM_01757	K01430
IGCIMHPM_01761	K01455
IGCIMHPM_01764	K02012
IGCIMHPM_01765	K02011
IGCIMHPM_01766	K11072
IGCIMHPM_01768	K06180
IGCIMHPM_01770	K00674
IGCIMHPM_01771	K01579
IGCIMHPM_01773	K06959
IGCIMHPM_01774	K04760
IGCIMHPM_01776	K09791
IGCIMHPM_01777	K02503
IGCIMHPM_01778	K01872
IGCIMHPM_01780	K02527
IGCIMHPM_01781	K01915
IGCIMHPM_01782	K01890
IGCIMHPM_01783	K04764
IGCIMHPM_01787	K00864
IGCIMHPM_01788	K02837
IGCIMHPM_01792	K09861
IGCIMHPM_01793	K07735
IGCIMHPM_01794	K07447
IGCIMHPM_01797	K01724
IGCIMHPM_01798	K00557
IGCIMHPM_01800	K00854
IGCIMHPM_01801	K01805
IGCIMHPM_01802	K00616
IGCIMHPM_01803	K00145
IGCIMHPM_01806	K15724
