GEPHEFPO_00002	K01866
GEPHEFPO_01425	K03615
GEPHEFPO_01426	K03614
GEPHEFPO_01427	K03612
GEPHEFPO_01428	K03613
GEPHEFPO_01429	K01652
GEPHEFPO_01430	K06991
GEPHEFPO_01433	K12235
GEPHEFPO_01434	K03284
GEPHEFPO_01435	K05802
GEPHEFPO_01436	K01940
GEPHEFPO_01437	K00604
GEPHEFPO_01438	K01465
GEPHEFPO_01439	K03683
GEPHEFPO_01440	K03310
GEPHEFPO_01442	K04771
GEPHEFPO_01443	K00029
GEPHEFPO_01444	K07056
GEPHEFPO_01446	K07460
GEPHEFPO_01447	K03271
GEPHEFPO_01449	K00626
GEPHEFPO_01450	K03600
GEPHEFPO_01451	K03599
GEPHEFPO_01452	K00412
GEPHEFPO_01453	K00411
GEPHEFPO_01454	K02996
GEPHEFPO_01455	K02871
GEPHEFPO_01456	K06916
GEPHEFPO_01459	K00640
GEPHEFPO_01460	K04567
GEPHEFPO_01461	K02356
GEPHEFPO_01464	K01079
GEPHEFPO_01467	K00640
GEPHEFPO_01469	K03799
GEPHEFPO_01471	K06206
GEPHEFPO_01472	K06204
GEPHEFPO_01473	K01894
GEPHEFPO_01475	K07710
GEPHEFPO_01476	K07713
GEPHEFPO_01477	K00970
GEPHEFPO_01478	K00950
GEPHEFPO_01479	K15518
GEPHEFPO_01480	K00606
GEPHEFPO_01481	K00432
GEPHEFPO_01483	K03310
GEPHEFPO_01484	K03711
GEPHEFPO_01486	K09801
GEPHEFPO_01488	K03308
GEPHEFPO_01489	K03664
GEPHEFPO_01492	K05592
GEPHEFPO_01494	K03327
GEPHEFPO_01495	K02493
GEPHEFPO_01496	K02835
GEPHEFPO_01497	K02492
GEPHEFPO_01499	K02494
GEPHEFPO_01501	K00948
GEPHEFPO_01502	K02897
GEPHEFPO_01503	K01056
GEPHEFPO_01504	K06942
GEPHEFPO_01513	K11744
GEPHEFPO_01515	K07090
GEPHEFPO_01518	K02837
GEPHEFPO_01519	K01772
GEPHEFPO_01520	K11414
GEPHEFPO_01521	K00147
GEPHEFPO_01522	K00969
GEPHEFPO_01523	K09710
GEPHEFPO_01524	K00783
GEPHEFPO_01525	K05515
GEPHEFPO_01526	K05837
GEPHEFPO_01527	K08305
GEPHEFPO_01528	K03642
GEPHEFPO_01529	K07258
GEPHEFPO_01530	K09158
GEPHEFPO_01531	K03801
GEPHEFPO_01532	K03644
GEPHEFPO_01534	K02346
GEPHEFPO_01535	K07789
GEPHEFPO_01536	K03585
GEPHEFPO_01538	K01507
GEPHEFPO_01539	K03087
GEPHEFPO_01540	K06194
GEPHEFPO_01541	K08974
GEPHEFPO_01542	K00573
GEPHEFPO_01543	K06176
GEPHEFPO_01544	K01770
GEPHEFPO_01545	K00991
GEPHEFPO_01547	K01689
GEPHEFPO_01548	K01627
GEPHEFPO_01549	K01937
GEPHEFPO_01550	K04075
GEPHEFPO_01551	K09898
GEPHEFPO_01553	K03216
GEPHEFPO_01554	K03840
GEPHEFPO_01559	K01749
GEPHEFPO_01561	K01755
GEPHEFPO_01562	K06202
GEPHEFPO_01563	K01586
GEPHEFPO_01564	K01778
GEPHEFPO_01566	K12573
GEPHEFPO_01567	K11527
GEPHEFPO_01570	K11624
GEPHEFPO_01572	K02884
GEPHEFPO_01573	K00554
GEPHEFPO_01574	K02860
GEPHEFPO_01575	K02959
GEPHEFPO_01576	K03106
GEPHEFPO_01582	K18453
GEPHEFPO_01585	K03386
GEPHEFPO_01586	K07390
GEPHEFPO_01590	K00821
GEPHEFPO_01591	K00611
GEPHEFPO_01592	K03624
GEPHEFPO_01593	K01955
GEPHEFPO_01594	K01956
GEPHEFPO_01595	K00215
GEPHEFPO_01596	K03686
GEPHEFPO_01597	K04043
GEPHEFPO_01598	K03687
GEPHEFPO_01604	K01916
GEPHEFPO_01605	K05807
GEPHEFPO_01606	K06180
GEPHEFPO_01607	K05810
GEPHEFPO_01608	K02888
GEPHEFPO_01609	K02899
GEPHEFPO_01610	K03979
GEPHEFPO_01611	K00931
GEPHEFPO_01612	K07003
GEPHEFPO_01616	K00038
GEPHEFPO_01620	K22071
GEPHEFPO_01622	K00529
GEPHEFPO_01624	K00433
GEPHEFPO_01625	K00666
GEPHEFPO_01630	K00019
GEPHEFPO_01634	K03695
GEPHEFPO_01637	K01752
GEPHEFPO_01638	K01923
GEPHEFPO_01639	K07071
GEPHEFPO_01640	K00059
GEPHEFPO_01641	K13703
GEPHEFPO_01642	K00813
GEPHEFPO_01643	K00891
GEPHEFPO_01644	K00858
GEPHEFPO_01645	K02441
GEPHEFPO_01648	K01256
GEPHEFPO_01649	K14393
GEPHEFPO_01652	K07114
GEPHEFPO_01653	K07114
GEPHEFPO_01656	K03924
GEPHEFPO_01657	K15371
GEPHEFPO_01659	K12297
GEPHEFPO_01664	K09768
GEPHEFPO_01665	K01868
GEPHEFPO_01666	K02520
GEPHEFPO_01667	K02916
GEPHEFPO_01668	K02887
GEPHEFPO_01669	K01889
GEPHEFPO_01670	K01890
GEPHEFPO_01671	K04764
GEPHEFPO_01678	K00060
GEPHEFPO_01679	K00639
GEPHEFPO_01681	K00496
GEPHEFPO_01684	K01738
GEPHEFPO_01694	K03719
GEPHEFPO_01695	K00259
GEPHEFPO_01696	K15257
GEPHEFPO_01698	K00128
GEPHEFPO_01699	K15256
GEPHEFPO_01700	K06972
GEPHEFPO_01702	K01703
GEPHEFPO_01703	K01704
GEPHEFPO_01704	K00133
GEPHEFPO_01706	K06173
GEPHEFPO_01707	K01817
GEPHEFPO_01708	K01963
GEPHEFPO_01709	K11754
GEPHEFPO_01711	K03558
GEPHEFPO_01712	K00764
GEPHEFPO_01713	K10764
GEPHEFPO_01714	K07304
GEPHEFPO_01715	K08189
GEPHEFPO_01718	K00128
GEPHEFPO_01719	K23256
GEPHEFPO_01720	K00359
GEPHEFPO_01724	K02032
GEPHEFPO_01725	K15582
GEPHEFPO_01726	K15581
GEPHEFPO_01727	K15580
GEPHEFPO_01728	K02343
GEPHEFPO_01729	K09747
GEPHEFPO_01730	K06187
GEPHEFPO_01731	K03684
GEPHEFPO_01732	K09902
GEPHEFPO_01733	K09160
GEPHEFPO_01735	K09516
GEPHEFPO_01736	K03305
GEPHEFPO_01739	K01897
GEPHEFPO_01740	K03186
GEPHEFPO_01743	K03654
GEPHEFPO_01745	K03719
GEPHEFPO_01746	K02283
GEPHEFPO_01755	K21993
GEPHEFPO_01756	K01725
GEPHEFPO_01757	K08797
GEPHEFPO_01759	K01881
GEPHEFPO_01762	K07160
GEPHEFPO_01763	K06351
GEPHEFPO_01764	K06350
GEPHEFPO_01765	K22210
GEPHEFPO_01766	K00824
GEPHEFPO_01768	K07305
GEPHEFPO_01769	K09767
GEPHEFPO_01771	K03118
GEPHEFPO_01772	K03117
GEPHEFPO_01775	K07512
GEPHEFPO_01777	K06878
GEPHEFPO_01783	K12663
GEPHEFPO_01784	K00249
GEPHEFPO_01786	K05894
GEPHEFPO_01790	K00666
GEPHEFPO_01792	K00059
GEPHEFPO_01793	K01132
GEPHEFPO_01796	K22443
GEPHEFPO_01797	K05349
GEPHEFPO_01800	K08138
GEPHEFPO_01802	K05349
GEPHEFPO_01803	K06889
GEPHEFPO_01806	K15578
GEPHEFPO_01815	K22443
GEPHEFPO_01818	K00548
GEPHEFPO_01822	K00547
GEPHEFPO_01823	K00253
GEPHEFPO_01826	K12507
GEPHEFPO_01829	K23256
GEPHEFPO_01832	K22443
GEPHEFPO_01833	K00059
GEPHEFPO_01834	K00059
GEPHEFPO_01835	K00059
GEPHEFPO_01836	K00059
GEPHEFPO_01837	K13985
GEPHEFPO_01843	K01796
GEPHEFPO_01844	K02106
GEPHEFPO_01845	K23016
GEPHEFPO_01846	K03296
GEPHEFPO_01848	K00052
GEPHEFPO_01849	K11921
GEPHEFPO_01850	K01028
GEPHEFPO_01851	K01029
GEPHEFPO_01853	K03451
GEPHEFPO_01854	K14346
GEPHEFPO_01855	K04485
GEPHEFPO_01856	K22883
GEPHEFPO_01857	K00059
GEPHEFPO_01860	K00906
GEPHEFPO_01863	K02453
GEPHEFPO_01872	K02653
GEPHEFPO_01873	K02454
GEPHEFPO_01876	K06168
GEPHEFPO_01877	K06217
GEPHEFPO_01878	K07042
GEPHEFPO_01879	K06189
GEPHEFPO_01880	K03820
GEPHEFPO_01881	K03564
GEPHEFPO_01882	K01869
GEPHEFPO_01884	K02340
GEPHEFPO_01885	K14445
GEPHEFPO_01888	K00992
GEPHEFPO_01889	K07102
GEPHEFPO_01890	K04744
GEPHEFPO_01891	K03771
GEPHEFPO_01892	K00097
GEPHEFPO_01893	K02528
GEPHEFPO_01894	K06195
GEPHEFPO_01895	K01525
GEPHEFPO_01896	K07386
GEPHEFPO_01897	K02879
GEPHEFPO_01898	K03040
GEPHEFPO_01899	K02986
GEPHEFPO_01900	K02948
GEPHEFPO_01901	K02952
GEPHEFPO_01902	K01952
GEPHEFPO_01905	K08997
GEPHEFPO_01910	K02521
GEPHEFPO_01911	K00053
GEPHEFPO_01912	K02168
GEPHEFPO_01913	K02429
GEPHEFPO_01915	K01847
GEPHEFPO_01916	K04043
GEPHEFPO_01917	K00529
GEPHEFPO_01918	K01271
GEPHEFPO_01919	K11102
GEPHEFPO_01923	K02500
GEPHEFPO_01924	K14652
GEPHEFPO_01925	K03296
GEPHEFPO_01927	K03296
GEPHEFPO_01928	K03585
GEPHEFPO_01929	K01095
GEPHEFPO_01930	K00946
GEPHEFPO_01931	K03625
GEPHEFPO_01932	K00794
GEPHEFPO_01933	K14652
GEPHEFPO_01934	K00793
GEPHEFPO_01935	K11752
GEPHEFPO_01936	K07738
GEPHEFPO_01938	K00600
GEPHEFPO_01939	K03215
GEPHEFPO_01946	K01669
GEPHEFPO_01947	K06876
GEPHEFPO_01950	K13789
GEPHEFPO_01951	K10027
GEPHEFPO_01952	K03775
GEPHEFPO_01953	K00134
GEPHEFPO_01957	K03710
GEPHEFPO_01958	K07461
GEPHEFPO_01960	K07053
GEPHEFPO_01962	K03676
GEPHEFPO_01963	K03071
GEPHEFPO_01964	K07712
GEPHEFPO_01965	K02956
GEPHEFPO_01966	K03177
GEPHEFPO_01967	K02834
GEPHEFPO_01968	K02519
GEPHEFPO_01969	K02600
GEPHEFPO_01970	K09748
GEPHEFPO_01972	K05801
GEPHEFPO_01973	K01913
GEPHEFPO_01975	K06929
GEPHEFPO_01976	K00605
GEPHEFPO_01978	K03075
GEPHEFPO_01979	K01803
GEPHEFPO_01980	K03431
GEPHEFPO_01981	K00796
GEPHEFPO_01982	K03798
GEPHEFPO_01983	K02427
GEPHEFPO_01984	K07574
GEPHEFPO_01985	K04771
GEPHEFPO_01986	K00817
GEPHEFPO_01987	K00013
GEPHEFPO_01988	K00765
GEPHEFPO_01989	K00790
GEPHEFPO_01992	K07301
GEPHEFPO_01993	K06041
GEPHEFPO_01994	K03270
GEPHEFPO_01997	K06861
GEPHEFPO_01998	K03092
GEPHEFPO_01999	K05808
GEPHEFPO_02000	K02806
GEPHEFPO_02001	K06958
GEPHEFPO_02002	K11189
GEPHEFPO_02003	K06213
GEPHEFPO_02005	K11206
GEPHEFPO_02007	K08301
GEPHEFPO_02008	K06287
GEPHEFPO_02010	K03570
GEPHEFPO_02011	K03569
GEPHEFPO_02012	K02435
GEPHEFPO_02013	K02433
GEPHEFPO_02014	K02434
GEPHEFPO_02018	K22303
GEPHEFPO_02019	K18208
GEPHEFPO_02020	K18622
GEPHEFPO_02025	K07124
GEPHEFPO_02028	K06158
GEPHEFPO_02029	K09607
GEPHEFPO_02036	K11209
GEPHEFPO_02041	K00128
GEPHEFPO_02042	K06878
GEPHEFPO_02043	K13049
GEPHEFPO_02045	K00433
GEPHEFPO_02048	K07407
GEPHEFPO_02049	K03307
GEPHEFPO_02051	K03809
GEPHEFPO_02052	K00537
GEPHEFPO_02053	K07058
GEPHEFPO_02055	K00128
GEPHEFPO_02056	K00567
GEPHEFPO_02057	K13872
GEPHEFPO_02062	K01092
GEPHEFPO_02063	K15396
GEPHEFPO_02064	K13643
GEPHEFPO_02065	K04487
GEPHEFPO_02066	K04488
GEPHEFPO_02067	K13628
GEPHEFPO_02068	K04082
GEPHEFPO_02069	K04044
GEPHEFPO_02070	K04755
GEPHEFPO_02073	K00940
GEPHEFPO_02074	K06941
GEPHEFPO_02076	K03526
GEPHEFPO_02077	K01892
GEPHEFPO_02079	K17713
GEPHEFPO_02084	K00821
GEPHEFPO_02086	K00010
GEPHEFPO_02087	K00059
GEPHEFPO_02088	K03977
GEPHEFPO_02089	K03719
GEPHEFPO_02090	K01739
GEPHEFPO_02092	K03601
GEPHEFPO_02093	K00088
GEPHEFPO_02097	K03719
GEPHEFPO_02098	K01338
GEPHEFPO_02099	K03530
GEPHEFPO_02100	K03770
GEPHEFPO_02101	K08307
GEPHEFPO_02103	K03469
GEPHEFPO_02104	K02342
GEPHEFPO_02105	K03578
GEPHEFPO_02107	K09930
GEPHEFPO_02109	K04754
GEPHEFPO_02119	K21085
GEPHEFPO_02121	K03775
GEPHEFPO_02123	K12343
GEPHEFPO_02125	K00833
GEPHEFPO_02127	K14058
GEPHEFPO_02128	K11928
GEPHEFPO_02132	K01887
GEPHEFPO_02134	K01960
GEPHEFPO_02135	K04066
GEPHEFPO_02137	K09470
GEPHEFPO_02140	K00833
GEPHEFPO_02141	K00252
GEPHEFPO_02142	K18703
GEPHEFPO_02143	K01581
GEPHEFPO_02144	K03719
GEPHEFPO_02145	K03315
GEPHEFPO_02147	K01436
GEPHEFPO_02148	K00830
GEPHEFPO_02149	K18703
GEPHEFPO_02154	K13444
GEPHEFPO_02164	K01695
GEPHEFPO_02165	K01696
GEPHEFPO_02166	K00525
GEPHEFPO_02168	K01673
GEPHEFPO_02169	K07588
GEPHEFPO_02170	K01965
