JICOJHNP_00001	K01745
JICOJHNP_02012	K01867
JICOJHNP_02013	K06178
JICOJHNP_02014	K00620
JICOJHNP_02015	K01008
JICOJHNP_02018	K06173
JICOJHNP_02019	K03281
JICOJHNP_02022	K06041
JICOJHNP_02023	K00850
JICOJHNP_02025	K00791
JICOJHNP_02027	K03388
JICOJHNP_02030	K00125
JICOJHNP_02031	K16950
JICOJHNP_02032	K00326
JICOJHNP_02033	K11179
JICOJHNP_02035	K12251
JICOJHNP_02036	K04754
JICOJHNP_02037	K02067
JICOJHNP_02038	K02065
JICOJHNP_02039	K02066
JICOJHNP_02042	K02238
JICOJHNP_02043	K07123
JICOJHNP_02045	K00135
JICOJHNP_02046	K01873
JICOJHNP_02048	K09761
JICOJHNP_02050	K23518
JICOJHNP_02051	K01726
JICOJHNP_02053	K07680
JICOJHNP_02055	K13532
JICOJHNP_02056	K07714
JICOJHNP_02057	K07133
JICOJHNP_02061	K00548
JICOJHNP_02068	K00175
JICOJHNP_02069	K00174
JICOJHNP_02076	K11527
JICOJHNP_02085	K17509
JICOJHNP_02086	K02488
JICOJHNP_02089	K01843
JICOJHNP_02093	K00903
JICOJHNP_02096	K01256
JICOJHNP_02097	K00012
JICOJHNP_02099	K08679
JICOJHNP_02105	K00574
JICOJHNP_02106	K03723
JICOJHNP_02108	K06415
JICOJHNP_02111	K00991
JICOJHNP_02113	K07164
JICOJHNP_02116	K03086
JICOJHNP_02117	K02316
JICOJHNP_02118	K01814
JICOJHNP_02119	K01693
JICOJHNP_02122	K19303
JICOJHNP_02136	K03695
JICOJHNP_02138	K03820
JICOJHNP_02140	K00059
JICOJHNP_02142	K07658
JICOJHNP_02143	K02039
JICOJHNP_02144	K02036
JICOJHNP_02145	K02038
JICOJHNP_02146	K02038
JICOJHNP_02147	K02040
JICOJHNP_02166	K17677
JICOJHNP_02208	K07639
JICOJHNP_02209	K07661
JICOJHNP_02217	K04561
JICOJHNP_02223	K09181
JICOJHNP_02224	K06213
JICOJHNP_02228	K06972
JICOJHNP_02230	K02528
JICOJHNP_02231	K10206
JICOJHNP_02232	K03750
JICOJHNP_02233	K07219
JICOJHNP_02234	K03640
JICOJHNP_02235	K06153
JICOJHNP_02236	K01835
JICOJHNP_02237	K03657
JICOJHNP_02241	K01620
JICOJHNP_02242	K01126
JICOJHNP_02243	K01647
JICOJHNP_02245	K03631
JICOJHNP_02248	K11175
JICOJHNP_02249	K02335
JICOJHNP_02252	K00858
JICOJHNP_02253	K01153
JICOJHNP_02255	K06213
JICOJHNP_02259	K01273
JICOJHNP_02267	K13566
JICOJHNP_02268	K03522
JICOJHNP_02269	K03521
JICOJHNP_02270	K00248
JICOJHNP_02274	K01745
JICOJHNP_02275	K02481
JICOJHNP_02277	K02028
JICOJHNP_02278	K02029
JICOJHNP_02294	K07154
JICOJHNP_02296	K15836
JICOJHNP_02304	K03282
JICOJHNP_02305	K07301
JICOJHNP_02307	K07714
JICOJHNP_02309	K01997
JICOJHNP_02312	K00567
JICOJHNP_02315	K07444
JICOJHNP_02320	K13985
JICOJHNP_02321	K19970
JICOJHNP_02323	K00059
JICOJHNP_02324	K07005
JICOJHNP_02327	K01998
JICOJHNP_02328	K01997
JICOJHNP_02329	K01996
JICOJHNP_02330	K01995
JICOJHNP_02332	K12251
JICOJHNP_02333	K10536
JICOJHNP_02336	K11072
JICOJHNP_02339	K07133
JICOJHNP_02343	K02837
JICOJHNP_02344	K00831
JICOJHNP_02345	K00058
JICOJHNP_02346	K09761
JICOJHNP_02348	K15738
JICOJHNP_02351	K02483
JICOJHNP_02352	K07636
JICOJHNP_02353	K04771
JICOJHNP_02355	K01802
JICOJHNP_02356	K07263
JICOJHNP_02361	K03797
JICOJHNP_02362	K14540
JICOJHNP_02363	K08307
JICOJHNP_02366	K01951
JICOJHNP_02367	K02356
JICOJHNP_02368	K03168
JICOJHNP_02369	K04096
JICOJHNP_02370	K03074
JICOJHNP_02371	K03072
JICOJHNP_02372	K03210
JICOJHNP_02374	K08300
JICOJHNP_02375	K18691
JICOJHNP_02376	K02621
JICOJHNP_02377	K09122
JICOJHNP_02381	K12368
JICOJHNP_02382	K02033
JICOJHNP_02383	K19802
JICOJHNP_02384	K02034
JICOJHNP_02385	K02031
JICOJHNP_02386	K02032
JICOJHNP_02395	K00547
JICOJHNP_02397	K03417
JICOJHNP_02402	K03702
JICOJHNP_02407	K03325
JICOJHNP_02408	K03741
JICOJHNP_02409	K03892
JICOJHNP_02411	K07089
JICOJHNP_02416	K00020
JICOJHNP_02420	K11941
JICOJHNP_02425	K00761
JICOJHNP_02426	K04066
JICOJHNP_02427	K18384
JICOJHNP_02428	K02687
JICOJHNP_02429	K07098
JICOJHNP_02434	K03544
JICOJHNP_02444	K18672
JICOJHNP_02445	K01897
JICOJHNP_02450	K01012
JICOJHNP_02451	K03394
JICOJHNP_02452	K15634
JICOJHNP_02460	K07713
JICOJHNP_02462	K03671
JICOJHNP_02465	K12369
JICOJHNP_02466	K12368
JICOJHNP_02467	K12368
JICOJHNP_02468	K12369
JICOJHNP_02469	K02034
JICOJHNP_02470	K15583
JICOJHNP_02471	K02032
JICOJHNP_02476	K23356
JICOJHNP_02480	K03969
JICOJHNP_02481	K03974
JICOJHNP_02482	K00196
JICOJHNP_02485	K00769
JICOJHNP_02486	K01940
JICOJHNP_02492	K00008
JICOJHNP_02493	K00059
JICOJHNP_02494	K21393
JICOJHNP_02498	K00013
JICOJHNP_02502	K12146
JICOJHNP_02504	K01754
JICOJHNP_02507	K18384
JICOJHNP_02510	K01271
JICOJHNP_02512	K00600
JICOJHNP_02513	K07675
JICOJHNP_02514	K00864
JICOJHNP_02519	K07133
JICOJHNP_02520	K07133
JICOJHNP_02521	K07133
JICOJHNP_02524	K07133
JICOJHNP_02525	K07133
JICOJHNP_02530	K07486
JICOJHNP_02531	K07692
JICOJHNP_02536	K07171
JICOJHNP_02537	K07133
JICOJHNP_02542	K07133
JICOJHNP_02544	K00958
JICOJHNP_02558	K01791
JICOJHNP_02564	K01738
JICOJHNP_02568	K03522
JICOJHNP_02569	K03521
JICOJHNP_02572	K00314
JICOJHNP_02576	K07309
JICOJHNP_02578	K07309
JICOJHNP_02580	K00027
JICOJHNP_02581	K01681
JICOJHNP_02582	K00104
JICOJHNP_02584	K22373
JICOJHNP_02587	K00819
JICOJHNP_02588	K01207
JICOJHNP_02589	K01409
JICOJHNP_02590	K01933
JICOJHNP_02591	K00003
JICOJHNP_02593	K03272
JICOJHNP_02598	K00930
JICOJHNP_02599	K03667
JICOJHNP_02600	K01419
JICOJHNP_02601	K03733
JICOJHNP_02603	K13038
JICOJHNP_02607	K02066
JICOJHNP_02608	K02065
JICOJHNP_02611	K01715
JICOJHNP_02614	K01990
JICOJHNP_02629	K21681
JICOJHNP_02631	K12993
JICOJHNP_02632	K01990
JICOJHNP_02633	K09690
JICOJHNP_02634	K07714
JICOJHNP_02635	K01465
JICOJHNP_02636	K00609
JICOJHNP_02637	K03100
JICOJHNP_02640	K01627
JICOJHNP_02641	K03270
JICOJHNP_02644	K06861
JICOJHNP_02645	K03092
JICOJHNP_02647	K02768
JICOJHNP_02648	K06958
JICOJHNP_02649	K11194
JICOJHNP_02650	K00134
JICOJHNP_02651	K01803
JICOJHNP_02654	K03574
JICOJHNP_02655	K03501
JICOJHNP_02656	K02355
JICOJHNP_02658	K08305
JICOJHNP_02660	K03717
JICOJHNP_02670	K08349
JICOJHNP_02677	K03388
JICOJHNP_02679	K04083
JICOJHNP_02680	K07391
JICOJHNP_02681	K02535
JICOJHNP_02684	K02481
JICOJHNP_02685	K08316
JICOJHNP_02686	K00954
JICOJHNP_02687	K08189
JICOJHNP_02688	K18880
JICOJHNP_02689	K01473
JICOJHNP_02690	K11406
JICOJHNP_02691	K04567
JICOJHNP_02692	K08974
JICOJHNP_02693	K00573
JICOJHNP_02694	K10716
JICOJHNP_02695	K01934
JICOJHNP_02696	K01875
JICOJHNP_02697	K01733
JICOJHNP_02700	K02666
JICOJHNP_02705	K07709
JICOJHNP_02706	K07714
JICOJHNP_02709	K04759
JICOJHNP_02710	K03711
JICOJHNP_02712	K05540
JICOJHNP_02715	K02669
JICOJHNP_02716	K02669
JICOJHNP_02718	K02221
JICOJHNP_02721	K11261
JICOJHNP_02723	K03753
JICOJHNP_02724	K13990
JICOJHNP_02725	K02488
JICOJHNP_02727	K00626
JICOJHNP_02729	K02028
JICOJHNP_02772	K07669
JICOJHNP_02780	K07455
JICOJHNP_02792	K03628
JICOJHNP_02793	K01338
JICOJHNP_02794	K03544
JICOJHNP_02795	K01358
JICOJHNP_02796	K03545
JICOJHNP_02799	K03687
JICOJHNP_02800	K04043
JICOJHNP_02801	K01897
JICOJHNP_02803	K03517
JICOJHNP_02805	K02427
JICOJHNP_02811	K07713
JICOJHNP_02813	K02013
JICOJHNP_02814	K02015
JICOJHNP_02815	K02016
JICOJHNP_02816	K16089
JICOJHNP_02818	K02016
JICOJHNP_02819	K02015
JICOJHNP_02820	K02013
JICOJHNP_02821	K03561
JICOJHNP_02824	K07636
JICOJHNP_02828	K03653
JICOJHNP_02829	K06920
JICOJHNP_02841	K05606
JICOJHNP_02842	K01847
JICOJHNP_02843	K07588
JICOJHNP_02844	K01903
JICOJHNP_02845	K01902
JICOJHNP_02846	K00246
JICOJHNP_02847	K00244
JICOJHNP_02848	K00245
JICOJHNP_02849	K01676
JICOJHNP_02851	K01679
JICOJHNP_02853	K00287
JICOJHNP_02855	K05834
JICOJHNP_02859	K23242
JICOJHNP_02861	K03717
JICOJHNP_02863	K00175
JICOJHNP_02864	K00174
JICOJHNP_02865	K00266
JICOJHNP_02866	K06959
JICOJHNP_02867	K11065
JICOJHNP_02874	K00355
JICOJHNP_02880	K03733
JICOJHNP_02883	K03303
JICOJHNP_02886	K11991
JICOJHNP_02887	K01939
JICOJHNP_02889	K20344
JICOJHNP_02892	K01758
JICOJHNP_02893	K01436
JICOJHNP_02894	K03596
JICOJHNP_02895	K01715
JICOJHNP_02896	K01905
JICOJHNP_02897	K07080
JICOJHNP_02903	K07282
JICOJHNP_02906	K01649
JICOJHNP_02907	K01649
JICOJHNP_02908	K01653
JICOJHNP_02926	K00762
JICOJHNP_02927	K07651
JICOJHNP_02928	K02481
JICOJHNP_02929	K07710
JICOJHNP_02930	K03773
JICOJHNP_02933	K01054
JICOJHNP_02936	K03439
JICOJHNP_02939	K01966
JICOJHNP_02940	K00986
JICOJHNP_02944	K00986
JICOJHNP_02952	K02037
JICOJHNP_02953	K02038
JICOJHNP_02954	K02040
JICOJHNP_02955	K02036
JICOJHNP_02956	K02039
JICOJHNP_02962	K06204
JICOJHNP_02965	K07675
JICOJHNP_02966	K11618
JICOJHNP_02967	K00059
JICOJHNP_02968	K19709
JICOJHNP_02974	K06861
JICOJHNP_02975	K01995
JICOJHNP_02976	K01997
JICOJHNP_02977	K01998
JICOJHNP_02978	K01915
JICOJHNP_02979	K18151
JICOJHNP_02981	K11249
JICOJHNP_02982	K03415
JICOJHNP_02984	K06897
JICOJHNP_02986	K03426
JICOJHNP_02989	K01082
JICOJHNP_02992	K03593
JICOJHNP_02993	K01129
JICOJHNP_02994	K09740
JICOJHNP_02995	K01745
JICOJHNP_02997	K01712
JICOJHNP_02998	K01468
JICOJHNP_03003	K01905
JICOJHNP_03007	K07096
JICOJHNP_03011	K03555
JICOJHNP_03012	K01448
JICOJHNP_03013	K01715
JICOJHNP_03016	K02108
JICOJHNP_03019	K05810
JICOJHNP_03020	K03272
JICOJHNP_03023	K21393
JICOJHNP_03026	K00666
JICOJHNP_03028	K03719
JICOJHNP_03029	K01845
JICOJHNP_03030	K01745
JICOJHNP_03033	K10038
JICOJHNP_03034	K10037
JICOJHNP_03036	K01768
JICOJHNP_03037	K00673
JICOJHNP_03039	K03321
JICOJHNP_03040	K07814
JICOJHNP_03043	K07071
JICOJHNP_03045	K22224
JICOJHNP_03046	K22224
JICOJHNP_03047	K01142
JICOJHNP_03049	K01647
JICOJHNP_03052	K00101
JICOJHNP_03055	K05919
JICOJHNP_03059	K07071
JICOJHNP_03062	K01912
JICOJHNP_03064	K01434
JICOJHNP_03067	K00426
JICOJHNP_03068	K00425
JICOJHNP_03071	K08354
JICOJHNP_03075	K07714
JICOJHNP_03081	K00772
JICOJHNP_03082	K00759
JICOJHNP_03085	K03583
JICOJHNP_03086	K03582
JICOJHNP_03088	K01426
JICOJHNP_03096	K00104
JICOJHNP_03099	K07043
JICOJHNP_03106	K13985
JICOJHNP_03107	K05841
JICOJHNP_03114	K00133
JICOJHNP_03116	K07443
JICOJHNP_03120	K01012
JICOJHNP_03125	K00833
JICOJHNP_03126	K03738
JICOJHNP_03130	K06871
JICOJHNP_03132	K02481
JICOJHNP_03133	K03216
JICOJHNP_03137	K12132
JICOJHNP_03138	K00925
JICOJHNP_03140	K00259
JICOJHNP_03142	K01652
JICOJHNP_03144	K03499
JICOJHNP_03145	K03498
JICOJHNP_03152	K03924
JICOJHNP_03154	K00934
JICOJHNP_03155	K12267
JICOJHNP_03157	K02257
JICOJHNP_03159	K14347
JICOJHNP_03160	K03110
JICOJHNP_03162	K01972
JICOJHNP_03164	K03671
JICOJHNP_03166	K07714
JICOJHNP_03167	K07658
JICOJHNP_03168	K07710
JICOJHNP_03171	K00941
JICOJHNP_03172	K00788
JICOJHNP_03173	K00878
JICOJHNP_03176	K02049
JICOJHNP_03178	K07334
JICOJHNP_03179	K21498
JICOJHNP_03185	K04019
JICOJHNP_03192	K13298
JICOJHNP_03196	K04763
JICOJHNP_03197	K04763
JICOJHNP_03199	K01870
JICOJHNP_03203	K01271
JICOJHNP_03205	K00600
JICOJHNP_03214	K03724
JICOJHNP_03234	K21498
JICOJHNP_03235	K07334
JICOJHNP_03243	K00833
JICOJHNP_03244	K00823
JICOJHNP_03246	K03547
JICOJHNP_03247	K03546
JICOJHNP_03248	K03497
JICOJHNP_03252	K01687
JICOJHNP_03253	K01652
JICOJHNP_03254	K01653
JICOJHNP_03255	K00285
JICOJHNP_03262	K02032
JICOJHNP_03263	K02031
JICOJHNP_03264	K02034
JICOJHNP_03265	K02033
JICOJHNP_03266	K12368
JICOJHNP_03267	K02481
JICOJHNP_03268	K03426
JICOJHNP_03269	K14982
JICOJHNP_03273	K07718
JICOJHNP_03274	K02477
JICOJHNP_03275	K03497
JICOJHNP_03276	K03324
JICOJHNP_03279	K05844
JICOJHNP_03280	K09181
JICOJHNP_03283	K06131
JICOJHNP_03288	K15836
JICOJHNP_03290	K21470
JICOJHNP_03291	K10951
JICOJHNP_03292	K16052
JICOJHNP_03293	K04043
JICOJHNP_03299	K17828
JICOJHNP_03300	K02823
JICOJHNP_03303	K00059
JICOJHNP_03306	K00394
JICOJHNP_03308	K03388
JICOJHNP_03310	K03704
JICOJHNP_03311	K00052
JICOJHNP_03316	K19002
JICOJHNP_03318	K01431
JICOJHNP_03319	K00266
JICOJHNP_03320	K17723
JICOJHNP_03321	K01464
JICOJHNP_03322	K18967
JICOJHNP_03323	K00059
JICOJHNP_03327	K00262
JICOJHNP_03330	K01998
JICOJHNP_03331	K01997
JICOJHNP_03332	K01996
JICOJHNP_03333	K01995
JICOJHNP_03335	K12251
JICOJHNP_03336	K10536
JICOJHNP_03340	K00772
JICOJHNP_03342	K01879
JICOJHNP_03351	K07491
JICOJHNP_03355	K01154
JICOJHNP_03356	K03427
JICOJHNP_03358	K03655
JICOJHNP_03359	K01153
JICOJHNP_03369	K03183
JICOJHNP_03375	K01153
JICOJHNP_03381	K12478
JICOJHNP_03382	K10706
JICOJHNP_03384	K07497
JICOJHNP_03387	K00243
JICOJHNP_03388	K00020
JICOJHNP_03389	K11717
JICOJHNP_03391	K06350
JICOJHNP_03392	K06351
JICOJHNP_03393	K07160
JICOJHNP_03396	K01613
JICOJHNP_03399	K03325
JICOJHNP_03400	K03741
JICOJHNP_03401	K07658
JICOJHNP_03402	K02039
JICOJHNP_03403	K02356
JICOJHNP_03407	K07079
JICOJHNP_03408	K09705
JICOJHNP_03415	K04079
JICOJHNP_03416	K14441
JICOJHNP_03417	K02523
JICOJHNP_03436	K01991
JICOJHNP_03437	K09949
JICOJHNP_03438	K00677
JICOJHNP_03439	K02536
JICOJHNP_03441	K07277
JICOJHNP_03442	K09810
JICOJHNP_03443	K09808
JICOJHNP_03444	K04567
JICOJHNP_03445	K07709
JICOJHNP_03448	K13082
JICOJHNP_03466	K12500
JICOJHNP_03467	K01996
JICOJHNP_03468	K01995
JICOJHNP_03469	K01998
JICOJHNP_03471	K01951
JICOJHNP_03475	K00314
JICOJHNP_03478	K16052
JICOJHNP_03479	K00548
JICOJHNP_03482	K07493
JICOJHNP_03488	K01551
JICOJHNP_03490	K01799
JICOJHNP_03491	K01262
JICOJHNP_03492	K01262
JICOJHNP_03493	K01799
JICOJHNP_03494	K01752
JICOJHNP_03497	K02040
JICOJHNP_03501	K06164
JICOJHNP_03502	K06163
JICOJHNP_03503	K05781
JICOJHNP_03504	K05780
JICOJHNP_03505	K06162
JICOJHNP_03506	K02041
JICOJHNP_03507	K02044
JICOJHNP_03508	K02042
JICOJHNP_03512	K18234
JICOJHNP_03515	K02040
JICOJHNP_03519	K01439
JICOJHNP_03520	K07171
JICOJHNP_03524	K01768
JICOJHNP_03527	K01712
JICOJHNP_03528	K23356
JICOJHNP_03530	K16961
JICOJHNP_03531	K10009
JICOJHNP_03532	K07141
JICOJHNP_03537	K02274
JICOJHNP_03538	K15408
JICOJHNP_03540	K02826
JICOJHNP_03543	K01661
JICOJHNP_03544	K02584
JICOJHNP_03549	K00548
JICOJHNP_03550	K00548
JICOJHNP_03555	K06196
JICOJHNP_03557	K21498
JICOJHNP_03563	K07133
JICOJHNP_03565	K07133
JICOJHNP_03566	K21498
JICOJHNP_03569	K05946
JICOJHNP_03571	K16043
JICOJHNP_03572	K13004
JICOJHNP_03573	K00633
JICOJHNP_03579	K03427
JICOJHNP_03581	K03655
JICOJHNP_03582	K01153
JICOJHNP_03583	K01470
JICOJHNP_03584	K01961
JICOJHNP_03585	K02160
JICOJHNP_03597	K00315
JICOJHNP_03598	K00315
JICOJHNP_03603	K04072
JICOJHNP_03604	K09469
JICOJHNP_03609	K21308
JICOJHNP_03610	K21307
JICOJHNP_03620	K15891
JICOJHNP_03622	K13281
JICOJHNP_03639	K03615
JICOJHNP_03640	K03614
JICOJHNP_03641	K03612
JICOJHNP_03642	K03613
JICOJHNP_03643	K03617
JICOJHNP_03644	K00266
JICOJHNP_03645	K07082
JICOJHNP_03647	K12573
JICOJHNP_03648	K00602
JICOJHNP_03649	K00602
JICOJHNP_03650	K03718
JICOJHNP_03651	K00606
JICOJHNP_03653	K00261
JICOJHNP_03655	K03334
JICOJHNP_03656	K11179
JICOJHNP_03663	K20509
JICOJHNP_03665	K07335
JICOJHNP_03666	K23537
JICOJHNP_03667	K23535
JICOJHNP_03668	K23536
JICOJHNP_03669	K23010
JICOJHNP_03670	K02355
JICOJHNP_03672	K01921
JICOJHNP_03673	K01945
JICOJHNP_03674	K07566
JICOJHNP_03681	K03704
JICOJHNP_03682	K02481
JICOJHNP_03683	K07710
JICOJHNP_03686	K05588
JICOJHNP_03687	K18331
JICOJHNP_03688	K18330
JICOJHNP_03689	K18560
JICOJHNP_03690	K07309
JICOJHNP_03691	K07090
JICOJHNP_03694	K00266
JICOJHNP_03695	K01007
JICOJHNP_03697	K02482
JICOJHNP_03701	K01356
JICOJHNP_03703	K07710
JICOJHNP_03712	K07458
JICOJHNP_03726	K07675
JICOJHNP_03730	K09954
JICOJHNP_03733	K00655
JICOJHNP_03734	K05841
JICOJHNP_03743	K00266
JICOJHNP_03747	K07658
JICOJHNP_03748	K13533
JICOJHNP_03753	K03442
JICOJHNP_03755	K14187
JICOJHNP_03756	K07713
JICOJHNP_03757	K07710
JICOJHNP_03761	K01995
JICOJHNP_03762	K01997
JICOJHNP_03763	K01998
JICOJHNP_03765	K01996
JICOJHNP_03766	K01897
JICOJHNP_03770	K02485
JICOJHNP_03771	K07710
JICOJHNP_03774	K03388
JICOJHNP_03776	K00241
JICOJHNP_03779	K02437
JICOJHNP_03790	K03639
JICOJHNP_03792	K03736
JICOJHNP_03793	K03735
JICOJHNP_03796	K09861
JICOJHNP_03803	K01961
JICOJHNP_03805	K01969
JICOJHNP_03808	K00382
JICOJHNP_03809	K00627
JICOJHNP_03810	K00162
JICOJHNP_03811	K00161
JICOJHNP_03816	K08745
JICOJHNP_03817	K00249
JICOJHNP_03818	K08764
JICOJHNP_03821	K03569
JICOJHNP_03823	K07123
JICOJHNP_03829	K00140
JICOJHNP_03831	K01996
JICOJHNP_03832	K01995
JICOJHNP_03833	K01998
JICOJHNP_03834	K01997
JICOJHNP_03835	K11959
JICOJHNP_03837	K18210
JICOJHNP_03839	K02806
JICOJHNP_03840	K19166
JICOJHNP_03842	K00331
JICOJHNP_03844	K12141
JICOJHNP_03847	K12137
JICOJHNP_03849	K07662
JICOJHNP_03850	K07709
JICOJHNP_03852	K02481
JICOJHNP_03853	K14445
JICOJHNP_03856	K00262
JICOJHNP_03868	K01995
JICOJHNP_03869	K01998
JICOJHNP_03870	K11960
JICOJHNP_03872	K01897
JICOJHNP_03874	K02481
JICOJHNP_03875	K07710
JICOJHNP_03877	K00248
JICOJHNP_03878	K15016
JICOJHNP_03882	K00057
JICOJHNP_03884	K02527
JICOJHNP_03885	K11085
JICOJHNP_03889	K09777
JICOJHNP_03890	K00942
JICOJHNP_03891	K03218
JICOJHNP_03892	K02242
JICOJHNP_03893	K17103
JICOJHNP_03904	K04084
JICOJHNP_03908	K23558
JICOJHNP_03909	K07058
JICOJHNP_03912	K13292
JICOJHNP_03913	K01476
JICOJHNP_03914	K00684
JICOJHNP_03915	K03694
JICOJHNP_03916	K06891
JICOJHNP_03917	K03070
JICOJHNP_03918	K19304
JICOJHNP_03919	K00145
JICOJHNP_03920	K09972
JICOJHNP_03921	K09971
JICOJHNP_03922	K09970
JICOJHNP_03924	K11068
JICOJHNP_03928	K22068
JICOJHNP_03929	K06960
JICOJHNP_03930	K03787
JICOJHNP_03932	K01751
JICOJHNP_03934	K03924
JICOJHNP_03939	K21029
JICOJHNP_03940	K12410
JICOJHNP_03941	K02503
JICOJHNP_03942	K03856
JICOJHNP_03947	K09022
JICOJHNP_03948	K03727
JICOJHNP_03950	K07502
JICOJHNP_03952	K09898
JICOJHNP_03958	K05516
JICOJHNP_03959	K03088
JICOJHNP_03963	K02003
JICOJHNP_03965	K02004
JICOJHNP_03968	K07240
JICOJHNP_03972	K06951
JICOJHNP_03976	K00249
JICOJHNP_03977	K03522
JICOJHNP_03978	K03521
JICOJHNP_03979	K01663
JICOJHNP_03981	K01893
JICOJHNP_03983	K08301
JICOJHNP_03984	K02914
JICOJHNP_03985	K03536
JICOJHNP_03986	K08998
JICOJHNP_03987	K03217
JICOJHNP_03989	K03650
JICOJHNP_03995	K02002
JICOJHNP_03996	K02000
JICOJHNP_03997	K02001
JICOJHNP_04002	K07250
JICOJHNP_04003	K03738
JICOJHNP_04004	K01687
JICOJHNP_04006	K05499
JICOJHNP_04007	K17509
JICOJHNP_04009	K02032
JICOJHNP_04010	K00344
JICOJHNP_04014	K08303
JICOJHNP_04015	K03388
JICOJHNP_04016	K03388
JICOJHNP_04020	K17509
JICOJHNP_04024	K04486
JICOJHNP_04030	K19221
JICOJHNP_04031	K02190
JICOJHNP_04035	K13281
JICOJHNP_04036	K15891
JICOJHNP_04042	K00936
JICOJHNP_04045	K00196
JICOJHNP_04046	K03738
JICOJHNP_04047	K00058
JICOJHNP_04054	K07062
JICOJHNP_04058	K01966
JICOJHNP_04060	K01960
JICOJHNP_04063	K15633
JICOJHNP_04064	K09710
JICOJHNP_04065	K00969
JICOJHNP_04066	K03979
JICOJHNP_04067	K02899
JICOJHNP_04068	K02888
JICOJHNP_04073	K01491
JICOJHNP_04074	K00288
JICOJHNP_04075	K00194
JICOJHNP_04076	K00198
JICOJHNP_04077	K00193
JICOJHNP_04078	K00197
JICOJHNP_04081	K07321
JICOJHNP_04082	K00134
JICOJHNP_04084	K14393
JICOJHNP_04085	K07182
JICOJHNP_04086	K02342
JICOJHNP_04087	K01908
JICOJHNP_04088	K01895
JICOJHNP_04089	K07658
JICOJHNP_04090	K07652
JICOJHNP_04096	K01768
JICOJHNP_04105	K07216
JICOJHNP_04109	K10680
JICOJHNP_04110	K01434
JICOJHNP_04121	K08303
JICOJHNP_04122	K05366
JICOJHNP_04123	K00619
JICOJHNP_04125	K00927
JICOJHNP_04127	K03630
JICOJHNP_04128	K02469
JICOJHNP_04131	K00626
JICOJHNP_04132	K00626
JICOJHNP_04134	K07478
JICOJHNP_04135	K03977
JICOJHNP_04137	K02557
JICOJHNP_04139	K03581
JICOJHNP_04148	K01586
JICOJHNP_04150	K01895
JICOJHNP_04152	K05788
JICOJHNP_04157	K05540
JICOJHNP_04158	K09457
JICOJHNP_04160	K03595
JICOJHNP_04161	K03978
JICOJHNP_04163	K00765
JICOJHNP_04164	K11755
JICOJHNP_04165	K05366
JICOJHNP_04167	K03685
JICOJHNP_04168	K06204
JICOJHNP_04169	K02492
JICOJHNP_04171	K02302
JICOJHNP_04175	K02018
JICOJHNP_04176	K11072
JICOJHNP_04177	K08304
JICOJHNP_04178	K09760
JICOJHNP_04179	K03637
JICOJHNP_04182	K02825
JICOJHNP_04183	K03638
JICOJHNP_04185	K01711
JICOJHNP_04186	K01710
JICOJHNP_04187	K02377
JICOJHNP_04188	K00973
JICOJHNP_04189	K01790
JICOJHNP_04190	K00067
JICOJHNP_04191	K07133
JICOJHNP_04192	K07133
JICOJHNP_04193	K07133
JICOJHNP_04197	K01998
JICOJHNP_04198	K01996
JICOJHNP_04205	K00314
JICOJHNP_04207	K00314
JICOJHNP_04209	K00111
JICOJHNP_04210	K03521
JICOJHNP_04211	K03522
JICOJHNP_04212	K02486
JICOJHNP_04213	K07658
JICOJHNP_04214	K03738
JICOJHNP_04217	K15580
JICOJHNP_04218	K04069
JICOJHNP_04219	K00656
JICOJHNP_04222	K02031
JICOJHNP_04223	K02034
JICOJHNP_04224	K02033
JICOJHNP_04225	K15580
JICOJHNP_04226	K00648
JICOJHNP_04227	K01810
JICOJHNP_04229	K03431
JICOJHNP_04230	K06890
JICOJHNP_04231	K03601
JICOJHNP_04233	K13789
JICOJHNP_04234	K01662
JICOJHNP_04235	K12436
JICOJHNP_04236	K15329
JICOJHNP_04237	K05396
JICOJHNP_04238	K01779
JICOJHNP_04239	K04763
JICOJHNP_04240	K03496
JICOJHNP_04242	K18285
JICOJHNP_04243	K11784
JICOJHNP_04245	K07714
JICOJHNP_04248	K00548
JICOJHNP_04249	K00548
JICOJHNP_04252	K04015
JICOJHNP_04255	K01843
JICOJHNP_04261	K04070
JICOJHNP_04262	K11754
JICOJHNP_04267	K00384
JICOJHNP_04270	K03466
JICOJHNP_04271	K12574
JICOJHNP_04274	K07150
JICOJHNP_04275	K01952
JICOJHNP_04276	K23269
JICOJHNP_04277	K11749
JICOJHNP_04278	K00099
JICOJHNP_04279	K00981
JICOJHNP_04280	K00806
JICOJHNP_04281	K02838
JICOJHNP_04282	K09903
JICOJHNP_04283	K02357
JICOJHNP_04284	K02967
JICOJHNP_04285	K02493
JICOJHNP_04286	K02835
JICOJHNP_04287	K02909
JICOJHNP_04288	K03628
JICOJHNP_04289	K00859
JICOJHNP_04290	K00940
JICOJHNP_04291	K06864
JICOJHNP_04296	K01586
JICOJHNP_04301	K01784
JICOJHNP_04304	K00949
JICOJHNP_04305	K11720
JICOJHNP_04306	K11720
JICOJHNP_04307	K02527
JICOJHNP_04308	K00912
JICOJHNP_04309	K02517
JICOJHNP_04310	K02843
JICOJHNP_04311	K02843
JICOJHNP_04315	K00979
