LAMKNALE_00005	K07090
LAMKNALE_01380	K02259
LAMKNALE_01382	K04764
LAMKNALE_01383	K00648
LAMKNALE_01384	K03621
LAMKNALE_01387	K23025
LAMKNALE_01388	K02049
LAMKNALE_01392	K09816
LAMKNALE_01393	K09817
LAMKNALE_01394	K09815
LAMKNALE_01397	K00135
