OMKMCGPO_00010	K02387
OMKMCGPO_01533	K02238
OMKMCGPO_01534	K03561
OMKMCGPO_01536	K11085
OMKMCGPO_01537	K00912
OMKMCGPO_01538	K00979
OMKMCGPO_01539	K00075
OMKMCGPO_01540	K03703
OMKMCGPO_01541	K00995
OMKMCGPO_01543	K03719
OMKMCGPO_01544	K02302
OMKMCGPO_01546	K00392
OMKMCGPO_01547	K00390
OMKMCGPO_01549	K00175
OMKMCGPO_01550	K00174
OMKMCGPO_01551	K00266
OMKMCGPO_01555	K05522
OMKMCGPO_01556	K11927
OMKMCGPO_01558	K07101
OMKMCGPO_01559	K06901
OMKMCGPO_01561	K23677
OMKMCGPO_01567	K00128
OMKMCGPO_01568	K00315
OMKMCGPO_01569	K01653
OMKMCGPO_01570	K01652
OMKMCGPO_01575	K01132
OMKMCGPO_01580	K09471
OMKMCGPO_01581	K09470
OMKMCGPO_01584	K00605
OMKMCGPO_01591	K18691
OMKMCGPO_01592	K11991
OMKMCGPO_01593	K01247
OMKMCGPO_01594	K01692
OMKMCGPO_01595	K04035
OMKMCGPO_01598	K00253
OMKMCGPO_01602	K07116
OMKMCGPO_01605	K01737
OMKMCGPO_01606	K13703
OMKMCGPO_01611	K00647
OMKMCGPO_01613	K00626
OMKMCGPO_01614	K14652
OMKMCGPO_01616	K03797
OMKMCGPO_01618	K03744
OMKMCGPO_01619	K03799
OMKMCGPO_01621	K01897
OMKMCGPO_01626	K22443
OMKMCGPO_01627	K00128
OMKMCGPO_01629	K03520
OMKMCGPO_01630	K03518
OMKMCGPO_01631	K13479
OMKMCGPO_01639	K09667
OMKMCGPO_01640	K10797
OMKMCGPO_01641	K22443
OMKMCGPO_01642	K03535
OMKMCGPO_01647	K18138
OMKMCGPO_01650	K03312
OMKMCGPO_01652	K03315
OMKMCGPO_01655	K11717
OMKMCGPO_01656	K00059
OMKMCGPO_01660	K07263
OMKMCGPO_01662	K12663
OMKMCGPO_01668	K00265
OMKMCGPO_01669	K01735
OMKMCGPO_01670	K00891
OMKMCGPO_01671	K02666
OMKMCGPO_01675	K02662
OMKMCGPO_01676	K05366
OMKMCGPO_01677	K02909
OMKMCGPO_01678	K04066
OMKMCGPO_01679	K01887
OMKMCGPO_01682	K03183
OMKMCGPO_01684	K03688
OMKMCGPO_01685	K11755
OMKMCGPO_01686	K01523
OMKMCGPO_01687	K03116
OMKMCGPO_01689	K03118
OMKMCGPO_01690	K11085
OMKMCGPO_01691	K00325
OMKMCGPO_01692	K00324
OMKMCGPO_01693	K00324
OMKMCGPO_01696	K06954
OMKMCGPO_01698	K00574
OMKMCGPO_01699	K03315
OMKMCGPO_01701	K04567
OMKMCGPO_01702	K02356
OMKMCGPO_01703	K01079
OMKMCGPO_01705	K02621
OMKMCGPO_01706	K02348
OMKMCGPO_01707	K06207
OMKMCGPO_01708	K01915
OMKMCGPO_01710	K07708
OMKMCGPO_01711	K07712
OMKMCGPO_01712	K03071
OMKMCGPO_01713	K03676
OMKMCGPO_01716	K01652
OMKMCGPO_01717	K01782
OMKMCGPO_01718	K00626
OMKMCGPO_01719	K07402
OMKMCGPO_01721	K00465
OMKMCGPO_01722	K15468
OMKMCGPO_01725	K05800
OMKMCGPO_01727	K00179
OMKMCGPO_01729	K05592
OMKMCGPO_01749	K03527
OMKMCGPO_01755	K22314
OMKMCGPO_01756	K01759
OMKMCGPO_01757	K03554
OMKMCGPO_01764	K00128
OMKMCGPO_01766	K16238
OMKMCGPO_01768	K16089
OMKMCGPO_01772	K01897
OMKMCGPO_01775	K11407
OMKMCGPO_01776	K01426
OMKMCGPO_01787	K01752
OMKMCGPO_01788	K06001
OMKMCGPO_01792	K00059
OMKMCGPO_01800	K00202
OMKMCGPO_01802	K01915
OMKMCGPO_01804	K00027
OMKMCGPO_01805	K19802
OMKMCGPO_01806	K00001
OMKMCGPO_01807	K09858
OMKMCGPO_01812	K01436
OMKMCGPO_01813	K01751
OMKMCGPO_01814	K01799
OMKMCGPO_01815	K01262
OMKMCGPO_01816	K17509
OMKMCGPO_01819	K01303
OMKMCGPO_01823	K00958
OMKMCGPO_01824	K00860
OMKMCGPO_01829	K22443
OMKMCGPO_01830	K00046
OMKMCGPO_01832	K00059
OMKMCGPO_01836	K19802
OMKMCGPO_01837	K15537
OMKMCGPO_01840	K06147
OMKMCGPO_01841	K06158
OMKMCGPO_01845	K09022
OMKMCGPO_01847	K03654
OMKMCGPO_01865	K09020
OMKMCGPO_01867	K07045
OMKMCGPO_01868	K01897
OMKMCGPO_01869	K00104
OMKMCGPO_01872	K02558
OMKMCGPO_01873	K21071
OMKMCGPO_01875	K06206
OMKMCGPO_01877	K03086
OMKMCGPO_01879	K02316
OMKMCGPO_01880	K09117
OMKMCGPO_01881	K02970
OMKMCGPO_01886	K22443
OMKMCGPO_01895	K00108
OMKMCGPO_01899	K01126
OMKMCGPO_01900	K13247
OMKMCGPO_01902	K00474
OMKMCGPO_01905	K13955
OMKMCGPO_01906	K00059
OMKMCGPO_01907	K03451
OMKMCGPO_01909	K17743
OMKMCGPO_01911	K03307
OMKMCGPO_01912	K00547
OMKMCGPO_01915	K07001
OMKMCGPO_01916	K00074
OMKMCGPO_01918	K13770
OMKMCGPO_01920	K01969
OMKMCGPO_01924	K00661
OMKMCGPO_01926	K00640
OMKMCGPO_01927	K01599
OMKMCGPO_01928	K00266
OMKMCGPO_01929	K09018
OMKMCGPO_01931	K03271
OMKMCGPO_01932	K03273
OMKMCGPO_01934	K03272
OMKMCGPO_01938	K12119
OMKMCGPO_01939	K11414
OMKMCGPO_01940	K07071
OMKMCGPO_01941	K03086
OMKMCGPO_01945	K03308
OMKMCGPO_01947	K02355
OMKMCGPO_01948	K02992
OMKMCGPO_01949	K02950
OMKMCGPO_01950	K03046
OMKMCGPO_01951	K03043
OMKMCGPO_01952	K02935
OMKMCGPO_01953	K02864
OMKMCGPO_01954	K02863
OMKMCGPO_01955	K02867
OMKMCGPO_01956	K02601
OMKMCGPO_01957	K03073
OMKMCGPO_01959	K02358
OMKMCGPO_01967	K22443
OMKMCGPO_01969	K15468
OMKMCGPO_01976	K00812
OMKMCGPO_01984	K02168
OMKMCGPO_01985	K01595
OMKMCGPO_01986	K19337
OMKMCGPO_01987	K00134
OMKMCGPO_01988	K01057
OMKMCGPO_01989	K00036
OMKMCGPO_01990	K01625
OMKMCGPO_01991	K00845
OMKMCGPO_01992	K01690
OMKMCGPO_01997	K01897
OMKMCGPO_01999	K00314
OMKMCGPO_02001	K00123
OMKMCGPO_02002	K18331
OMKMCGPO_02004	K02379
OMKMCGPO_02005	K01938
OMKMCGPO_02008	K03771
OMKMCGPO_02009	K04744
OMKMCGPO_02010	K07102
OMKMCGPO_02011	K00992
OMKMCGPO_02012	K01783
OMKMCGPO_02013	K01657
OMKMCGPO_02014	K03296
OMKMCGPO_02027	K01885
OMKMCGPO_02029	K15580
OMKMCGPO_02030	K15581
OMKMCGPO_02031	K15582
OMKMCGPO_02032	K02031
OMKMCGPO_02034	K00059
OMKMCGPO_02037	K00059
OMKMCGPO_02040	K01469
OMKMCGPO_02041	K16043
OMKMCGPO_02044	K01915
OMKMCGPO_02045	K01759
OMKMCGPO_02055	K03566
OMKMCGPO_02062	K01712
OMKMCGPO_02064	K01745
OMKMCGPO_02065	K01468
OMKMCGPO_02071	K11527
OMKMCGPO_02073	K06879
OMKMCGPO_02074	K01992
OMKMCGPO_02075	K01990
OMKMCGPO_02078	K07305
OMKMCGPO_02079	K03473
OMKMCGPO_02080	K09906
OMKMCGPO_02081	K04085
OMKMCGPO_02084	K01736
OMKMCGPO_02085	K07320
OMKMCGPO_02086	K01495
OMKMCGPO_02089	K04079
OMKMCGPO_02090	K01902
OMKMCGPO_02091	K01903
OMKMCGPO_02092	K00382
OMKMCGPO_02093	K00658
OMKMCGPO_02094	K00164
OMKMCGPO_02095	K00240
OMKMCGPO_02096	K00239
OMKMCGPO_02097	K00242
OMKMCGPO_02098	K00241
OMKMCGPO_02099	K01647
OMKMCGPO_02100	K00648
OMKMCGPO_02101	K00817
OMKMCGPO_02102	K07636
OMKMCGPO_02103	K07657
OMKMCGPO_02105	K01972
OMKMCGPO_02107	K03529
OMKMCGPO_02109	K02200
OMKMCGPO_02110	K02199
OMKMCGPO_02111	K02198
OMKMCGPO_02112	K02197
OMKMCGPO_02114	K02195
OMKMCGPO_02115	K02194
OMKMCGPO_02116	K02193
OMKMCGPO_02117	K14058
OMKMCGPO_02118	K00024
OMKMCGPO_02119	K02004
OMKMCGPO_02120	K02003
OMKMCGPO_02121	K10804
OMKMCGPO_02122	K10716
OMKMCGPO_02124	K04761
OMKMCGPO_02128	K21064
OMKMCGPO_02132	K00432
OMKMCGPO_02134	K00876
OMKMCGPO_02135	K03929
OMKMCGPO_02137	K01692
OMKMCGPO_02138	K08683
OMKMCGPO_02139	K00626
OMKMCGPO_02140	K01803
OMKMCGPO_02141	K01011
OMKMCGPO_02142	K01061
OMKMCGPO_02145	K00135
OMKMCGPO_02146	K00219
OMKMCGPO_02148	K00354
OMKMCGPO_02149	K00059
OMKMCGPO_02150	K15866
OMKMCGPO_02151	K00249
OMKMCGPO_02156	K00179
OMKMCGPO_02158	K17103
OMKMCGPO_02159	K07147
OMKMCGPO_02160	K17247
OMKMCGPO_02163	K03789
OMKMCGPO_02165	K03613
OMKMCGPO_02166	K03612
OMKMCGPO_02167	K03614
OMKMCGPO_02169	K00854
OMKMCGPO_02170	K00803
OMKMCGPO_02171	K00111
OMKMCGPO_02173	K16092
OMKMCGPO_02176	K01354
OMKMCGPO_02178	K02257
OMKMCGPO_02179	K07152
OMKMCGPO_02182	K02276
OMKMCGPO_02185	K12941
OMKMCGPO_02186	K07303
OMKMCGPO_02187	K00106
OMKMCGPO_02188	K00359
OMKMCGPO_02198	K21600
OMKMCGPO_02201	K00605
OMKMCGPO_02202	K22443
OMKMCGPO_02204	K00821
OMKMCGPO_02207	K00830
OMKMCGPO_02210	K03640
OMKMCGPO_02211	K03641
OMKMCGPO_02213	K03560
OMKMCGPO_02214	K03562
OMKMCGPO_02215	K07107
OMKMCGPO_02216	K03551
OMKMCGPO_02217	K03550
OMKMCGPO_02218	K01159
OMKMCGPO_02220	K01876
OMKMCGPO_02223	K01881
OMKMCGPO_02224	K09470
OMKMCGPO_02225	K00432
OMKMCGPO_02226	K02837
OMKMCGPO_02227	K03801
OMKMCGPO_02229	K07258
OMKMCGPO_02230	K03642
OMKMCGPO_02231	K08305
OMKMCGPO_02232	K05837
OMKMCGPO_02233	K05515
OMKMCGPO_02234	K00783
OMKMCGPO_02235	K09710
OMKMCGPO_02236	K00969
OMKMCGPO_02237	K00147
OMKMCGPO_02238	K07390
OMKMCGPO_02239	K00821
OMKMCGPO_02240	K00611
OMKMCGPO_02241	K00525
OMKMCGPO_02245	K00612
OMKMCGPO_02247	K13954
OMKMCGPO_02248	K01066
OMKMCGPO_02250	K16871
OMKMCGPO_02259	K21416
OMKMCGPO_02263	K22443
OMKMCGPO_02266	K00548
OMKMCGPO_02271	K00548
OMKMCGPO_02273	K00315
OMKMCGPO_02274	K17509
OMKMCGPO_02280	K09768
OMKMCGPO_02287	K21417
OMKMCGPO_02290	K07568
OMKMCGPO_02291	K00773
OMKMCGPO_02294	K01556
OMKMCGPO_02297	K03307
OMKMCGPO_02298	K18660
OMKMCGPO_02300	K06897
OMKMCGPO_02301	K00020
OMKMCGPO_02303	K22369
OMKMCGPO_02304	K00537
OMKMCGPO_02308	K01738
OMKMCGPO_02309	K09022
OMKMCGPO_02312	K23138
OMKMCGPO_02314	K14640
OMKMCGPO_02321	K01620
OMKMCGPO_02323	K00058
OMKMCGPO_02324	K04761
OMKMCGPO_02326	K03321
OMKMCGPO_02327	K03972
OMKMCGPO_02330	K02017
OMKMCGPO_02331	K02018
OMKMCGPO_02333	K06892
OMKMCGPO_02334	K03317
OMKMCGPO_02336	K05894
OMKMCGPO_02337	K01784
OMKMCGPO_02338	K00965
OMKMCGPO_02339	K00849
OMKMCGPO_02340	K01669
OMKMCGPO_02341	K06876
OMKMCGPO_02342	K01273
OMKMCGPO_02345	K00249
OMKMCGPO_02346	K01772
OMKMCGPO_02347	K14715
OMKMCGPO_02348	K00931
OMKMCGPO_02349	K03979
OMKMCGPO_02350	K02899
OMKMCGPO_02351	K02888
OMKMCGPO_02352	K02523
OMKMCGPO_02353	K01810
OMKMCGPO_02354	K01840
OMKMCGPO_02355	K00963
OMKMCGPO_02356	K00971
OMKMCGPO_02357	K01716
OMKMCGPO_02358	K00647
OMKMCGPO_02359	K03750
OMKMCGPO_02360	K03638
OMKMCGPO_02362	K03111
OMKMCGPO_02364	K03701
OMKMCGPO_02366	K01768
OMKMCGPO_02367	K02485
OMKMCGPO_02368	K02486
OMKMCGPO_02370	K03782
OMKMCGPO_02374	K02340
OMKMCGPO_02376	K01869
OMKMCGPO_02377	K03820
OMKMCGPO_02378	K06189
OMKMCGPO_02379	K07042
OMKMCGPO_02380	K06217
OMKMCGPO_02381	K06168
OMKMCGPO_02383	K01338
OMKMCGPO_02384	K15257
OMKMCGPO_02385	K15256
OMKMCGPO_02386	K00813
OMKMCGPO_02387	K15738
OMKMCGPO_02388	K02259
OMKMCGPO_02389	K07713
OMKMCGPO_02392	K03292
OMKMCGPO_02394	K01578
OMKMCGPO_02396	K11209
OMKMCGPO_02398	K01563
OMKMCGPO_02400	K02358
OMKMCGPO_02401	K00106
OMKMCGPO_02402	K07303
OMKMCGPO_02403	K02946
OMKMCGPO_02404	K02906
OMKMCGPO_02405	K02926
OMKMCGPO_02406	K02892
OMKMCGPO_02407	K02886
OMKMCGPO_02408	K02965
OMKMCGPO_02409	K02890
OMKMCGPO_02410	K02982
OMKMCGPO_02411	K02878
OMKMCGPO_02412	K02904
OMKMCGPO_02413	K02961
OMKMCGPO_02414	K02874
OMKMCGPO_02415	K02895
OMKMCGPO_02416	K02931
OMKMCGPO_02417	K02954
OMKMCGPO_02418	K02994
OMKMCGPO_02419	K02933
OMKMCGPO_02420	K02881
OMKMCGPO_02421	K02988
OMKMCGPO_02422	K02907
OMKMCGPO_02423	K02876
OMKMCGPO_02424	K03076
OMKMCGPO_02425	K02952
OMKMCGPO_02426	K02948
OMKMCGPO_02427	K02986
OMKMCGPO_02428	K03040
OMKMCGPO_02429	K02879
OMKMCGPO_02431	K00549
OMKMCGPO_02433	K03576
OMKMCGPO_02434	K05368
OMKMCGPO_02437	K01303
OMKMCGPO_02440	K03088
OMKMCGPO_02448	K06132
OMKMCGPO_02449	K00426
OMKMCGPO_02450	K00425
OMKMCGPO_02453	K02527
OMKMCGPO_02455	K02841
OMKMCGPO_02460	K02012
OMKMCGPO_02461	K11072
OMKMCGPO_02462	K00040
OMKMCGPO_02464	K02529
OMKMCGPO_02465	K01195
OMKMCGPO_02467	K01686
OMKMCGPO_02470	K00008
OMKMCGPO_02472	K23677
OMKMCGPO_02473	K03637
OMKMCGPO_02475	K03635
OMKMCGPO_02476	K18453
OMKMCGPO_02477	K03564
OMKMCGPO_02478	K15633
OMKMCGPO_02479	K22719
OMKMCGPO_02480	K03797
OMKMCGPO_02481	K02500
OMKMCGPO_02482	K01814
OMKMCGPO_02483	K02501
OMKMCGPO_02484	K01693
OMKMCGPO_02485	K03575
OMKMCGPO_02488	K18138
OMKMCGPO_02492	K04077
OMKMCGPO_02494	K01513
OMKMCGPO_02496	K01676
OMKMCGPO_02497	K16090
OMKMCGPO_02501	K18688
OMKMCGPO_02502	K00276
OMKMCGPO_02503	K07386
OMKMCGPO_02508	K03321
OMKMCGPO_02509	K00605
OMKMCGPO_02510	K01913
OMKMCGPO_02511	K00799
OMKMCGPO_02512	K02346
OMKMCGPO_02514	K01480
OMKMCGPO_02517	K16089
OMKMCGPO_02523	K05898
OMKMCGPO_02526	K03098
OMKMCGPO_02527	K14162
OMKMCGPO_02529	K10215
OMKMCGPO_02530	K01940
OMKMCGPO_02531	K01465
OMKMCGPO_02532	K03683
OMKMCGPO_02543	K01130
OMKMCGPO_02547	K01210
OMKMCGPO_02551	K04022
OMKMCGPO_02552	K14389
OMKMCGPO_02554	K02433
OMKMCGPO_02563	K12349
OMKMCGPO_02566	K23010
OMKMCGPO_02567	K00057
OMKMCGPO_02568	K00631
OMKMCGPO_02569	K15781
OMKMCGPO_02570	K03315
OMKMCGPO_02573	K22820
OMKMCGPO_02583	K00020
OMKMCGPO_02584	K05605
OMKMCGPO_02585	K07511
OMKMCGPO_02586	K11538
OMKMCGPO_02587	K04072
OMKMCGPO_02589	K00117
OMKMCGPO_02590	K00627
OMKMCGPO_02591	K02400
OMKMCGPO_02593	K04562
OMKMCGPO_02594	K02405
OMKMCGPO_02599	K02401
OMKMCGPO_02601	K02420
OMKMCGPO_02602	K02419
OMKMCGPO_02604	K02417
OMKMCGPO_02609	K02412
OMKMCGPO_02611	K02410
OMKMCGPO_02612	K18702
OMKMCGPO_02614	K03119
OMKMCGPO_02617	K05708
OMKMCGPO_02619	K22443
OMKMCGPO_02620	K23256
OMKMCGPO_02623	K09768
OMKMCGPO_02625	K09160
OMKMCGPO_02626	K00059
OMKMCGPO_02627	K00020
OMKMCGPO_02632	K03296
OMKMCGPO_02633	K03305
OMKMCGPO_02634	K05541
OMKMCGPO_02635	K01962
OMKMCGPO_02636	K04075
OMKMCGPO_02637	K01937
OMKMCGPO_02638	K01627
OMKMCGPO_02639	K01689
OMKMCGPO_02641	K00991
OMKMCGPO_02642	K01770
OMKMCGPO_02643	K00573
OMKMCGPO_02644	K08974
OMKMCGPO_02645	K06194
OMKMCGPO_02646	K05524
OMKMCGPO_02647	K03555
OMKMCGPO_02651	K07126
OMKMCGPO_02654	K03186
OMKMCGPO_02655	K08153
OMKMCGPO_02656	K00049
OMKMCGPO_02659	K00383
OMKMCGPO_02661	K12574
OMKMCGPO_02667	K19073
OMKMCGPO_02673	K00666
OMKMCGPO_02674	K00626
OMKMCGPO_02675	K00626
OMKMCGPO_02678	K00249
OMKMCGPO_02680	K02371
OMKMCGPO_02689	K01556
OMKMCGPO_02690	K07729
OMKMCGPO_02692	K03106
OMKMCGPO_02693	K02959
OMKMCGPO_02694	K02860
OMKMCGPO_02695	K00554
OMKMCGPO_02696	K02884
OMKMCGPO_02697	K03981
OMKMCGPO_02698	K14261
OMKMCGPO_02699	K00003
OMKMCGPO_02700	K01733
OMKMCGPO_02701	K07462
OMKMCGPO_02702	K02836
