PLEHNPDM_00003	K08678
PLEHNPDM_01639	K12972
PLEHNPDM_01643	K00315
PLEHNPDM_01644	K00547
PLEHNPDM_01646	K01895
PLEHNPDM_01647	K14733
PLEHNPDM_01649	K22443
PLEHNPDM_01652	K18622
PLEHNPDM_01654	K00059
PLEHNPDM_01656	K12972
PLEHNPDM_01657	K11072
PLEHNPDM_01659	K02313
PLEHNPDM_01660	K07152
PLEHNPDM_01661	K11527
PLEHNPDM_01663	K05973
PLEHNPDM_01664	K09160
PLEHNPDM_01665	K01714
PLEHNPDM_01666	K00059
PLEHNPDM_01668	K01591
PLEHNPDM_01669	K11729
PLEHNPDM_01670	K11729
PLEHNPDM_01671	K03446
PLEHNPDM_01675	K14055
PLEHNPDM_01678	K00059
PLEHNPDM_01679	K01703
PLEHNPDM_01680	K03446
PLEHNPDM_01682	K00626
PLEHNPDM_01684	K01740
PLEHNPDM_01685	K18665
PLEHNPDM_01687	K01644
PLEHNPDM_01688	K00059
PLEHNPDM_01689	K03153
PLEHNPDM_01691	K00059
PLEHNPDM_01692	K07734
PLEHNPDM_01693	K00240
PLEHNPDM_01694	K00239
PLEHNPDM_01696	K00241
PLEHNPDM_01698	K00248
PLEHNPDM_01700	K06118
PLEHNPDM_01702	K19421
PLEHNPDM_01703	K00602
PLEHNPDM_01704	K06902
PLEHNPDM_01705	K15371
PLEHNPDM_01706	K00604
PLEHNPDM_01707	K01462
PLEHNPDM_01708	K09760
PLEHNPDM_01710	K03183
PLEHNPDM_01713	K08160
PLEHNPDM_01714	K06187
PLEHNPDM_01715	K09747
PLEHNPDM_01716	K02343
PLEHNPDM_01717	K02433
PLEHNPDM_01718	K00278
PLEHNPDM_01719	K03426
PLEHNPDM_01721	K18384
PLEHNPDM_01722	K04518
PLEHNPDM_01723	K00979
PLEHNPDM_01724	K08738
PLEHNPDM_01725	K18649
PLEHNPDM_01726	K07025
PLEHNPDM_01727	K13893
PLEHNPDM_01728	K13893
PLEHNPDM_01729	K13894
PLEHNPDM_01730	K13895
PLEHNPDM_01731	K13896
PLEHNPDM_01734	K06880
PLEHNPDM_01735	K03520
PLEHNPDM_01737	K00833
PLEHNPDM_01738	K00540
PLEHNPDM_01744	K00384
PLEHNPDM_01747	K06890
PLEHNPDM_01749	K02003
PLEHNPDM_01750	K10804
PLEHNPDM_01751	K01975
PLEHNPDM_01753	K14026
PLEHNPDM_01754	K01724
PLEHNPDM_01755	K08683
PLEHNPDM_01758	K01907
PLEHNPDM_01759	K21498
PLEHNPDM_01760	K03417
PLEHNPDM_01761	K03417
PLEHNPDM_01762	K03417
PLEHNPDM_01763	K01703
PLEHNPDM_01764	K01704
PLEHNPDM_01766	K01969
PLEHNPDM_01767	K01961
PLEHNPDM_01771	K03695
PLEHNPDM_01774	K02493
PLEHNPDM_01775	K02835
PLEHNPDM_01776	K01892
PLEHNPDM_01777	K03526
PLEHNPDM_01779	K08483
PLEHNPDM_01780	K00928
PLEHNPDM_01782	K00591
PLEHNPDM_01784	K02535
PLEHNPDM_01785	K03531
PLEHNPDM_01786	K03590
PLEHNPDM_01788	K01921
PLEHNPDM_01789	K00075
PLEHNPDM_01790	K01924
PLEHNPDM_01791	K02563
PLEHNPDM_01792	K03588
PLEHNPDM_01793	K01925
PLEHNPDM_01794	K01000
PLEHNPDM_01795	K01929
PLEHNPDM_01796	K01928
PLEHNPDM_01797	K03587
PLEHNPDM_01799	K03438
PLEHNPDM_01800	K03925
PLEHNPDM_01801	K11066
PLEHNPDM_01802	K03752
PLEHNPDM_01803	K02379
PLEHNPDM_01804	K07089
PLEHNPDM_01806	K07735
PLEHNPDM_01808	K03386
PLEHNPDM_01811	K07340
PLEHNPDM_01813	K01082
PLEHNPDM_01814	K11527
PLEHNPDM_01815	K01897
PLEHNPDM_01817	K00224
PLEHNPDM_01820	K14696
PLEHNPDM_01821	K00812
PLEHNPDM_01822	K01784
PLEHNPDM_01823	K00019
PLEHNPDM_01824	K00651
PLEHNPDM_01826	K00215
PLEHNPDM_01828	K10773
PLEHNPDM_01830	K01783
PLEHNPDM_01831	K03500
PLEHNPDM_01833	K03592
PLEHNPDM_01834	K01092
PLEHNPDM_01836	K00824
PLEHNPDM_01840	K00821
PLEHNPDM_01841	K00611
PLEHNPDM_01842	K04083
PLEHNPDM_01845	K01438
PLEHNPDM_01849	K00883
PLEHNPDM_01855	K07566
PLEHNPDM_01856	K18204
PLEHNPDM_01859	K11527
PLEHNPDM_01860	K03585
PLEHNPDM_01861	K03296
PLEHNPDM_01865	K13697
PLEHNPDM_01869	K09471
PLEHNPDM_01870	K00121
PLEHNPDM_01873	K01624
PLEHNPDM_01874	K00342
PLEHNPDM_01876	K05568
PLEHNPDM_01877	K05568
PLEHNPDM_01878	K05567
PLEHNPDM_01879	K05566
PLEHNPDM_01880	K05566
PLEHNPDM_01883	K05569
PLEHNPDM_01884	K03704
PLEHNPDM_01885	K02050
PLEHNPDM_01887	K02049
PLEHNPDM_01889	K03520
PLEHNPDM_01890	K00087
PLEHNPDM_01891	K00826
PLEHNPDM_01892	K03722
PLEHNPDM_01893	K04566
PLEHNPDM_01894	K14274
PLEHNPDM_01901	K00052
PLEHNPDM_01902	K00078
PLEHNPDM_01904	K01495
PLEHNPDM_01906	K01908
PLEHNPDM_01907	K01768
PLEHNPDM_01910	K06207
PLEHNPDM_01913	K18703
PLEHNPDM_01918	K03183
PLEHNPDM_01919	K11729
PLEHNPDM_01920	K01738
PLEHNPDM_01921	K03446
PLEHNPDM_01922	K16593
PLEHNPDM_01923	K12405
PLEHNPDM_01928	K00666
PLEHNPDM_01932	K23736
PLEHNPDM_01934	K07080
PLEHNPDM_01937	K04760
PLEHNPDM_01940	K01897
PLEHNPDM_01941	K15016
PLEHNPDM_01943	K07068
PLEHNPDM_01944	K22071
PLEHNPDM_01945	K04487
PLEHNPDM_01946	K00640
PLEHNPDM_01947	K07018
PLEHNPDM_01951	K17218
PLEHNPDM_01955	K02437
PLEHNPDM_01957	K03389
PLEHNPDM_01958	K03390
PLEHNPDM_01960	K03388
PLEHNPDM_01962	K03390
PLEHNPDM_01963	K07092
PLEHNPDM_01966	K07090
PLEHNPDM_01970	K01738
PLEHNPDM_01971	K00059
PLEHNPDM_01972	K00641
PLEHNPDM_01974	K00249
PLEHNPDM_01976	K00020
PLEHNPDM_01977	K01796
PLEHNPDM_01979	K00320
PLEHNPDM_01980	K03719
PLEHNPDM_01984	K00666
PLEHNPDM_01985	K02871
PLEHNPDM_01986	K02996
PLEHNPDM_01990	K19802
PLEHNPDM_01992	K02617
PLEHNPDM_01993	K04754
PLEHNPDM_01994	K07126
PLEHNPDM_01997	K01768
PLEHNPDM_01998	K07814
PLEHNPDM_02000	K08738
PLEHNPDM_02008	K01816
PLEHNPDM_02009	K02066
PLEHNPDM_02010	K02065
PLEHNPDM_02011	K02067
PLEHNPDM_02013	K18587
PLEHNPDM_02014	K01462
PLEHNPDM_02018	K11717
PLEHNPDM_02020	K12960
PLEHNPDM_02022	K01436
PLEHNPDM_02026	K00058
PLEHNPDM_02027	K02502
PLEHNPDM_02028	K01939
PLEHNPDM_02031	K04066
PLEHNPDM_02032	K00616
PLEHNPDM_02034	K03733
PLEHNPDM_02035	K12960
PLEHNPDM_02037	K15738
PLEHNPDM_02039	K00059
PLEHNPDM_02040	K01185
PLEHNPDM_02045	K01704
PLEHNPDM_02046	K01703
PLEHNPDM_02047	K03417
PLEHNPDM_02048	K03417
PLEHNPDM_02050	K00344
PLEHNPDM_02053	K01692
PLEHNPDM_02054	K06999
PLEHNPDM_02055	K03566
PLEHNPDM_02059	K02433
PLEHNPDM_02060	K07126
PLEHNPDM_02064	K04022
PLEHNPDM_02066	K03704
PLEHNPDM_02067	K05835
PLEHNPDM_02070	K00059
PLEHNPDM_02071	K03520
PLEHNPDM_02072	K03518
PLEHNPDM_02073	K03519
PLEHNPDM_02074	K05607
PLEHNPDM_02075	K01897
PLEHNPDM_02076	K03518
PLEHNPDM_02078	K03520
PLEHNPDM_02081	K00626
PLEHNPDM_02082	K01469
PLEHNPDM_02083	K01473
PLEHNPDM_02086	K13953
PLEHNPDM_02088	K05898
PLEHNPDM_02092	K02337
PLEHNPDM_02094	K02618
PLEHNPDM_02096	K02967
PLEHNPDM_02097	K02357
PLEHNPDM_02098	K09903
PLEHNPDM_02099	K02838
PLEHNPDM_02100	K00806
PLEHNPDM_02101	K00981
PLEHNPDM_02102	K00099
PLEHNPDM_02103	K11749
PLEHNPDM_02104	K07277
PLEHNPDM_02106	K02536
PLEHNPDM_02107	K02372
PLEHNPDM_02108	K00677
PLEHNPDM_02109	K09949
PLEHNPDM_02110	K00748
PLEHNPDM_02111	K01647
PLEHNPDM_02112	K01885
PLEHNPDM_02113	K02238
PLEHNPDM_02114	K01356
PLEHNPDM_02115	K03750
PLEHNPDM_02116	K03637
PLEHNPDM_02117	K01609
PLEHNPDM_02118	K00766
PLEHNPDM_02119	K09798
PLEHNPDM_02120	K09697
PLEHNPDM_02121	K09696
PLEHNPDM_02125	K07232
PLEHNPDM_02126	K01715
PLEHNPDM_02127	K01770
PLEHNPDM_02128	K01095
PLEHNPDM_02129	K00120
PLEHNPDM_02130	K03742
PLEHNPDM_02132	K00830
PLEHNPDM_02133	K21814
PLEHNPDM_02137	K01626
PLEHNPDM_02141	K23010
PLEHNPDM_02149	K03593
PLEHNPDM_02150	K04088
PLEHNPDM_02151	K04087
PLEHNPDM_02153	K04771
PLEHNPDM_02154	K01079
PLEHNPDM_02155	K00791
PLEHNPDM_02156	K01652
PLEHNPDM_02160	K01990
PLEHNPDM_02163	K07714
PLEHNPDM_02164	K11189
PLEHNPDM_02165	K02793
PLEHNPDM_02166	K06958
PLEHNPDM_02169	K00930
PLEHNPDM_02170	K03978
PLEHNPDM_02171	K03217
PLEHNPDM_02172	K08998
PLEHNPDM_02177	K00059
PLEHNPDM_02180	K00108
PLEHNPDM_02189	K00314
PLEHNPDM_02191	K01652
PLEHNPDM_02192	K11206
PLEHNPDM_02196	K00826
PLEHNPDM_02198	K00248
PLEHNPDM_02200	K18703
PLEHNPDM_02201	K01644
PLEHNPDM_02204	K00059
PLEHNPDM_02205	K00359
PLEHNPDM_02206	K07095
PLEHNPDM_02207	K18703
PLEHNPDM_02208	K09710
PLEHNPDM_02209	K00783
PLEHNPDM_02210	K15633
PLEHNPDM_02211	K06194
PLEHNPDM_02212	K03797
PLEHNPDM_02214	K08311
PLEHNPDM_02217	K03738
PLEHNPDM_02218	K08351
PLEHNPDM_02219	K00102
PLEHNPDM_02221	K01652
PLEHNPDM_02224	K16052
PLEHNPDM_02225	K02083
PLEHNPDM_02227	K00249
PLEHNPDM_02234	K01654
PLEHNPDM_02235	K12409
PLEHNPDM_02236	K02083
PLEHNPDM_02239	K00015
PLEHNPDM_02240	K01239
PLEHNPDM_02241	K21029
PLEHNPDM_02242	K01738
PLEHNPDM_02243	K13643
PLEHNPDM_02244	K01520
PLEHNPDM_02245	K13038
PLEHNPDM_02246	K18702
PLEHNPDM_02250	K05796
PLEHNPDM_02252	K05916
PLEHNPDM_02253	K02233
PLEHNPDM_02254	K13574
PLEHNPDM_02256	K06878
PLEHNPDM_02258	K07028
PLEHNPDM_02259	K11954
PLEHNPDM_02260	K01995
PLEHNPDM_02261	K01996
PLEHNPDM_02262	K11956
PLEHNPDM_02263	K11955
PLEHNPDM_02264	K00681
PLEHNPDM_02265	K07638
PLEHNPDM_02266	K07659
PLEHNPDM_02268	K00826
PLEHNPDM_02269	K00666
PLEHNPDM_02270	K04773
PLEHNPDM_02273	K01692
PLEHNPDM_02276	K03406
PLEHNPDM_02283	K02276
PLEHNPDM_02284	K02276
PLEHNPDM_02285	K02274
PLEHNPDM_02286	K02275
PLEHNPDM_02293	K02199
PLEHNPDM_02294	K02198
PLEHNPDM_02295	K15919
PLEHNPDM_02296	K02197
PLEHNPDM_02298	K02195
PLEHNPDM_02299	K02194
PLEHNPDM_02300	K02193
PLEHNPDM_02301	K06190
PLEHNPDM_02302	K01807
PLEHNPDM_02303	K01775
PLEHNPDM_02304	K00283
PLEHNPDM_02305	K00282
PLEHNPDM_02306	K02437
PLEHNPDM_02307	K00605
PLEHNPDM_02309	K03527
PLEHNPDM_02310	K02204
PLEHNPDM_02311	K03469
PLEHNPDM_02312	K01295
PLEHNPDM_02320	K02108
PLEHNPDM_02322	K03529
PLEHNPDM_02325	K03575
PLEHNPDM_02326	K00571
PLEHNPDM_02327	K03470
PLEHNPDM_02328	K03455
PLEHNPDM_02330	K00344
PLEHNPDM_02333	K06941
PLEHNPDM_02334	K07749
PLEHNPDM_02336	K18703
PLEHNPDM_02337	K00059
PLEHNPDM_02339	K21871
PLEHNPDM_02341	K07511
PLEHNPDM_02342	K00948
PLEHNPDM_02343	K02897
PLEHNPDM_02344	K01056
PLEHNPDM_02346	K06942
PLEHNPDM_02351	K03638
PLEHNPDM_02352	K08309
PLEHNPDM_02353	K21929
PLEHNPDM_02354	K00311
PLEHNPDM_02356	K00919
PLEHNPDM_02366	K01679
PLEHNPDM_02367	K00058
PLEHNPDM_02378	K00059
PLEHNPDM_02379	K01708
PLEHNPDM_02380	K01066
PLEHNPDM_02382	K00537
PLEHNPDM_02384	K12663
PLEHNPDM_02385	K12405
PLEHNPDM_02387	K01754
PLEHNPDM_02388	K03654
PLEHNPDM_02389	K00666
PLEHNPDM_02390	K00249
PLEHNPDM_02394	K13789
PLEHNPDM_02395	K01662
PLEHNPDM_02396	K06442
PLEHNPDM_02397	K03215
PLEHNPDM_02399	K01061
PLEHNPDM_02400	K01692
PLEHNPDM_02403	K19245
PLEHNPDM_02404	K00059
PLEHNPDM_02405	K00799
PLEHNPDM_02410	K02257
PLEHNPDM_02411	K02274
PLEHNPDM_02412	K02275
PLEHNPDM_02414	K00058
PLEHNPDM_02417	K18703
PLEHNPDM_02418	K07335
PLEHNPDM_02419	K23537
PLEHNPDM_02420	K23535
PLEHNPDM_02421	K23536
PLEHNPDM_02422	K01489
PLEHNPDM_02423	K03783
PLEHNPDM_02424	K00758
PLEHNPDM_02425	K01839
PLEHNPDM_02426	K07025
PLEHNPDM_02428	K11755
PLEHNPDM_02432	K03272
PLEHNPDM_02436	K05946
PLEHNPDM_02443	K01685
PLEHNPDM_02444	K01685
PLEHNPDM_02451	K03520
PLEHNPDM_02452	K01895
PLEHNPDM_02453	K22278
PLEHNPDM_02458	K01473
PLEHNPDM_02459	K01474
PLEHNPDM_02461	K11072
PLEHNPDM_02462	K18166
PLEHNPDM_02463	K18981
PLEHNPDM_02467	K11071
PLEHNPDM_02469	K01464
PLEHNPDM_02474	K03596
PLEHNPDM_02475	K00059
PLEHNPDM_02481	K01692
PLEHNPDM_02483	K01890
PLEHNPDM_02484	K01889
PLEHNPDM_02485	K02887
PLEHNPDM_02486	K02916
PLEHNPDM_02487	K01768
PLEHNPDM_02489	K00382
PLEHNPDM_02491	K13638
PLEHNPDM_02500	K07462
PLEHNPDM_02501	K02446
PLEHNPDM_02502	K00003
PLEHNPDM_02503	K14261
PLEHNPDM_02505	K03821
PLEHNPDM_02506	K01715
PLEHNPDM_02507	K07511
PLEHNPDM_02514	K01966
PLEHNPDM_02516	K21562
PLEHNPDM_02517	K03829
PLEHNPDM_02519	K17686
PLEHNPDM_02522	K00406
PLEHNPDM_02524	K00405
PLEHNPDM_02525	K00404
PLEHNPDM_02526	K01966
PLEHNPDM_02528	K01715
PLEHNPDM_02529	K00059
PLEHNPDM_02530	K00249
PLEHNPDM_02532	K03119
PLEHNPDM_02535	K00799
PLEHNPDM_02538	K00001
PLEHNPDM_02540	K05607
PLEHNPDM_02541	K01138
PLEHNPDM_02543	K09471
PLEHNPDM_02544	K06889
PLEHNPDM_02546	K00666
PLEHNPDM_02547	K01652
PLEHNPDM_02549	K08164
PLEHNPDM_02550	K03518
PLEHNPDM_02551	K07303
PLEHNPDM_02552	K18703
PLEHNPDM_02555	K18703
PLEHNPDM_02563	K10352
PLEHNPDM_02565	K03331
PLEHNPDM_02566	K07306
PLEHNPDM_02567	K00891
PLEHNPDM_02568	K00327
PLEHNPDM_02569	K01895
PLEHNPDM_02572	K18244
PLEHNPDM_02574	K00382
PLEHNPDM_02575	K00658
PLEHNPDM_02576	K00164
PLEHNPDM_02577	K01902
PLEHNPDM_02578	K01903
PLEHNPDM_02579	K00024
PLEHNPDM_02586	K00549
PLEHNPDM_02589	K19245
PLEHNPDM_02590	K00681
PLEHNPDM_02593	K00803
PLEHNPDM_02594	K03365
PLEHNPDM_02596	K01620
PLEHNPDM_02599	K06180
PLEHNPDM_02600	K03089
PLEHNPDM_02604	K00219
PLEHNPDM_02608	K03119
PLEHNPDM_02611	K01992
PLEHNPDM_02612	K01515
PLEHNPDM_02613	K05607
PLEHNPDM_02615	K01905
PLEHNPDM_02617	K00459
PLEHNPDM_02621	K07006
PLEHNPDM_02622	K02371
PLEHNPDM_02623	K02569
PLEHNPDM_02627	K07516
PLEHNPDM_02630	K01996
PLEHNPDM_02631	K01995
PLEHNPDM_02632	K01998
PLEHNPDM_02633	K11960
PLEHNPDM_02634	K11959
PLEHNPDM_02639	K15270
PLEHNPDM_02640	K01692
PLEHNPDM_02643	K00263
PLEHNPDM_02646	K01443
PLEHNPDM_02650	K00179
PLEHNPDM_02651	K07713
PLEHNPDM_02652	K08602
PLEHNPDM_02653	K08869
PLEHNPDM_02654	K00324
PLEHNPDM_02655	K00324
PLEHNPDM_02656	K00325
PLEHNPDM_02658	K00108
PLEHNPDM_02666	K00266
PLEHNPDM_02667	K00265
PLEHNPDM_02683	K11517
PLEHNPDM_02691	K01692
PLEHNPDM_02693	K11209
PLEHNPDM_02694	K07716
PLEHNPDM_02695	K01069
PLEHNPDM_02699	K01640
PLEHNPDM_02707	K00108
PLEHNPDM_02709	K01464
PLEHNPDM_02715	K01464
PLEHNPDM_02717	K07077
PLEHNPDM_02718	K01652
PLEHNPDM_02720	K00179
PLEHNPDM_02721	K00180
PLEHNPDM_02722	K00174
PLEHNPDM_02723	K00175
PLEHNPDM_02727	K03566
PLEHNPDM_02730	K01473
PLEHNPDM_02731	K03701
PLEHNPDM_02732	K03111
PLEHNPDM_02734	K00320
PLEHNPDM_02735	K01712
PLEHNPDM_02736	K01745
PLEHNPDM_02737	K00249
PLEHNPDM_02739	K01886
PLEHNPDM_02744	K11206
PLEHNPDM_02745	K03676
PLEHNPDM_02747	K18162
PLEHNPDM_02753	K00059
PLEHNPDM_02755	K03924
PLEHNPDM_02759	K15726
PLEHNPDM_02760	K18898
PLEHNPDM_02766	K17103
PLEHNPDM_02767	K01613
PLEHNPDM_02768	K06147
PLEHNPDM_02770	K03446
PLEHNPDM_02773	K14162
PLEHNPDM_02781	K00248
PLEHNPDM_02782	K18166
PLEHNPDM_02784	K07749
PLEHNPDM_02786	K00058
PLEHNPDM_02787	K00059
PLEHNPDM_02788	K07749
PLEHNPDM_02796	K01800
PLEHNPDM_02806	K12972
PLEHNPDM_02807	K12251
PLEHNPDM_02811	K00784
PLEHNPDM_02819	K22552
PLEHNPDM_02822	K17686
PLEHNPDM_02824	K13638
PLEHNPDM_02825	K06196
PLEHNPDM_02827	K10118
PLEHNPDM_02828	K10112
PLEHNPDM_02830	K14274
PLEHNPDM_02831	K03331
PLEHNPDM_02833	K00523
PLEHNPDM_02835	K14652
PLEHNPDM_02836	K07668
PLEHNPDM_02838	K01969
PLEHNPDM_02840	K00074
PLEHNPDM_02841	K03522
PLEHNPDM_02842	K03521
PLEHNPDM_02846	K00798
PLEHNPDM_02850	K03798
PLEHNPDM_02853	K00231
PLEHNPDM_02871	K08356
PLEHNPDM_02872	K08355
PLEHNPDM_02878	K06195
PLEHNPDM_02879	K05712
PLEHNPDM_02880	K01966
PLEHNPDM_02881	K00249
PLEHNPDM_02884	K05825
PLEHNPDM_02885	K03801
PLEHNPDM_02886	K02417
PLEHNPDM_02888	K09705
PLEHNPDM_02890	K00059
PLEHNPDM_02894	K00059
PLEHNPDM_02895	K01652
PLEHNPDM_02897	K13479
PLEHNPDM_02898	K00106
PLEHNPDM_02899	K03520
PLEHNPDM_02901	K15866
PLEHNPDM_02908	K22522
PLEHNPDM_02909	K00031
PLEHNPDM_02910	K00249
PLEHNPDM_02911	K10716
PLEHNPDM_02912	K01872
PLEHNPDM_02914	K00383
PLEHNPDM_02920	K00244
PLEHNPDM_02925	K06989
PLEHNPDM_02926	K19548
PLEHNPDM_02931	K01483
PLEHNPDM_02932	K01652
PLEHNPDM_02936	K07789
PLEHNPDM_02938	K01426
PLEHNPDM_02939	K00059
PLEHNPDM_02943	K01653
PLEHNPDM_02944	K00053
PLEHNPDM_02946	K02033
PLEHNPDM_02948	K03569
PLEHNPDM_02951	K05515
PLEHNPDM_02952	K05837
PLEHNPDM_02953	K00108
PLEHNPDM_02955	K06048
PLEHNPDM_02957	K11529
PLEHNPDM_02958	K00873
PLEHNPDM_02962	K01444
PLEHNPDM_02964	K00971
PLEHNPDM_02969	K00790
PLEHNPDM_02971	K00765
PLEHNPDM_02972	K00013
PLEHNPDM_02974	K03741
PLEHNPDM_02975	K11991
PLEHNPDM_02977	K03802
PLEHNPDM_02979	K00077
PLEHNPDM_02980	K01011
PLEHNPDM_02982	K00020
PLEHNPDM_02990	K11927
PLEHNPDM_02992	K00038
PLEHNPDM_02995	K06147
PLEHNPDM_02996	K06147
PLEHNPDM_02998	K01126
PLEHNPDM_02999	K00111
PLEHNPDM_03002	K00249
PLEHNPDM_03006	K01823
PLEHNPDM_03008	K00102
PLEHNPDM_03011	K07755
PLEHNPDM_03014	K03776
PLEHNPDM_03015	K03406
PLEHNPDM_03017	K00059
PLEHNPDM_03019	K22696
PLEHNPDM_03020	K22696
PLEHNPDM_03021	K09815
PLEHNPDM_03022	K01715
PLEHNPDM_03025	K03566
PLEHNPDM_03026	K00133
PLEHNPDM_03027	K22368
PLEHNPDM_03029	K11527
PLEHNPDM_03033	K07126
PLEHNPDM_03035	K19784
PLEHNPDM_03038	K00800
PLEHNPDM_03039	K00945
PLEHNPDM_03040	K02945
PLEHNPDM_03041	K04773
PLEHNPDM_03042	K05788
PLEHNPDM_03044	K01817
PLEHNPDM_03045	K01696
PLEHNPDM_03046	K01695
PLEHNPDM_03047	K01963
PLEHNPDM_03048	K11754
PLEHNPDM_03049	K03671
PLEHNPDM_03050	K16898
PLEHNPDM_03051	K16899
PLEHNPDM_03052	K00966
PLEHNPDM_03054	K00059
PLEHNPDM_03057	K16871
PLEHNPDM_03059	K07068
PLEHNPDM_03061	K02371
PLEHNPDM_03062	K15270
PLEHNPDM_03064	K09838
PLEHNPDM_03066	K15866
PLEHNPDM_03067	K18939
PLEHNPDM_03069	K11209
PLEHNPDM_03072	K01029
PLEHNPDM_03073	K01028
PLEHNPDM_03078	K00020
PLEHNPDM_03082	K00957
PLEHNPDM_03083	K00955
PLEHNPDM_03084	K00788
PLEHNPDM_03085	K06997
PLEHNPDM_03087	K07001
PLEHNPDM_03088	K00681
PLEHNPDM_03089	K09001
PLEHNPDM_03090	K01866
PLEHNPDM_03093	K21071
PLEHNPDM_03094	K01640
PLEHNPDM_03097	K01968
PLEHNPDM_03098	K12663
PLEHNPDM_03099	K01969
PLEHNPDM_03100	K06001
PLEHNPDM_03101	K22843
PLEHNPDM_03102	K02433
PLEHNPDM_03103	K18703
PLEHNPDM_03106	K18703
PLEHNPDM_03107	K00248
PLEHNPDM_03108	K00626
PLEHNPDM_03112	K01768
PLEHNPDM_03113	K18703
PLEHNPDM_03114	K18703
PLEHNPDM_03117	K18703
PLEHNPDM_03119	K00108
PLEHNPDM_03120	K05834
PLEHNPDM_03121	K01897
PLEHNPDM_03124	K12410
PLEHNPDM_03125	K00048
PLEHNPDM_03128	K03639
PLEHNPDM_03129	K21440
PLEHNPDM_03131	K00858
PLEHNPDM_03133	K01733
PLEHNPDM_03135	K07120
PLEHNPDM_03137	K07098
PLEHNPDM_03138	K09457
PLEHNPDM_03139	K01758
PLEHNPDM_03142	K00059
PLEHNPDM_03143	K00059
PLEHNPDM_03146	K12251
PLEHNPDM_03147	K01473
PLEHNPDM_03148	K01474
PLEHNPDM_03151	K02025
PLEHNPDM_03152	K02026
PLEHNPDM_03153	K10112
PLEHNPDM_03155	K09471
PLEHNPDM_03157	K13574
PLEHNPDM_03158	K01897
PLEHNPDM_03159	K00803
PLEHNPDM_03162	K11779
PLEHNPDM_03163	K14941
PLEHNPDM_03164	K11212
PLEHNPDM_03165	K12234
PLEHNPDM_03166	K06988
PLEHNPDM_03170	K08683
PLEHNPDM_03173	K03417
PLEHNPDM_03178	K00769
PLEHNPDM_03179	K23537
PLEHNPDM_03181	K23536
PLEHNPDM_03182	K07335
PLEHNPDM_03183	K12405
PLEHNPDM_03184	K12405
PLEHNPDM_03185	K01715
PLEHNPDM_03187	K22818
PLEHNPDM_03188	K01905
PLEHNPDM_03190	K01703
PLEHNPDM_03191	K01704
PLEHNPDM_03194	K18703
PLEHNPDM_03195	K18703
PLEHNPDM_03198	K10215
PLEHNPDM_03200	K01768
PLEHNPDM_03201	K01066
PLEHNPDM_03202	K05539
PLEHNPDM_03203	K13953
PLEHNPDM_03204	K09458
PLEHNPDM_03206	K18703
PLEHNPDM_03212	K21393
PLEHNPDM_03214	K07010
PLEHNPDM_03219	K11209
PLEHNPDM_03221	K00953
PLEHNPDM_03222	K06206
PLEHNPDM_03223	K01265
PLEHNPDM_03224	K03630
PLEHNPDM_03225	K01474
PLEHNPDM_03226	K01473
PLEHNPDM_03227	K03520
PLEHNPDM_03230	K01955
PLEHNPDM_03231	K03624
PLEHNPDM_03235	K01919
PLEHNPDM_03236	K09761
PLEHNPDM_03237	K06125
PLEHNPDM_03241	K11085
PLEHNPDM_03242	K09778
PLEHNPDM_03243	K02527
PLEHNPDM_03244	K00912
PLEHNPDM_03245	K02517
PLEHNPDM_03247	K03601
PLEHNPDM_03248	K01945
PLEHNPDM_03250	K01913
PLEHNPDM_03256	K15510
PLEHNPDM_03258	K01273
PLEHNPDM_03260	K00249
PLEHNPDM_03261	K16726
PLEHNPDM_03262	K00274
PLEHNPDM_03265	K01885
PLEHNPDM_03266	K00074
PLEHNPDM_03267	K01247
PLEHNPDM_03270	K01661
PLEHNPDM_03271	K03119
PLEHNPDM_03272	K01782
PLEHNPDM_03273	K00626
PLEHNPDM_03276	K03426
PLEHNPDM_03277	K02371
PLEHNPDM_03281	K00666
PLEHNPDM_03286	K07246
PLEHNPDM_03287	K03446
PLEHNPDM_03288	K03182
PLEHNPDM_03290	K07098
PLEHNPDM_03291	K23256
PLEHNPDM_03292	K14733
PLEHNPDM_03293	K08679
PLEHNPDM_03294	K00059
PLEHNPDM_03298	K02836
PLEHNPDM_03299	K05366
PLEHNPDM_03300	K01448
PLEHNPDM_03301	K08300
PLEHNPDM_03303	K18592
PLEHNPDM_03305	K00864
PLEHNPDM_03313	K03810
PLEHNPDM_03315	K18622
PLEHNPDM_03319	K07304
PLEHNPDM_03320	K13861
PLEHNPDM_03323	K01768
PLEHNPDM_03325	K01897
PLEHNPDM_03326	K07716
PLEHNPDM_03327	K00812
PLEHNPDM_03328	K00077
PLEHNPDM_03329	K02355
PLEHNPDM_03330	K02554
PLEHNPDM_03331	K02554
PLEHNPDM_03332	K07147
PLEHNPDM_03334	K18703
PLEHNPDM_03335	K02503
PLEHNPDM_03337	K09919
PLEHNPDM_03339	K01768
PLEHNPDM_03340	K10536
PLEHNPDM_03341	K03707
PLEHNPDM_03342	K03651
PLEHNPDM_03343	K00059
PLEHNPDM_03346	K01462
PLEHNPDM_03348	K01011
PLEHNPDM_03349	K01271
PLEHNPDM_03350	K01799
PLEHNPDM_03351	K03564
PLEHNPDM_03352	K01469
PLEHNPDM_03353	K01473
PLEHNPDM_03355	K01053
