IIAJCEEM_00001	K03654
IIAJCEEM_02485	K01491
IIAJCEEM_02487	K03218
IIAJCEEM_02493	K07095
IIAJCEEM_02497	K06889
IIAJCEEM_02509	K01915
IIAJCEEM_02512	K03702
IIAJCEEM_02515	K00605
IIAJCEEM_02517	K07658
IIAJCEEM_02526	K07471
IIAJCEEM_02527	K00939
IIAJCEEM_02528	K09125
IIAJCEEM_02531	K00926
IIAJCEEM_02532	K00611
IIAJCEEM_02533	K07133
IIAJCEEM_02537	K03111
IIAJCEEM_02544	K01658
IIAJCEEM_02545	K01665
IIAJCEEM_02546	K02619
IIAJCEEM_02549	K00610
IIAJCEEM_02550	K00609
IIAJCEEM_02551	K00819
IIAJCEEM_02552	K01890
IIAJCEEM_02555	K18682
IIAJCEEM_02559	K03839
IIAJCEEM_02561	K00031
IIAJCEEM_02562	K02343
IIAJCEEM_02563	K02990
IIAJCEEM_02564	K02963
IIAJCEEM_02565	K02939
IIAJCEEM_02584	K11527
IIAJCEEM_02585	K03412
IIAJCEEM_02587	K00547
IIAJCEEM_02589	K02003
IIAJCEEM_02593	K02337
IIAJCEEM_02594	K03671
IIAJCEEM_02596	K07491
IIAJCEEM_02597	K04764
IIAJCEEM_02606	K02557
IIAJCEEM_02612	K00384
IIAJCEEM_02627	K02349
IIAJCEEM_02630	K01153
IIAJCEEM_02637	K03307
IIAJCEEM_02638	K09181
IIAJCEEM_02642	K15891
IIAJCEEM_02645	K04015
IIAJCEEM_02646	K02479
IIAJCEEM_02647	K07680
IIAJCEEM_02649	K01028
IIAJCEEM_02650	K01029
IIAJCEEM_02651	K01640
IIAJCEEM_02652	K00929
IIAJCEEM_02653	K01847
IIAJCEEM_02657	K02428
IIAJCEEM_02658	K00639
IIAJCEEM_02660	K01895
IIAJCEEM_02661	K00639
IIAJCEEM_02665	K06147
IIAJCEEM_02666	K02834
IIAJCEEM_02668	K09808
IIAJCEEM_02670	K14445
IIAJCEEM_02671	K01640
IIAJCEEM_02672	K00248
IIAJCEEM_02674	K03832
IIAJCEEM_02679	K01897
IIAJCEEM_02681	K15635
IIAJCEEM_02682	K00059
IIAJCEEM_02684	K03786
IIAJCEEM_02686	K07005
IIAJCEEM_02688	K23518
IIAJCEEM_02691	K01256
IIAJCEEM_02693	K06917
IIAJCEEM_02696	K04763
IIAJCEEM_02703	K01810
IIAJCEEM_02710	K02004
IIAJCEEM_02712	K19428
IIAJCEEM_02721	K01465
IIAJCEEM_02722	K02338
IIAJCEEM_02726	K01990
IIAJCEEM_02728	K03273
IIAJCEEM_02729	K00721
IIAJCEEM_02731	K02112
IIAJCEEM_02739	K01301
IIAJCEEM_02740	K13051
IIAJCEEM_02741	K03802
IIAJCEEM_02742	K13282
IIAJCEEM_02744	K03296
IIAJCEEM_02745	K04485
IIAJCEEM_02756	K09761
IIAJCEEM_02761	K01886
IIAJCEEM_02762	K01737
IIAJCEEM_02764	K00226
IIAJCEEM_02769	K17716
IIAJCEEM_02791	K07133
IIAJCEEM_02807	K04034
IIAJCEEM_02816	K07481
IIAJCEEM_02818	K07652
IIAJCEEM_02819	K07710
IIAJCEEM_02828	K06941
IIAJCEEM_02830	K01778
IIAJCEEM_02831	K01937
IIAJCEEM_02832	K00979
IIAJCEEM_02837	K03655
IIAJCEEM_02851	K00606
IIAJCEEM_02854	K04043
IIAJCEEM_02864	K03555
IIAJCEEM_02866	K18672
IIAJCEEM_02867	K00796
IIAJCEEM_02870	K01620
IIAJCEEM_02878	K01847
IIAJCEEM_02879	K01847
IIAJCEEM_02881	K03650
IIAJCEEM_02886	K04075
IIAJCEEM_02887	K14441
IIAJCEEM_02888	K03110
IIAJCEEM_02892	K17716
IIAJCEEM_02902	K18980
IIAJCEEM_02907	K07316
IIAJCEEM_02911	K15496
IIAJCEEM_02912	K11072
IIAJCEEM_02922	K03750
IIAJCEEM_02923	K03639
IIAJCEEM_02924	K03637
IIAJCEEM_02928	K00657
IIAJCEEM_02932	K08220
IIAJCEEM_02933	K03307
IIAJCEEM_02937	K00384
IIAJCEEM_02941	K03665
IIAJCEEM_02945	K13598
IIAJCEEM_02947	K02843
IIAJCEEM_02948	K02470
IIAJCEEM_02949	K00859
IIAJCEEM_02951	K03210
IIAJCEEM_02954	K03625
IIAJCEEM_02958	K02005
IIAJCEEM_02959	K03296
IIAJCEEM_02967	K01760
IIAJCEEM_02969	K08307
IIAJCEEM_02986	K00820
IIAJCEEM_02999	K07735
IIAJCEEM_03003	K00243
IIAJCEEM_03006	K06888
IIAJCEEM_03013	K00873
IIAJCEEM_03016	K07114
IIAJCEEM_03019	K01892
IIAJCEEM_03020	K03271
IIAJCEEM_03021	K04084
IIAJCEEM_03024	K11991
IIAJCEEM_03025	K06881
IIAJCEEM_03027	K14652
IIAJCEEM_03030	K07091
IIAJCEEM_03031	K03070
IIAJCEEM_03032	K01619
IIAJCEEM_03037	K00757
IIAJCEEM_03038	K03088
IIAJCEEM_03039	K03701
IIAJCEEM_03040	K00674
IIAJCEEM_03042	K12340
IIAJCEEM_03043	K02005
IIAJCEEM_03045	K00278
IIAJCEEM_03046	K03517
IIAJCEEM_03047	K22405
IIAJCEEM_03048	K00956
IIAJCEEM_03049	K00957
IIAJCEEM_03050	K00860
IIAJCEEM_03051	K01082
IIAJCEEM_03052	K03979
IIAJCEEM_03055	K01834
IIAJCEEM_03057	K01643
IIAJCEEM_03058	K02068
IIAJCEEM_03059	K02069
IIAJCEEM_03060	K01270
IIAJCEEM_03063	K03696
IIAJCEEM_03071	K02479
IIAJCEEM_03072	K11527
IIAJCEEM_03074	K03671
IIAJCEEM_03076	K02478
IIAJCEEM_03077	K02477
IIAJCEEM_03079	K00394
IIAJCEEM_03080	K15519
IIAJCEEM_03083	K01929
IIAJCEEM_03084	K15503
IIAJCEEM_03088	K03453
IIAJCEEM_03093	K07636
IIAJCEEM_03094	K07893
IIAJCEEM_03099	K10380
IIAJCEEM_03105	K15836
IIAJCEEM_03116	K00179
IIAJCEEM_03117	K00180
IIAJCEEM_03120	K02035
IIAJCEEM_03123	K03271
IIAJCEEM_03126	K01593
IIAJCEEM_03128	K19166
IIAJCEEM_03136	K03814
IIAJCEEM_03143	K01926
IIAJCEEM_03144	K04652
IIAJCEEM_03145	K21556
IIAJCEEM_03146	K03388
IIAJCEEM_03150	K14128
IIAJCEEM_03151	K00436
IIAJCEEM_03153	K00091
IIAJCEEM_03158	K04655
IIAJCEEM_03159	K04654
IIAJCEEM_03160	K04653
IIAJCEEM_03161	K04656
IIAJCEEM_03162	K00335
IIAJCEEM_03163	K00336
IIAJCEEM_03164	K18007
IIAJCEEM_03165	K00436
IIAJCEEM_03170	K07722
IIAJCEEM_03172	K04564
IIAJCEEM_03173	K04564
IIAJCEEM_03175	K03616
IIAJCEEM_03176	K03615
IIAJCEEM_03177	K03614
IIAJCEEM_03178	K03612
IIAJCEEM_03179	K03613
IIAJCEEM_03180	K03617
IIAJCEEM_03181	K02437
IIAJCEEM_03184	K02437
IIAJCEEM_03185	K07709
IIAJCEEM_03186	K07697
IIAJCEEM_03187	K00252
IIAJCEEM_03197	K09667
IIAJCEEM_03207	K18980
IIAJCEEM_03213	K02472
IIAJCEEM_03214	K01953
IIAJCEEM_03222	K00226
IIAJCEEM_03223	K02477
IIAJCEEM_03224	K02478
IIAJCEEM_03234	K02003
IIAJCEEM_03236	K09808
IIAJCEEM_03240	K01991
IIAJCEEM_03253	K02574
IIAJCEEM_03267	K07636
IIAJCEEM_03272	K00819
IIAJCEEM_03279	K08998
IIAJCEEM_03280	K03536
IIAJCEEM_03282	K00059
IIAJCEEM_03283	K00501
IIAJCEEM_03284	K01737
IIAJCEEM_03285	K03281
IIAJCEEM_03287	K02888
IIAJCEEM_03288	K02899
IIAJCEEM_03303	K02003
IIAJCEEM_03306	K02004
IIAJCEEM_03314	K03455
IIAJCEEM_03317	K06175
IIAJCEEM_03320	K03768
IIAJCEEM_03321	K12257
IIAJCEEM_03322	K00951
IIAJCEEM_03323	K03711
IIAJCEEM_03324	K01939
IIAJCEEM_03328	K13444
IIAJCEEM_03330	K01719
IIAJCEEM_03332	K04485
IIAJCEEM_03333	K03469
IIAJCEEM_03337	K00571
IIAJCEEM_03339	K01758
IIAJCEEM_03340	K16089
IIAJCEEM_03341	K07307
IIAJCEEM_03347	K03388
IIAJCEEM_03348	K01338
IIAJCEEM_03350	K01613
IIAJCEEM_03351	K00981
IIAJCEEM_03353	K00390
IIAJCEEM_03354	K01874
IIAJCEEM_03355	K01297
IIAJCEEM_03356	K03386
IIAJCEEM_03357	K03386
IIAJCEEM_03365	K01955
IIAJCEEM_03366	K01956
IIAJCEEM_03377	K02472
IIAJCEEM_03381	K19422
IIAJCEEM_03385	K03565
IIAJCEEM_03388	K18691
IIAJCEEM_03393	K00067
IIAJCEEM_03397	K22928
IIAJCEEM_03410	K07497
IIAJCEEM_03412	K03798
IIAJCEEM_03413	K06580
IIAJCEEM_03422	K01835
IIAJCEEM_03423	K00067
IIAJCEEM_03429	K00928
IIAJCEEM_03430	K03841
IIAJCEEM_03431	K09710
IIAJCEEM_03432	K03798
IIAJCEEM_03433	K01424
IIAJCEEM_03437	K11927
IIAJCEEM_03438	K03321
IIAJCEEM_03442	K20742
IIAJCEEM_03444	K00134
IIAJCEEM_03448	K07133
IIAJCEEM_03455	K01912
IIAJCEEM_03456	K00648
IIAJCEEM_03460	K22369
IIAJCEEM_03468	K00432
IIAJCEEM_03470	K02621
IIAJCEEM_03471	K02622
IIAJCEEM_03473	K04771
IIAJCEEM_03475	K01153
IIAJCEEM_03482	K02481
IIAJCEEM_03485	K04516
IIAJCEEM_03487	K16089
IIAJCEEM_03493	K12196
IIAJCEEM_03494	K06596
IIAJCEEM_03501	K00568
IIAJCEEM_03506	K21613
IIAJCEEM_03507	K01775
IIAJCEEM_03510	K11928
IIAJCEEM_03512	K01153
IIAJCEEM_03513	K01154
IIAJCEEM_03515	K07043
IIAJCEEM_03527	K07788
IIAJCEEM_03532	K04739
IIAJCEEM_03533	K00812
IIAJCEEM_03551	K04763
IIAJCEEM_03553	K07684
IIAJCEEM_03554	K07777
IIAJCEEM_03557	K07714
IIAJCEEM_03558	K06974
IIAJCEEM_03559	K21556
IIAJCEEM_03560	K03752
IIAJCEEM_03561	K07310
IIAJCEEM_03572	K03324
IIAJCEEM_03577	K21440
IIAJCEEM_03580	K07114
IIAJCEEM_03583	K07769
IIAJCEEM_03584	K15738
IIAJCEEM_03595	K03704
IIAJCEEM_03597	K07729
IIAJCEEM_03615	K01966
IIAJCEEM_03616	K01961
IIAJCEEM_03617	K01960
IIAJCEEM_03622	K06911
IIAJCEEM_03623	K06921
IIAJCEEM_03625	K12942
IIAJCEEM_03631	K02316
IIAJCEEM_03635	K19147
IIAJCEEM_03636	K07452
IIAJCEEM_03650	K01953
IIAJCEEM_03651	K07491
IIAJCEEM_03652	K11527
IIAJCEEM_03653	K03088
IIAJCEEM_03656	K16089
IIAJCEEM_03670	K00294
IIAJCEEM_03676	K11102
IIAJCEEM_03678	K03168
IIAJCEEM_03682	K00432
IIAJCEEM_03683	K01667
IIAJCEEM_03684	K06287
IIAJCEEM_03687	K03437
IIAJCEEM_03688	K02342
IIAJCEEM_03689	K11175
IIAJCEEM_03693	K11085
IIAJCEEM_03696	K14445
IIAJCEEM_03703	K14640
IIAJCEEM_03710	K00604
IIAJCEEM_03712	K01654
IIAJCEEM_03713	K00135
IIAJCEEM_03715	K09459
IIAJCEEM_03720	K12322
IIAJCEEM_03726	K00626
IIAJCEEM_03727	K00074
IIAJCEEM_03728	K01715
IIAJCEEM_03729	K13703
IIAJCEEM_03732	K06143
IIAJCEEM_03744	K01823
IIAJCEEM_03746	K00845
IIAJCEEM_03748	K06978
IIAJCEEM_03749	K03701
IIAJCEEM_03750	K03701
IIAJCEEM_03752	K03748
IIAJCEEM_03757	K02226
IIAJCEEM_03766	K09808
IIAJCEEM_03768	K13993
IIAJCEEM_03770	K03088
IIAJCEEM_03772	K00278
IIAJCEEM_03776	K02481
IIAJCEEM_03777	K02238
IIAJCEEM_03780	K03088
IIAJCEEM_03782	K02355
IIAJCEEM_03787	K04905
IIAJCEEM_03798	K04095
IIAJCEEM_03799	K07133
IIAJCEEM_03804	K02519
IIAJCEEM_03805	K02600
IIAJCEEM_03806	K06178
IIAJCEEM_03809	K03495
IIAJCEEM_03811	K08303
