HLOLMFMH_00002	K03327
HLOLMFMH_01391	K18979
HLOLMFMH_01392	K13288
HLOLMFMH_01393	K06949
HLOLMFMH_01394	K01011
HLOLMFMH_01395	K01613
HLOLMFMH_01397	K01599
HLOLMFMH_01398	K00266
HLOLMFMH_01399	K00265
HLOLMFMH_01401	K01735
HLOLMFMH_01402	K00891
HLOLMFMH_01403	K02507
HLOLMFMH_01404	K01991
HLOLMFMH_01405	K01104
HLOLMFMH_01407	K00973
HLOLMFMH_01409	K01991
HLOLMFMH_01411	K01840
HLOLMFMH_01419	K16092
HLOLMFMH_01420	K04485
HLOLMFMH_01421	K22883
HLOLMFMH_01422	K00059
HLOLMFMH_01425	K00906
HLOLMFMH_01428	K02453
HLOLMFMH_01437	K02455
HLOLMFMH_01438	K02454
HLOLMFMH_01440	K06168
HLOLMFMH_01441	K06217
HLOLMFMH_01442	K07042
HLOLMFMH_01443	K06189
HLOLMFMH_01444	K03820
HLOLMFMH_01445	K03564
HLOLMFMH_01446	K01869
HLOLMFMH_01448	K02340
HLOLMFMH_01449	K14445
HLOLMFMH_01452	K00992
HLOLMFMH_01453	K07102
HLOLMFMH_01454	K04744
HLOLMFMH_01455	K03771
HLOLMFMH_01456	K00097
HLOLMFMH_01457	K02528
HLOLMFMH_01458	K06195
HLOLMFMH_01459	K01525
HLOLMFMH_01460	K02879
HLOLMFMH_01461	K03040
HLOLMFMH_01462	K02986
HLOLMFMH_01463	K02948
HLOLMFMH_01464	K02952
HLOLMFMH_01465	K03076
HLOLMFMH_01466	K02876
HLOLMFMH_01467	K02907
HLOLMFMH_01468	K02988
HLOLMFMH_01469	K02881
HLOLMFMH_01470	K02933
HLOLMFMH_01471	K02994
HLOLMFMH_01472	K02954
HLOLMFMH_01473	K02931
HLOLMFMH_01474	K02895
HLOLMFMH_01475	K02874
HLOLMFMH_01476	K02961
HLOLMFMH_01477	K02904
HLOLMFMH_01478	K02878
HLOLMFMH_01479	K02982
HLOLMFMH_01480	K02890
HLOLMFMH_01481	K02965
HLOLMFMH_01482	K02886
HLOLMFMH_01483	K02892
HLOLMFMH_01484	K02926
HLOLMFMH_01485	K02906
HLOLMFMH_01486	K02946
HLOLMFMH_01487	K02358
HLOLMFMH_01488	K01873
HLOLMFMH_01489	K03656
HLOLMFMH_01490	K05788
HLOLMFMH_01491	K02945
HLOLMFMH_01492	K00945
HLOLMFMH_01493	K00800
HLOLMFMH_01494	K14170
HLOLMFMH_01495	K02469
HLOLMFMH_01496	K12960
HLOLMFMH_01497	K00568
HLOLMFMH_01498	K22292
HLOLMFMH_01500	K06178
HLOLMFMH_01501	K06024
HLOLMFMH_01502	K05896
HLOLMFMH_01506	K09780
HLOLMFMH_01508	K03767
HLOLMFMH_01509	K03474
HLOLMFMH_01511	K03218
HLOLMFMH_01515	K01972
HLOLMFMH_01516	K03528
HLOLMFMH_01517	K03529
HLOLMFMH_01519	K02200
HLOLMFMH_01520	K02199
HLOLMFMH_01521	K02198
HLOLMFMH_01522	K02197
HLOLMFMH_01524	K02195
HLOLMFMH_01525	K02194
HLOLMFMH_01526	K02193
HLOLMFMH_01528	K07304
HLOLMFMH_01530	K01420
HLOLMFMH_01531	K00974
HLOLMFMH_01532	K00059
HLOLMFMH_01534	K01633
HLOLMFMH_01535	K01409
HLOLMFMH_01536	K02970
HLOLMFMH_01537	K09117
HLOLMFMH_01538	K02316
HLOLMFMH_01539	K03086
HLOLMFMH_01543	K01903
HLOLMFMH_01544	K00382
HLOLMFMH_01545	K00658
HLOLMFMH_01546	K00164
HLOLMFMH_01547	K00240
HLOLMFMH_01548	K00239
HLOLMFMH_01549	K00242
HLOLMFMH_01550	K00241
HLOLMFMH_01551	K01647
HLOLMFMH_01553	K03641
HLOLMFMH_01555	K01682
HLOLMFMH_01557	K07400
HLOLMFMH_01558	K00548
HLOLMFMH_01562	K03929
HLOLMFMH_01564	K11085
HLOLMFMH_01567	K00471
HLOLMFMH_01570	K07146
HLOLMFMH_01571	K01256
HLOLMFMH_01574	K17743
HLOLMFMH_01576	K03307
HLOLMFMH_01578	K00021
HLOLMFMH_01580	K01563
HLOLMFMH_01584	K00088
HLOLMFMH_01585	K03601
HLOLMFMH_01586	K01758
HLOLMFMH_01587	K03719
HLOLMFMH_01588	K03977
HLOLMFMH_01589	K00833
HLOLMFMH_01591	K17713
HLOLMFMH_01593	K01892
HLOLMFMH_01594	K03526
HLOLMFMH_01596	K06941
HLOLMFMH_01597	K00940
HLOLMFMH_01600	K04755
HLOLMFMH_01601	K04044
HLOLMFMH_01603	K13628
HLOLMFMH_01604	K04488
HLOLMFMH_01605	K04487
HLOLMFMH_01606	K13643
HLOLMFMH_01607	K15396
HLOLMFMH_01608	K01092
HLOLMFMH_01612	K13867
HLOLMFMH_01613	K00567
HLOLMFMH_01614	K00128
HLOLMFMH_01616	K07058
HLOLMFMH_01617	K00537
HLOLMFMH_01618	K03809
HLOLMFMH_01620	K04773
HLOLMFMH_01621	K10763
HLOLMFMH_01623	K01933
HLOLMFMH_01624	K11175
HLOLMFMH_01627	K01494
HLOLMFMH_01628	K03593
HLOLMFMH_01629	K01874
HLOLMFMH_01630	K03617
HLOLMFMH_01631	K03616
HLOLMFMH_01632	K03615
HLOLMFMH_01633	K03614
HLOLMFMH_01634	K03612
HLOLMFMH_01635	K03613
HLOLMFMH_01639	K06991
HLOLMFMH_01640	K12235
HLOLMFMH_01641	K03284
HLOLMFMH_01642	K05802
HLOLMFMH_01643	K01940
HLOLMFMH_01644	K00604
HLOLMFMH_01645	K01465
HLOLMFMH_01646	K03683
HLOLMFMH_01647	K03310
HLOLMFMH_01648	K07056
HLOLMFMH_01649	K07121
HLOLMFMH_01653	K00626
HLOLMFMH_01654	K03600
HLOLMFMH_01655	K03599
HLOLMFMH_01656	K00412
HLOLMFMH_01657	K00411
HLOLMFMH_01658	K02996
HLOLMFMH_01659	K02871
HLOLMFMH_01660	K06916
HLOLMFMH_01663	K00640
HLOLMFMH_01664	K04567
HLOLMFMH_01665	K02356
HLOLMFMH_01667	K01079
HLOLMFMH_01670	K00640
HLOLMFMH_01672	K03799
HLOLMFMH_01674	K06206
HLOLMFMH_01675	K06204
HLOLMFMH_01676	K01885
HLOLMFMH_01677	K07710
HLOLMFMH_01678	K07713
HLOLMFMH_01680	K03098
HLOLMFMH_01682	K16052
HLOLMFMH_01683	K01207
HLOLMFMH_01686	K01356
HLOLMFMH_01690	K03168
HLOLMFMH_01693	K08309
HLOLMFMH_01694	K03424
HLOLMFMH_01697	K05349
HLOLMFMH_01698	K02477
HLOLMFMH_01699	K02478
HLOLMFMH_01703	K03775
HLOLMFMH_01705	K12343
HLOLMFMH_01708	K00833
HLOLMFMH_01710	K14058
HLOLMFMH_01711	K11928
HLOLMFMH_01712	K23518
HLOLMFMH_01713	K01887
HLOLMFMH_01715	K01960
HLOLMFMH_01716	K20509
HLOLMFMH_01717	K05527
HLOLMFMH_01719	K03806
HLOLMFMH_01721	K08218
HLOLMFMH_01722	K07443
HLOLMFMH_01723	K07113
HLOLMFMH_01724	K04078
HLOLMFMH_01725	K04077
HLOLMFMH_01728	K01676
HLOLMFMH_01729	K03286
HLOLMFMH_01730	K01141
HLOLMFMH_01731	K00609
HLOLMFMH_01733	K03722
HLOLMFMH_01735	K05592
HLOLMFMH_01740	K00059
HLOLMFMH_01741	K00275
HLOLMFMH_01742	K04760
HLOLMFMH_01744	K03113
HLOLMFMH_01747	K05835
HLOLMFMH_01748	K10716
HLOLMFMH_01749	K07391
HLOLMFMH_01752	K04751
HLOLMFMH_01753	K03320
HLOLMFMH_01754	K04751
HLOLMFMH_01755	K03981
HLOLMFMH_01756	K00003
HLOLMFMH_01757	K01733
HLOLMFMH_01758	K02968
HLOLMFMH_01759	K03980
HLOLMFMH_01760	K11753
HLOLMFMH_01761	K01870
HLOLMFMH_01762	K03101
HLOLMFMH_01763	K03774
HLOLMFMH_01764	K03527
HLOLMFMH_01765	K01810
HLOLMFMH_01766	K01690
HLOLMFMH_01767	K00845
HLOLMFMH_01768	K01625
HLOLMFMH_01769	K00036
HLOLMFMH_01770	K01057
HLOLMFMH_01771	K00873
HLOLMFMH_01772	K00134
HLOLMFMH_01773	K19337
HLOLMFMH_01774	K01895
HLOLMFMH_01775	K01126
HLOLMFMH_01782	K03811
HLOLMFMH_01784	K07305
HLOLMFMH_01785	K09767
HLOLMFMH_01788	K03118
HLOLMFMH_01789	K03117
HLOLMFMH_01791	K01523
HLOLMFMH_01792	K11755
HLOLMFMH_01793	K03688
HLOLMFMH_01795	K03183
HLOLMFMH_01797	K03667
HLOLMFMH_01798	K01419
HLOLMFMH_01799	K16871
HLOLMFMH_01801	K00135
HLOLMFMH_01802	K16871
HLOLMFMH_01804	K00854
HLOLMFMH_01805	K00111
HLOLMFMH_01806	K00803
HLOLMFMH_01808	K01784
HLOLMFMH_01809	K07124
HLOLMFMH_01818	K01737
HLOLMFMH_01821	K00243
HLOLMFMH_01824	K05884
HLOLMFMH_01826	K22187
HLOLMFMH_01827	K01273
HLOLMFMH_01830	K03566
HLOLMFMH_01832	K00140
HLOLMFMH_01833	K13954
HLOLMFMH_01834	K02168
HLOLMFMH_01835	K01796
HLOLMFMH_01838	K00605
HLOLMFMH_01841	K01433
HLOLMFMH_01843	K10215
HLOLMFMH_01844	K01969
HLOLMFMH_01846	K23677
HLOLMFMH_01848	K00249
HLOLMFMH_01854	K14162
HLOLMFMH_01856	K10215
HLOLMFMH_01859	K01902
HLOLMFMH_01861	K02016
HLOLMFMH_01862	K19221
HLOLMFMH_01863	K02015
HLOLMFMH_01864	K02013
HLOLMFMH_01865	K06858
HLOLMFMH_01866	K03320
HLOLMFMH_01869	K08968
HLOLMFMH_01872	K06020
HLOLMFMH_01877	K18893
HLOLMFMH_01878	K06158
HLOLMFMH_01881	K07124
HLOLMFMH_01886	K18622
HLOLMFMH_01888	K18208
HLOLMFMH_01889	K22303
HLOLMFMH_01893	K02434
HLOLMFMH_01894	K02433
HLOLMFMH_01895	K02435
HLOLMFMH_01896	K03569
HLOLMFMH_01897	K03570
HLOLMFMH_01899	K06287
HLOLMFMH_01900	K08301
HLOLMFMH_01902	K11206
HLOLMFMH_01904	K06213
HLOLMFMH_01905	K11189
HLOLMFMH_01906	K06958
HLOLMFMH_01907	K02806
HLOLMFMH_01908	K05808
HLOLMFMH_01909	K03092
HLOLMFMH_01910	K06861
HLOLMFMH_01911	K09774
HLOLMFMH_01913	K03270
HLOLMFMH_01914	K06041
HLOLMFMH_01915	K07301
HLOLMFMH_01918	K00790
HLOLMFMH_01919	K00765
HLOLMFMH_01920	K00013
HLOLMFMH_01921	K00817
HLOLMFMH_01922	K04771
HLOLMFMH_01923	K07574
HLOLMFMH_01924	K02427
HLOLMFMH_01925	K03798
HLOLMFMH_01926	K00796
HLOLMFMH_01927	K03431
HLOLMFMH_01928	K01803
HLOLMFMH_01929	K03075
