EHLPAIKB_00001	K02204
EHLPAIKB_01334	K03522
EHLPAIKB_01335	K00074
EHLPAIKB_01336	K01755
EHLPAIKB_01338	K01586
EHLPAIKB_01339	K09812
EHLPAIKB_01342	K00655
EHLPAIKB_01343	K04517
EHLPAIKB_01344	K00817
EHLPAIKB_01346	K00641
EHLPAIKB_01348	K01069
EHLPAIKB_01349	K00626
EHLPAIKB_01354	K02275
EHLPAIKB_01357	K07552
EHLPAIKB_01358	K01919
EHLPAIKB_01359	K06125
EHLPAIKB_01360	K02527
EHLPAIKB_01361	K00912
EHLPAIKB_01363	K03601
EHLPAIKB_01364	K01945
EHLPAIKB_01365	K11991
EHLPAIKB_01366	K06178
EHLPAIKB_01367	K08316
EHLPAIKB_01370	K01870
EHLPAIKB_01371	K11753
EHLPAIKB_01373	K04078
EHLPAIKB_01374	K04077
EHLPAIKB_01375	K00765
EHLPAIKB_01376	K01892
EHLPAIKB_01377	K01892
EHLPAIKB_01378	K05800
EHLPAIKB_01379	K03639
EHLPAIKB_01380	K01028
EHLPAIKB_01381	K01029
EHLPAIKB_01382	K02011
EHLPAIKB_01384	K07552
EHLPAIKB_01387	K01271
EHLPAIKB_01388	K00101
EHLPAIKB_01389	K03119
EHLPAIKB_01390	K11601
EHLPAIKB_01391	K11603
EHLPAIKB_01392	K11602
EHLPAIKB_01393	K11602
EHLPAIKB_01394	K16043
EHLPAIKB_01398	K01960
EHLPAIKB_01399	K01649
EHLPAIKB_01400	K00053
EHLPAIKB_01401	K03319
EHLPAIKB_01402	K03839
