CAOHCFIM_00002	K13038
CAOHCFIM_01696	K09013
CAOHCFIM_01697	K09015
CAOHCFIM_01698	K11717
CAOHCFIM_01700	K02426
CAOHCFIM_01704	K03665
CAOHCFIM_01705	K11175
CAOHCFIM_01706	K03469
CAOHCFIM_01708	K00764
CAOHCFIM_01709	K04564
CAOHCFIM_01711	K04659
CAOHCFIM_01713	K06889
CAOHCFIM_01729	K01761
CAOHCFIM_01730	K03719
CAOHCFIM_01731	K00382
CAOHCFIM_01732	K03088
CAOHCFIM_01733	K05592
CAOHCFIM_01734	K01665
CAOHCFIM_01735	K04075
CAOHCFIM_01736	K07019
CAOHCFIM_01737	K06287
CAOHCFIM_01738	K03270
CAOHCFIM_01743	K01758
CAOHCFIM_01744	K01463
CAOHCFIM_01749	K05606
CAOHCFIM_01750	K02834
CAOHCFIM_01751	K09808
CAOHCFIM_01753	K00969
CAOHCFIM_01754	K00942
CAOHCFIM_01761	K00262
CAOHCFIM_01765	K16092
CAOHCFIM_01771	K09760
CAOHCFIM_01774	K00548
CAOHCFIM_01775	K00297
CAOHCFIM_01777	K02523
CAOHCFIM_01778	K02316
