DAAHEFCG_00001	K03688
DAAHEFCG_01396	K02416
DAAHEFCG_01397	K02417
DAAHEFCG_01399	K02419
DAAHEFCG_01402	K02401
DAAHEFCG_01406	K04077
DAAHEFCG_01407	K04078
DAAHEFCG_01408	K02259
DAAHEFCG_01409	K01876
DAAHEFCG_01410	K00548
DAAHEFCG_01413	K00261
DAAHEFCG_01416	K18703
DAAHEFCG_01417	K07246
DAAHEFCG_01420	K06911
DAAHEFCG_01421	K02851
DAAHEFCG_01422	K08679
DAAHEFCG_01423	K00963
DAAHEFCG_01425	K00591
DAAHEFCG_01426	K00928
DAAHEFCG_01427	K01840
DAAHEFCG_01428	K01638
DAAHEFCG_01429	K00759
DAAHEFCG_01430	K00571
DAAHEFCG_01431	K00955
DAAHEFCG_01432	K00957
DAAHEFCG_01433	K03470
DAAHEFCG_01434	K03638
DAAHEFCG_01435	K08309
DAAHEFCG_01436	K21929
DAAHEFCG_01437	K00311
DAAHEFCG_01439	K00919
DAAHEFCG_01441	K07668
DAAHEFCG_01442	K14652
DAAHEFCG_01443	K06997
DAAHEFCG_01445	K15581
DAAHEFCG_01446	K12370
DAAHEFCG_01447	K02031
DAAHEFCG_01448	K00315
DAAHEFCG_01451	K22071
DAAHEFCG_01452	K05708
DAAHEFCG_01459	K01951
DAAHEFCG_01460	K00088
DAAHEFCG_01461	K02427
DAAHEFCG_01462	K11755
DAAHEFCG_01463	K03296
DAAHEFCG_01465	K03327
DAAHEFCG_01466	K00982
DAAHEFCG_01469	K06213
DAAHEFCG_01471	K02231
DAAHEFCG_01472	K00768
DAAHEFCG_01473	K02233
DAAHEFCG_01477	K16871
DAAHEFCG_01478	K00059
DAAHEFCG_01479	K00108
DAAHEFCG_01481	K09160
DAAHEFCG_01486	K01243
DAAHEFCG_01489	K11601
DAAHEFCG_01490	K11603
DAAHEFCG_01491	K11602
DAAHEFCG_01492	K11602
DAAHEFCG_01493	K01271
DAAHEFCG_01495	K09970
DAAHEFCG_01496	K09971
DAAHEFCG_01497	K09972
DAAHEFCG_01498	K13574
DAAHEFCG_01500	K12376
DAAHEFCG_01501	K02001
DAAHEFCG_01502	K02000
DAAHEFCG_01506	K10716
DAAHEFCG_01510	K03092
DAAHEFCG_01513	K02556
DAAHEFCG_01514	K02557
DAAHEFCG_01519	K00315
DAAHEFCG_01522	K03274
DAAHEFCG_01524	K05810
DAAHEFCG_01525	K00948
DAAHEFCG_01526	K02897
DAAHEFCG_01527	K01056
DAAHEFCG_01528	K06942
DAAHEFCG_01530	K00413
DAAHEFCG_01531	K00412
DAAHEFCG_01532	K00411
DAAHEFCG_01533	K00228
DAAHEFCG_01534	K00974
DAAHEFCG_01536	K18665
DAAHEFCG_01539	K07090
DAAHEFCG_01542	K02071
DAAHEFCG_01544	K15584
DAAHEFCG_01547	K02806
DAAHEFCG_01548	K06861
DAAHEFCG_01551	K03684
DAAHEFCG_01552	K08323
DAAHEFCG_01553	K01620
DAAHEFCG_01555	K00499
DAAHEFCG_01558	K11071
DAAHEFCG_01559	K02053
DAAHEFCG_01560	K11072
DAAHEFCG_01562	K16871
DAAHEFCG_01564	K00826
DAAHEFCG_01565	K22131
DAAHEFCG_01569	K00315
DAAHEFCG_01573	K00285
DAAHEFCG_01574	K19802
DAAHEFCG_01575	K01652
DAAHEFCG_01578	K13634
DAAHEFCG_01579	K09472
DAAHEFCG_01580	K09024
DAAHEFCG_01581	K00483
DAAHEFCG_01582	K11072
DAAHEFCG_01583	K11071
DAAHEFCG_01584	K11070
DAAHEFCG_01585	K11069
DAAHEFCG_01586	K02433
DAAHEFCG_01588	K11407
DAAHEFCG_01591	K08305
DAAHEFCG_01592	K03642
DAAHEFCG_01593	K07258
DAAHEFCG_01594	K00943
DAAHEFCG_01595	K02341
DAAHEFCG_01596	K01874
DAAHEFCG_01597	K03424
DAAHEFCG_01598	K06167
DAAHEFCG_01601	K02064
DAAHEFCG_01602	K02063
DAAHEFCG_01603	K11072
DAAHEFCG_01604	K01652
DAAHEFCG_01605	K02824
DAAHEFCG_01607	K00954
DAAHEFCG_01608	K02469
DAAHEFCG_01609	K03111
DAAHEFCG_01610	K01889
DAAHEFCG_01611	K02887
DAAHEFCG_01612	K02916
DAAHEFCG_01614	K03526
DAAHEFCG_01615	K01892
DAAHEFCG_01616	K02835
DAAHEFCG_01617	K02493
DAAHEFCG_01620	K01079
DAAHEFCG_01622	K00058
DAAHEFCG_01624	K09805
DAAHEFCG_01625	K00128
DAAHEFCG_01627	K01436
DAAHEFCG_01628	K01271
DAAHEFCG_01631	K01673
DAAHEFCG_01634	K22443
DAAHEFCG_01637	K01438
DAAHEFCG_01638	K01262
DAAHEFCG_01639	K01754
DAAHEFCG_01642	K01897
DAAHEFCG_01644	K10747
DAAHEFCG_01645	K14403
DAAHEFCG_01646	K11209
DAAHEFCG_01647	K03724
DAAHEFCG_01649	K01669
DAAHEFCG_01650	K00574
DAAHEFCG_01651	K00053
DAAHEFCG_01652	K01653
DAAHEFCG_01653	K01652
DAAHEFCG_01654	K00791
DAAHEFCG_01655	K04771
DAAHEFCG_01656	K04087
DAAHEFCG_01657	K04088
DAAHEFCG_01658	K03593
DAAHEFCG_01659	K00287
DAAHEFCG_01660	K00560
DAAHEFCG_01663	K01676
DAAHEFCG_01664	K07304
DAAHEFCG_01665	K00927
DAAHEFCG_01666	K02358
DAAHEFCG_01667	K02946
DAAHEFCG_01668	K02906
DAAHEFCG_01669	K02926
DAAHEFCG_01670	K02892
DAAHEFCG_01671	K02886
DAAHEFCG_01672	K02965
DAAHEFCG_01673	K02890
DAAHEFCG_01674	K02982
DAAHEFCG_01675	K02878
DAAHEFCG_01676	K02904
DAAHEFCG_01677	K02961
DAAHEFCG_01678	K02874
DAAHEFCG_01679	K02895
DAAHEFCG_01680	K02931
DAAHEFCG_01681	K02954
DAAHEFCG_01682	K02994
DAAHEFCG_01683	K02933
DAAHEFCG_01684	K02881
DAAHEFCG_01685	K02988
DAAHEFCG_01686	K02907
DAAHEFCG_01687	K02876
DAAHEFCG_01688	K03076
DAAHEFCG_01689	K00939
DAAHEFCG_01690	K02952
DAAHEFCG_01691	K02948
DAAHEFCG_01692	K03040
DAAHEFCG_01693	K02879
DAAHEFCG_01694	K07478
DAAHEFCG_01696	K06199
DAAHEFCG_01697	K06180
DAAHEFCG_01698	K07556
DAAHEFCG_01699	K01966
DAAHEFCG_01700	K01965
DAAHEFCG_01702	K03801
DAAHEFCG_01709	K08281
DAAHEFCG_01710	K00529
DAAHEFCG_01711	K09470
DAAHEFCG_01712	K09471
DAAHEFCG_01713	K06895
DAAHEFCG_01714	K02032
DAAHEFCG_01715	K12370
DAAHEFCG_01716	K13890
DAAHEFCG_01721	K14677
DAAHEFCG_01723	K00547
DAAHEFCG_01726	K01560
DAAHEFCG_01729	K06207
DAAHEFCG_01730	K13954
DAAHEFCG_01731	K03215
DAAHEFCG_01734	K08071
DAAHEFCG_01737	K00605
DAAHEFCG_01739	K03306
DAAHEFCG_01740	K07766
DAAHEFCG_01742	K02036
DAAHEFCG_01743	K02038
DAAHEFCG_01744	K02037
DAAHEFCG_01745	K02040
DAAHEFCG_01746	K07657
DAAHEFCG_01747	K07636
DAAHEFCG_01748	K04079
DAAHEFCG_01750	K02520
DAAHEFCG_01751	K01868
DAAHEFCG_01753	K13702
DAAHEFCG_01754	K00799
DAAHEFCG_01756	K00265
DAAHEFCG_01757	K00266
DAAHEFCG_01758	K06153
DAAHEFCG_01759	K03953
DAAHEFCG_01761	K18979
DAAHEFCG_01762	K01004
DAAHEFCG_01763	K02028
DAAHEFCG_01764	K10016
DAAHEFCG_01765	K02029
DAAHEFCG_01767	K17509
DAAHEFCG_01769	K13010
DAAHEFCG_01770	K00101
DAAHEFCG_01773	K07126
DAAHEFCG_01779	K11811
DAAHEFCG_01780	K13636
DAAHEFCG_01782	K05708
DAAHEFCG_01784	K01998
DAAHEFCG_01785	K01997
DAAHEFCG_01786	K01996
DAAHEFCG_01788	K01995
DAAHEFCG_01789	K09020
DAAHEFCG_01792	K01915
DAAHEFCG_01793	K00179
DAAHEFCG_01794	K03719
DAAHEFCG_01795	K03654
DAAHEFCG_01799	K13889
DAAHEFCG_01800	K02033
DAAHEFCG_01801	K02034
DAAHEFCG_01802	K02032
DAAHEFCG_01803	K02433
DAAHEFCG_01804	K02433
DAAHEFCG_01806	K11069
DAAHEFCG_01807	K01426
DAAHEFCG_01809	K11072
DAAHEFCG_01810	K11071
DAAHEFCG_01811	K11070
DAAHEFCG_01813	K01996
DAAHEFCG_01814	K06861
DAAHEFCG_01815	K01998
DAAHEFCG_01816	K01997
DAAHEFCG_01817	K01999
DAAHEFCG_01819	K01712
DAAHEFCG_01820	K01745
DAAHEFCG_01821	K01468
DAAHEFCG_01826	K03719
DAAHEFCG_01827	K13821
DAAHEFCG_01828	K06929
DAAHEFCG_01829	K02639
DAAHEFCG_01830	K17285
DAAHEFCG_01831	K09768
DAAHEFCG_01833	K04042
DAAHEFCG_01834	K03272
DAAHEFCG_01835	K17938
DAAHEFCG_01836	K03092
DAAHEFCG_01837	K05837
DAAHEFCG_01838	K05515
DAAHEFCG_01841	K03569
DAAHEFCG_01842	K02358
DAAHEFCG_01845	K03763
DAAHEFCG_01846	K00104
DAAHEFCG_01847	K11069
DAAHEFCG_01848	K11072
DAAHEFCG_01850	K01480
DAAHEFCG_01853	K02888
DAAHEFCG_01854	K02899
DAAHEFCG_01855	K03979
DAAHEFCG_01856	K00931
DAAHEFCG_01857	K02012
DAAHEFCG_01858	K09705
DAAHEFCG_01861	K01908
DAAHEFCG_01865	K00108
DAAHEFCG_01866	K03701
DAAHEFCG_01867	K04094
DAAHEFCG_01874	K02387
DAAHEFCG_01876	K07659
DAAHEFCG_01877	K07638
DAAHEFCG_01878	K06878
DAAHEFCG_01880	K00286
DAAHEFCG_01882	K13292
DAAHEFCG_01883	K00477
DAAHEFCG_01884	K05499
DAAHEFCG_01888	K21393
DAAHEFCG_01889	K00013
DAAHEFCG_01890	K00059
DAAHEFCG_01891	K00008
DAAHEFCG_01895	K02575
DAAHEFCG_01896	K00374
DAAHEFCG_01898	K07149
DAAHEFCG_01899	K06158
DAAHEFCG_01901	K02193
DAAHEFCG_01902	K01681
