HPLBOGDP_00001	K02909
HPLBOGDP_01688	K01715
HPLBOGDP_01689	K00128
HPLBOGDP_01692	K00963
HPLBOGDP_01693	K00971
HPLBOGDP_01694	K02617
HPLBOGDP_01695	K07101
HPLBOGDP_01696	K07101
HPLBOGDP_01697	K01480
HPLBOGDP_01698	K09471
HPLBOGDP_01699	K02390
HPLBOGDP_01700	K02391
HPLBOGDP_01701	K02392
HPLBOGDP_01702	K02393
HPLBOGDP_01705	K01436
HPLBOGDP_01707	K03296
HPLBOGDP_01708	K03929
HPLBOGDP_01716	K11527
HPLBOGDP_01719	K01692
HPLBOGDP_01720	K00059
HPLBOGDP_01723	K01130
HPLBOGDP_01724	K02039
HPLBOGDP_01725	K02036
HPLBOGDP_01726	K02038
HPLBOGDP_01727	K02037
HPLBOGDP_01728	K02040
HPLBOGDP_01733	K18204
HPLBOGDP_01735	K01897
HPLBOGDP_01737	K03449
HPLBOGDP_01739	K08289
HPLBOGDP_01740	K00059
HPLBOGDP_01741	K00121
HPLBOGDP_01743	K10407
HPLBOGDP_01745	K04043
HPLBOGDP_01747	K01175
HPLBOGDP_01748	K03296
HPLBOGDP_01751	K00906
HPLBOGDP_01753	K00806
HPLBOGDP_01754	K18967
HPLBOGDP_01759	K11414
HPLBOGDP_01763	K11527
HPLBOGDP_01765	K03327
HPLBOGDP_01768	K06147
HPLBOGDP_01769	K18889
HPLBOGDP_01773	K07018
HPLBOGDP_01774	K15866
HPLBOGDP_01778	K08225
HPLBOGDP_01780	K00097
HPLBOGDP_01782	K12507
HPLBOGDP_01784	K00059
HPLBOGDP_01786	K01903
HPLBOGDP_01787	K01902
HPLBOGDP_01788	K04079
HPLBOGDP_01792	K01495
HPLBOGDP_01793	K03773
HPLBOGDP_01794	K00020
HPLBOGDP_01795	K00465
HPLBOGDP_01798	K00354
HPLBOGDP_01800	K01662
HPLBOGDP_01801	K14652
HPLBOGDP_01805	K22820
HPLBOGDP_01807	K09838
HPLBOGDP_01812	K06183
HPLBOGDP_01815	K00615
HPLBOGDP_01816	K00789
HPLBOGDP_01818	K09780
HPLBOGDP_01819	K06190
HPLBOGDP_01821	K01867
HPLBOGDP_01822	K05896
HPLBOGDP_01823	K06024
HPLBOGDP_01824	K06178
HPLBOGDP_01826	K00568
HPLBOGDP_01827	K12960
HPLBOGDP_01828	K13985
HPLBOGDP_01829	K01692
HPLBOGDP_01832	K02396
HPLBOGDP_01833	K02397
HPLBOGDP_01834	K05708
HPLBOGDP_01835	K03372
HPLBOGDP_01836	K01299
HPLBOGDP_01841	K00249
HPLBOGDP_01843	K03530
HPLBOGDP_01844	K01338
HPLBOGDP_01845	K03544
HPLBOGDP_01846	K01358
HPLBOGDP_01847	K03545
HPLBOGDP_01849	K22819
HPLBOGDP_01851	K05592
HPLBOGDP_01852	K16046
HPLBOGDP_01855	K11163
HPLBOGDP_01856	K01062
HPLBOGDP_01870	K00681
HPLBOGDP_01876	K00499
HPLBOGDP_01884	K03307
HPLBOGDP_01885	K00262
HPLBOGDP_01891	K02433
HPLBOGDP_01893	K12733
HPLBOGDP_01895	K00059
HPLBOGDP_01898	K00873
HPLBOGDP_01899	K02346
HPLBOGDP_01904	K12410
HPLBOGDP_01907	K02652
HPLBOGDP_01908	K02653
HPLBOGDP_01909	K02654
HPLBOGDP_01910	K00859
HPLBOGDP_01911	K09862
HPLBOGDP_01912	K00620
HPLBOGDP_01913	K03070
HPLBOGDP_01916	K02535
HPLBOGDP_01917	K03531
HPLBOGDP_01918	K03590
HPLBOGDP_01919	K03589
HPLBOGDP_01928	K01714
HPLBOGDP_01929	K03548
HPLBOGDP_01931	K01423
HPLBOGDP_01932	K03517
HPLBOGDP_01939	K03695
HPLBOGDP_01940	K04760
HPLBOGDP_01941	K00817
HPLBOGDP_01943	K10805
HPLBOGDP_01944	K02238
HPLBOGDP_01947	K02003
HPLBOGDP_01948	K09808
HPLBOGDP_01951	K03734
HPLBOGDP_01953	K05396
HPLBOGDP_01955	K01042
HPLBOGDP_01957	K01652
HPLBOGDP_01958	K04761
HPLBOGDP_01959	K00477
HPLBOGDP_01962	K01966
HPLBOGDP_01968	K07137
HPLBOGDP_01971	K07511
HPLBOGDP_01972	K00259
HPLBOGDP_01973	K03719
HPLBOGDP_01976	K00591
HPLBOGDP_01985	K01885
HPLBOGDP_01986	K03641
HPLBOGDP_01987	K03640
HPLBOGDP_01989	K10026
HPLBOGDP_01990	K06920
HPLBOGDP_01994	K14058
HPLBOGDP_01997	K04085
HPLBOGDP_01999	K09906
HPLBOGDP_02006	K05607
HPLBOGDP_02007	K03929
HPLBOGDP_02009	K00666
HPLBOGDP_02011	K01634
HPLBOGDP_02012	K00059
HPLBOGDP_02015	K01924
HPLBOGDP_02016	K03588
HPLBOGDP_02017	K01925
HPLBOGDP_02018	K01928
HPLBOGDP_02019	K03587
HPLBOGDP_02020	K01104
HPLBOGDP_02026	K04659
HPLBOGDP_02027	K02453
HPLBOGDP_02028	K00631
HPLBOGDP_02029	K15984
HPLBOGDP_02030	K14742
HPLBOGDP_02031	K03722
HPLBOGDP_02032	K03752
HPLBOGDP_02034	K00939
HPLBOGDP_02035	K00951
HPLBOGDP_02036	K03215
HPLBOGDP_02037	K12339
HPLBOGDP_02039	K00997
HPLBOGDP_02040	K03584
HPLBOGDP_02041	K03595
HPLBOGDP_02042	K03685
HPLBOGDP_02044	K03100
HPLBOGDP_02045	K03596
HPLBOGDP_02046	K04771
HPLBOGDP_02050	K03088
HPLBOGDP_02051	K00278
HPLBOGDP_02054	K06980
HPLBOGDP_02055	K03648
HPLBOGDP_02056	K04567
HPLBOGDP_02057	K02836
HPLBOGDP_02058	K07462
HPLBOGDP_02059	K00003
HPLBOGDP_02060	K14261
HPLBOGDP_02061	K03981
HPLBOGDP_02062	K04763
HPLBOGDP_02063	K23677
HPLBOGDP_02065	K02884
HPLBOGDP_02066	K00554
HPLBOGDP_02067	K02860
HPLBOGDP_02068	K02959
HPLBOGDP_02069	K03106
HPLBOGDP_02073	K01649
HPLBOGDP_02075	K17879
HPLBOGDP_02077	K01952
HPLBOGDP_02078	K08968
HPLBOGDP_02079	K11991
HPLBOGDP_02083	K00120
HPLBOGDP_02084	K22027
HPLBOGDP_02085	K20455
HPLBOGDP_02086	K09788
HPLBOGDP_02087	K01563
HPLBOGDP_02088	K22443
HPLBOGDP_02090	K03119
HPLBOGDP_02091	K22303
HPLBOGDP_02097	K07787
HPLBOGDP_02098	K07798
HPLBOGDP_02107	K05801
HPLBOGDP_02108	K01840
HPLBOGDP_02109	K04773
HPLBOGDP_02116	K00799
HPLBOGDP_02119	K03592
HPLBOGDP_02120	K03568
HPLBOGDP_02122	K00059
HPLBOGDP_02131	K22443
HPLBOGDP_02133	K00359
HPLBOGDP_02136	K01703
HPLBOGDP_02137	K01704
HPLBOGDP_02138	K01649
HPLBOGDP_02139	K00965
HPLBOGDP_02141	K08963
HPLBOGDP_02144	K18702
HPLBOGDP_02145	K01715
HPLBOGDP_02147	K06147
HPLBOGDP_02149	K00018
HPLBOGDP_02150	K12733
HPLBOGDP_02151	K01647
HPLBOGDP_02153	K00242
HPLBOGDP_02154	K00239
HPLBOGDP_02155	K00240
HPLBOGDP_02156	K00164
HPLBOGDP_02157	K00658
HPLBOGDP_02158	K00382
HPLBOGDP_02162	K04084
HPLBOGDP_02165	K05523
HPLBOGDP_02169	K01960
HPLBOGDP_02170	K20509
HPLBOGDP_02171	K00128
HPLBOGDP_02173	K15866
HPLBOGDP_02174	K00824
HPLBOGDP_02177	K07001
HPLBOGDP_02184	K02071
HPLBOGDP_02187	K03833
HPLBOGDP_02188	K01042
HPLBOGDP_02190	K00794
HPLBOGDP_02192	K11209
HPLBOGDP_02194	K07090
HPLBOGDP_02195	K17725
HPLBOGDP_02196	K01247
HPLBOGDP_02200	K03640
HPLBOGDP_02203	K03296
HPLBOGDP_02204	K03296
HPLBOGDP_02206	K01652
HPLBOGDP_02210	K04659
HPLBOGDP_02211	K15724
HPLBOGDP_02212	K19304
HPLBOGDP_02213	K01866
HPLBOGDP_02216	K04659
HPLBOGDP_02218	K03553
HPLBOGDP_02220	K03555
HPLBOGDP_02222	K05524
HPLBOGDP_02223	K12943
HPLBOGDP_02224	K08974
HPLBOGDP_02225	K00573
HPLBOGDP_02226	K06176
HPLBOGDP_02227	K01770
HPLBOGDP_02228	K00991
HPLBOGDP_02230	K01689
HPLBOGDP_02231	K01627
HPLBOGDP_02232	K01937
HPLBOGDP_02233	K04075
HPLBOGDP_02234	K02337
HPLBOGDP_02236	K00681
HPLBOGDP_02239	K04017
HPLBOGDP_02240	K02199
HPLBOGDP_02241	K02198
HPLBOGDP_02242	K02197
HPLBOGDP_02244	K02195
HPLBOGDP_02245	K02194
HPLBOGDP_02246	K02193
HPLBOGDP_02252	K00344
HPLBOGDP_02253	K07648
HPLBOGDP_02254	K03292
HPLBOGDP_02258	K07710
HPLBOGDP_02262	K07305
HPLBOGDP_02263	K03305
HPLBOGDP_02264	K12663
HPLBOGDP_02265	K01262
HPLBOGDP_02266	K01897
HPLBOGDP_02267	K01893
HPLBOGDP_02270	K03470
HPLBOGDP_02271	K00748
HPLBOGDP_02272	K02372
HPLBOGDP_02273	K02536
HPLBOGDP_02275	K07277
HPLBOGDP_02276	K11749
HPLBOGDP_02277	K00099
HPLBOGDP_02278	K00981
HPLBOGDP_02279	K02838
HPLBOGDP_02280	K09903
HPLBOGDP_02281	K02357
HPLBOGDP_02282	K02967
HPLBOGDP_02283	K01265
HPLBOGDP_02284	K00990
HPLBOGDP_02285	K14267
HPLBOGDP_02286	K00674
HPLBOGDP_02287	K01439
HPLBOGDP_02291	K06190
HPLBOGDP_02292	K09780
HPLBOGDP_02294	K00059
HPLBOGDP_02295	K15016
HPLBOGDP_02296	K07406
HPLBOGDP_02302	K00059
HPLBOGDP_02304	K00059
HPLBOGDP_02305	K04659
HPLBOGDP_02306	K03734
HPLBOGDP_02309	K02199
HPLBOGDP_02311	K00059
HPLBOGDP_02313	K20497
HPLBOGDP_02314	K16066
HPLBOGDP_02316	K03575
HPLBOGDP_02318	K00528
HPLBOGDP_02324	K09696
HPLBOGDP_02325	K09697
HPLBOGDP_02327	K18702
HPLBOGDP_02333	K01724
HPLBOGDP_02335	K03386
HPLBOGDP_02339	K01693
HPLBOGDP_02340	K01814
HPLBOGDP_02341	K03797
HPLBOGDP_02342	K06194
HPLBOGDP_02343	K15633
HPLBOGDP_02345	K03676
HPLBOGDP_02346	K03071
HPLBOGDP_02347	K03216
HPLBOGDP_02348	K07712
HPLBOGDP_02349	K07708
HPLBOGDP_02351	K01915
HPLBOGDP_02352	K06207
HPLBOGDP_02353	K01259
HPLBOGDP_02354	K07560
HPLBOGDP_02355	K03118
HPLBOGDP_02358	K01523
HPLBOGDP_02359	K01496
HPLBOGDP_02360	K03688
HPLBOGDP_02361	K03183
HPLBOGDP_02363	K03667
HPLBOGDP_02364	K01419
HPLBOGDP_02366	K03806
HPLBOGDP_02370	K00163
HPLBOGDP_02371	K00627
HPLBOGDP_02372	K00798
HPLBOGDP_02373	K09767
HPLBOGDP_02374	K08218
HPLBOGDP_02375	K07443
HPLBOGDP_02376	K04078
HPLBOGDP_02377	K04077
HPLBOGDP_02384	K14445
HPLBOGDP_02385	K01141
HPLBOGDP_02386	K01267
HPLBOGDP_02387	K01740
HPLBOGDP_02388	K01923
HPLBOGDP_02389	K07304
HPLBOGDP_02390	K14155
HPLBOGDP_02391	K08299
HPLBOGDP_02393	K03638
HPLBOGDP_02394	K03750
HPLBOGDP_02400	K03576
HPLBOGDP_02404	K03119
HPLBOGDP_02409	K03320
HPLBOGDP_02411	K00065
HPLBOGDP_02412	K09966
HPLBOGDP_02414	K05592
HPLBOGDP_02416	K00145
HPLBOGDP_02419	K06128
HPLBOGDP_02420	K01796
HPLBOGDP_02421	K01908
HPLBOGDP_02422	K16066
HPLBOGDP_02427	K01881
HPLBOGDP_02430	K01876
HPLBOGDP_02432	K01159
HPLBOGDP_02433	K03550
HPLBOGDP_02434	K03551
HPLBOGDP_02435	K03562
HPLBOGDP_02436	K03560
HPLBOGDP_02444	K06147
HPLBOGDP_02447	K03451
HPLBOGDP_02450	K01740
HPLBOGDP_02451	K00547
HPLBOGDP_02459	K00252
HPLBOGDP_02460	K07689
HPLBOGDP_02461	K21929
HPLBOGDP_02462	K02477
HPLBOGDP_02463	K07718
HPLBOGDP_02465	K00838
HPLBOGDP_02471	K01271
HPLBOGDP_02478	K02469
HPLBOGDP_02479	K14170
HPLBOGDP_02480	K00817
HPLBOGDP_02481	K04517
HPLBOGDP_02482	K16871
HPLBOGDP_02483	K03929
HPLBOGDP_02487	K15977
HPLBOGDP_02488	K15738
HPLBOGDP_02489	K00799
HPLBOGDP_02493	K14274
HPLBOGDP_02495	K02424
HPLBOGDP_02496	K01715
HPLBOGDP_02499	K01126
HPLBOGDP_02500	K02343
HPLBOGDP_02501	K09747
HPLBOGDP_02502	K06187
HPLBOGDP_02503	K03684
HPLBOGDP_02505	K09160
HPLBOGDP_02509	K03578
HPLBOGDP_02510	K00525
HPLBOGDP_02512	K00560
HPLBOGDP_02514	K03580
HPLBOGDP_02516	K00529
HPLBOGDP_02517	K22071
HPLBOGDP_02518	K15981
HPLBOGDP_02519	K01426
HPLBOGDP_02520	K00153
HPLBOGDP_02521	K04022
HPLBOGDP_02522	K00540
HPLBOGDP_02528	K00059
HPLBOGDP_02530	K07178
HPLBOGDP_02531	K03742
HPLBOGDP_02533	K03594
HPLBOGDP_02536	K03100
HPLBOGDP_02539	K03773
HPLBOGDP_02540	K03797
HPLBOGDP_02541	K17231
HPLBOGDP_02542	K01113
HPLBOGDP_02546	K18677
HPLBOGDP_02548	K03925
HPLBOGDP_02549	K03438
HPLBOGDP_02551	K14393
HPLBOGDP_02556	K09760
HPLBOGDP_02557	K19005
HPLBOGDP_02563	K01081
HPLBOGDP_02566	K18703
HPLBOGDP_02567	K03583
HPLBOGDP_02568	K03582
HPLBOGDP_02569	K03581
HPLBOGDP_02574	K09470
HPLBOGDP_02577	K20497
HPLBOGDP_02578	K01354
HPLBOGDP_02579	K07303
HPLBOGDP_02580	K03518
HPLBOGDP_02581	K00059
HPLBOGDP_02582	K00059
HPLBOGDP_02583	K00117
HPLBOGDP_02588	K23138
HPLBOGDP_02590	K02523
HPLBOGDP_02591	K02888
HPLBOGDP_02592	K02899
HPLBOGDP_02593	K03979
HPLBOGDP_02594	K00931
HPLBOGDP_02595	K02968
HPLBOGDP_02596	K03980
HPLBOGDP_02597	K11753
HPLBOGDP_02598	K03101
HPLBOGDP_02599	K03774
HPLBOGDP_02600	K03527
HPLBOGDP_02611	K07387
HPLBOGDP_02616	K01907
HPLBOGDP_02617	K16089
HPLBOGDP_02621	K03269
HPLBOGDP_02623	K01682
HPLBOGDP_02626	K03924
HPLBOGDP_02627	K00764
HPLBOGDP_02628	K03558
HPLBOGDP_02630	K11754
HPLBOGDP_02631	K01695
HPLBOGDP_02632	K01696
HPLBOGDP_02633	K01817
HPLBOGDP_02634	K06173
HPLBOGDP_02636	K00133
HPLBOGDP_02637	K01736
HPLBOGDP_02638	K01495
HPLBOGDP_02641	K04079
HPLBOGDP_02642	K02519
HPLBOGDP_02643	K02600
HPLBOGDP_02644	K09748
HPLBOGDP_02648	K01803
HPLBOGDP_02649	K04042
HPLBOGDP_02653	K00681
HPLBOGDP_02657	K15726
HPLBOGDP_02658	K00282
HPLBOGDP_02659	K02437
HPLBOGDP_02660	K00605
HPLBOGDP_02661	K06126
HPLBOGDP_02670	K12405
HPLBOGDP_02671	K00626
HPLBOGDP_02673	K00567
HPLBOGDP_02677	K07006
HPLBOGDP_02683	K07568
HPLBOGDP_02685	K00773
HPLBOGDP_02686	K03210
HPLBOGDP_02687	K03072
HPLBOGDP_02688	K03074
HPLBOGDP_02689	K01092
HPLBOGDP_02690	K15396
HPLBOGDP_02692	K13643
HPLBOGDP_02693	K04487
HPLBOGDP_02694	K04488
HPLBOGDP_02695	K13628
HPLBOGDP_02696	K04082
HPLBOGDP_02697	K04044
HPLBOGDP_02698	K04755
HPLBOGDP_02700	K00940
HPLBOGDP_02701	K06941
HPLBOGDP_02703	K15539
HPLBOGDP_02704	K03526
HPLBOGDP_02705	K01892
HPLBOGDP_02707	K17713
HPLBOGDP_02708	K03977
HPLBOGDP_02710	K03601
HPLBOGDP_02711	K11407
HPLBOGDP_02714	K03119
HPLBOGDP_02715	K00001
HPLBOGDP_02717	K03218
HPLBOGDP_02718	K00432
HPLBOGDP_02732	K02167
HPLBOGDP_02735	K00605
HPLBOGDP_02736	K22443
HPLBOGDP_02740	K03292
HPLBOGDP_02746	K12663
HPLBOGDP_02749	K00059
HPLBOGDP_02754	K00948
HPLBOGDP_02755	K02897
HPLBOGDP_02756	K01056
HPLBOGDP_02757	K06942
HPLBOGDP_02761	K03654
HPLBOGDP_02762	K03292
HPLBOGDP_02764	K09912
HPLBOGDP_02775	K01424
HPLBOGDP_02777	K01138
HPLBOGDP_02778	K00540
HPLBOGDP_02781	K02358
HPLBOGDP_02783	K03073
HPLBOGDP_02784	K02601
HPLBOGDP_02785	K02867
HPLBOGDP_02786	K02863
HPLBOGDP_02787	K02864
HPLBOGDP_02788	K02935
HPLBOGDP_02789	K03043
HPLBOGDP_02790	K03046
HPLBOGDP_02791	K02950
HPLBOGDP_02792	K02992
HPLBOGDP_02793	K02355
HPLBOGDP_02796	K03281
HPLBOGDP_02797	K01845
HPLBOGDP_02799	K02013
HPLBOGDP_02800	K02015
HPLBOGDP_02801	K06206
HPLBOGDP_02802	K00812
HPLBOGDP_02803	K06204
HPLBOGDP_02804	K01885
HPLBOGDP_02805	K00970
HPLBOGDP_02806	K01895
HPLBOGDP_02807	K00962
HPLBOGDP_02808	K01915
HPLBOGDP_02809	K22314
HPLBOGDP_02811	K03703
HPLBOGDP_02812	K00995
HPLBOGDP_02827	K02294
HPLBOGDP_02830	K11928
HPLBOGDP_02831	K17285
HPLBOGDP_02833	K00106
HPLBOGDP_02834	K07303
HPLBOGDP_02835	K00359
HPLBOGDP_02836	K03687
HPLBOGDP_02837	K03705
HPLBOGDP_02838	K03631
HPLBOGDP_02839	K00626
HPLBOGDP_02840	K06966
HPLBOGDP_02842	K00104
HPLBOGDP_02843	K11472
HPLBOGDP_02844	K11473
HPLBOGDP_02846	K00611
HPLBOGDP_02852	K13049
HPLBOGDP_02853	K03292
HPLBOGDP_02855	K00851
HPLBOGDP_02856	K00666
HPLBOGDP_02857	K01426
HPLBOGDP_02859	K20497
HPLBOGDP_02862	K15981
HPLBOGDP_02866	K05595
HPLBOGDP_02871	K18703
HPLBOGDP_02877	K14389
HPLBOGDP_02878	K22441
HPLBOGDP_02879	K23677
HPLBOGDP_02880	K02004
HPLBOGDP_02881	K02003
HPLBOGDP_02882	K10804
HPLBOGDP_02883	K07043
HPLBOGDP_02884	K05527
HPLBOGDP_02885	K01768
HPLBOGDP_02893	K05807
HPLBOGDP_02894	K06180
HPLBOGDP_02895	K05810
HPLBOGDP_02897	K01652
HPLBOGDP_02898	K01653
HPLBOGDP_02899	K17103
HPLBOGDP_02900	K07147
HPLBOGDP_02901	K17247
HPLBOGDP_02905	K09941
HPLBOGDP_02909	K02108
HPLBOGDP_02911	K03497
HPLBOGDP_02912	K03496
HPLBOGDP_02913	K03501
HPLBOGDP_02914	K03495
HPLBOGDP_02915	K03650
HPLBOGDP_02916	K03217
HPLBOGDP_02917	K08998
HPLBOGDP_02919	K02313
HPLBOGDP_02920	K02338
HPLBOGDP_02921	K02338
HPLBOGDP_02922	K03629
HPLBOGDP_02923	K02470
HPLBOGDP_02924	K01879
HPLBOGDP_02925	K01878
HPLBOGDP_02926	K02517
HPLBOGDP_02928	K03498
HPLBOGDP_02929	K03499
HPLBOGDP_02930	K03500
HPLBOGDP_02931	K00604
HPLBOGDP_02932	K01462
HPLBOGDP_02934	K04096
HPLBOGDP_02935	K01588
HPLBOGDP_02936	K07566
HPLBOGDP_02937	K00014
HPLBOGDP_02938	K01414
HPLBOGDP_02940	K02275
HPLBOGDP_02941	K02274
HPLBOGDP_02942	K02258
HPLBOGDP_02943	K02276
HPLBOGDP_02947	K02257
HPLBOGDP_02948	K07152
HPLBOGDP_02949	K02204
HPLBOGDP_02951	K02335
HPLBOGDP_02955	K12234
HPLBOGDP_02956	K11212
HPLBOGDP_02957	K14941
HPLBOGDP_02958	K11779
HPLBOGDP_02961	K11731
HPLBOGDP_02967	K00249
HPLBOGDP_02970	K01358
HPLBOGDP_02975	K00382
HPLBOGDP_02976	K01810
HPLBOGDP_02982	K01593
HPLBOGDP_02984	K07515
HPLBOGDP_02985	K03787
HPLBOGDP_02990	K02653
HPLBOGDP_02991	K02652
HPLBOGDP_02993	K00666
HPLBOGDP_02995	K01596
HPLBOGDP_02996	K00626
HPLBOGDP_02997	K03294
HPLBOGDP_03005	K08680
HPLBOGDP_03007	K06872
HPLBOGDP_03008	K03744
HPLBOGDP_03009	K01934
HPLBOGDP_03010	K01462
HPLBOGDP_03011	K01807
HPLBOGDP_03012	K01624
HPLBOGDP_03013	K00927
