EHJIHHIA_00001	K01874
EHJIHHIA_02011	K12573
EHJIHHIA_02014	K01262
EHJIHHIA_02020	K01126
EHJIHHIA_02024	K00384
EHJIHHIA_02026	K02517
EHJIHHIA_02027	K07478
EHJIHHIA_02034	K02341
EHJIHHIA_02036	K07056
EHJIHHIA_02037	K04485
EHJIHHIA_02038	K00946
EHJIHHIA_02041	K02356
EHJIHHIA_02042	K00605
EHJIHHIA_02043	K00262
EHJIHHIA_02049	K02335
EHJIHHIA_02050	K11749
EHJIHHIA_02052	K02618
EHJIHHIA_02055	K03320
EHJIHHIA_02056	K03665
EHJIHHIA_02059	K03596
EHJIHHIA_02062	K01803
EHJIHHIA_02065	K06942
EHJIHHIA_02066	K01302
EHJIHHIA_02067	K02337
EHJIHHIA_02068	K02346
EHJIHHIA_02069	K03744
EHJIHHIA_02070	K00075
EHJIHHIA_02071	K03797
EHJIHHIA_02075	K00950
