NDDHILDE_00001	K21029
NDDHILDE_01646	K02503
NDDHILDE_01651	K10773
NDDHILDE_01653	K05799
NDDHILDE_01658	K01687
NDDHILDE_01659	K00793
NDDHILDE_01662	K07266
NDDHILDE_01663	K11752
NDDHILDE_01664	K07738
NDDHILDE_01665	K03086
NDDHILDE_01666	K00034
NDDHILDE_01667	K07301
NDDHILDE_01669	K04773
NDDHILDE_01670	K01992
NDDHILDE_01671	K01990
NDDHILDE_01672	K02034
NDDHILDE_01673	K10112
NDDHILDE_01679	K00290
NDDHILDE_01683	K09701
NDDHILDE_01684	K00574
NDDHILDE_01685	K03088
NDDHILDE_01687	K09760
NDDHILDE_01688	K03572
NDDHILDE_01690	K17732
NDDHILDE_01691	K03101
NDDHILDE_01692	K00602
NDDHILDE_01694	K03500
NDDHILDE_01696	K00215
NDDHILDE_01697	K03704
NDDHILDE_01698	K01885
NDDHILDE_01699	K01916
NDDHILDE_01704	K00008
NDDHILDE_01705	K00046
NDDHILDE_01706	K00020
NDDHILDE_01708	K15919
NDDHILDE_01712	K02529
NDDHILDE_01714	K10441
NDDHILDE_01715	K10440
NDDHILDE_01716	K17213
NDDHILDE_01717	K01223
NDDHILDE_01718	K10112
NDDHILDE_01719	K01187
NDDHILDE_01720	K10234
NDDHILDE_01721	K10233
NDDHILDE_01722	K10232
NDDHILDE_01723	K02529
NDDHILDE_01725	K04091
NDDHILDE_01728	K01810
NDDHILDE_01729	K01057
NDDHILDE_01730	K00036
NDDHILDE_01733	K03704
NDDHILDE_01734	K03465
NDDHILDE_01735	K01759
NDDHILDE_01740	K00812
NDDHILDE_01742	K03327
NDDHILDE_01743	K02622
NDDHILDE_01745	K05884
NDDHILDE_01746	K09810
NDDHILDE_01747	K09808
NDDHILDE_01748	K01881
NDDHILDE_01749	K00571
NDDHILDE_01750	K00496
NDDHILDE_01751	K03575
NDDHILDE_01754	K00912
NDDHILDE_01756	K01092
NDDHILDE_01757	K03592
NDDHILDE_01761	K01902
NDDHILDE_01764	K00108
NDDHILDE_01766	K10010
NDDHILDE_01771	K00315
NDDHILDE_01772	K00315
NDDHILDE_01773	K09841
NDDHILDE_01776	K00651
NDDHILDE_01783	K01951
NDDHILDE_01787	K03644
NDDHILDE_01789	K00760
NDDHILDE_01790	K18588
NDDHILDE_01791	K03320
NDDHILDE_01792	K03743
NDDHILDE_01793	K01095
NDDHILDE_01794	K01770
NDDHILDE_01795	K05540
NDDHILDE_01796	K07708
NDDHILDE_01797	K07712
NDDHILDE_01799	K13599
NDDHILDE_01800	K03499
NDDHILDE_01802	K03666
NDDHILDE_01803	K03665
NDDHILDE_01804	K01434
NDDHILDE_01806	K01698
NDDHILDE_01808	K03723
NDDHILDE_01810	K01895
NDDHILDE_01812	K09874
NDDHILDE_01813	K13893
NDDHILDE_01814	K06895
NDDHILDE_01816	K16329
NDDHILDE_01817	K16328
NDDHILDE_01818	K03704
NDDHILDE_01819	K07407
NDDHILDE_01821	K00790
NDDHILDE_01823	K00013
NDDHILDE_01826	K02902
NDDHILDE_01828	K03596
NDDHILDE_01829	K13703
NDDHILDE_01831	K00600
NDDHILDE_01832	K00858
NDDHILDE_01834	K01908
NDDHILDE_01836	K01489
NDDHILDE_01837	K00758
NDDHILDE_01838	K01839
NDDHILDE_01839	K01488
NDDHILDE_01840	K00761
NDDHILDE_01842	K16299
NDDHILDE_01845	K05366
NDDHILDE_01846	K00813
NDDHILDE_01847	K01011
NDDHILDE_01848	K03664
NDDHILDE_01849	K01714
NDDHILDE_01850	K08309
NDDHILDE_01852	K15461
NDDHILDE_01853	K03153
NDDHILDE_01857	K19221
NDDHILDE_01859	K02032
NDDHILDE_01860	K02031
NDDHILDE_01861	K02034
NDDHILDE_01862	K02033
NDDHILDE_01864	K01613
NDDHILDE_01866	K03760
NDDHILDE_01867	K17103
NDDHILDE_01868	K00261
NDDHILDE_01870	K00042
NDDHILDE_01871	K18979
NDDHILDE_01872	K06911
NDDHILDE_01875	K00003
NDDHILDE_01876	K02446
NDDHILDE_01877	K07462
NDDHILDE_01881	K00008
NDDHILDE_01882	K00059
NDDHILDE_01883	K00013
NDDHILDE_01884	K05499
NDDHILDE_01886	K00108
NDDHILDE_01891	K12319
NDDHILDE_01897	K03088
NDDHILDE_01904	K00059
NDDHILDE_01905	K13247
NDDHILDE_01911	K01874
NDDHILDE_01914	K03046
NDDHILDE_01919	K07346
NDDHILDE_01922	K11085
NDDHILDE_01923	K01897
NDDHILDE_01925	K00567
NDDHILDE_01927	K01480
NDDHILDE_01930	K06158
NDDHILDE_01931	K05595
NDDHILDE_01932	K06985
NDDHILDE_01934	K01255
NDDHILDE_01939	K00097
NDDHILDE_01940	K02528
NDDHILDE_01942	K02493
NDDHILDE_01943	K02835
NDDHILDE_01945	K01480
NDDHILDE_01946	K01480
NDDHILDE_01948	K00537
NDDHILDE_01951	K00248
NDDHILDE_01952	K22224
NDDHILDE_01953	K08299
NDDHILDE_01957	K01662
NDDHILDE_01958	K13789
NDDHILDE_01960	K11407
NDDHILDE_01961	K07659
NDDHILDE_01964	K00826
NDDHILDE_01968	K10388
NDDHILDE_01969	K03694
NDDHILDE_01970	K01069
NDDHILDE_01972	K02137
NDDHILDE_01975	K00325
NDDHILDE_01976	K00324
NDDHILDE_01977	K00019
NDDHILDE_01978	K09473
NDDHILDE_01980	K01638
NDDHILDE_01981	K01256
NDDHILDE_01982	K02434
NDDHILDE_01987	K01262
NDDHILDE_01989	K03631
NDDHILDE_01990	K05807
NDDHILDE_01991	K02535
NDDHILDE_01992	K03531
NDDHILDE_01993	K03590
NDDHILDE_01995	K01921
NDDHILDE_01996	K00075
NDDHILDE_01998	K01924
NDDHILDE_01999	K02563
NDDHILDE_02000	K03588
NDDHILDE_02003	K00718
NDDHILDE_02005	K01925
NDDHILDE_02006	K01000
NDDHILDE_02007	K01929
NDDHILDE_02008	K01928
NDDHILDE_02009	K03587
NDDHILDE_02011	K03438
NDDHILDE_02013	K03593
NDDHILDE_02015	K11249
NDDHILDE_02016	K09471
NDDHILDE_02017	K03657
NDDHILDE_02018	K00101
NDDHILDE_02019	K01958
NDDHILDE_02022	K01693
NDDHILDE_02023	K02501
NDDHILDE_02024	K01814
NDDHILDE_02025	K02500
NDDHILDE_02027	K02025
NDDHILDE_02028	K10234
NDDHILDE_02038	K07402
NDDHILDE_02040	K18798
NDDHILDE_02041	K11754
NDDHILDE_02042	K01963
NDDHILDE_02044	K01687
NDDHILDE_02048	K02557
NDDHILDE_02051	K00953
NDDHILDE_02052	K06206
NDDHILDE_02053	K01265
NDDHILDE_02054	K11927
NDDHILDE_02056	K22368
NDDHILDE_02057	K02956
NDDHILDE_02062	K16639
NDDHILDE_02063	K07638
NDDHILDE_02065	K02888
NDDHILDE_02066	K06020
NDDHILDE_02067	K00969
NDDHILDE_02069	K07259
NDDHILDE_02071	K04566
NDDHILDE_02074	K03702
NDDHILDE_02075	K00285
NDDHILDE_02077	K06167
NDDHILDE_02078	K03424
NDDHILDE_02079	K02341
NDDHILDE_02080	K00943
NDDHILDE_02081	K07258
NDDHILDE_02083	K01619
NDDHILDE_02084	K00128
NDDHILDE_02087	K00059
NDDHILDE_02089	K01432
NDDHILDE_02090	K00135
NDDHILDE_02091	K04080
NDDHILDE_02093	K11473
NDDHILDE_02094	K11472
NDDHILDE_02095	K00104
NDDHILDE_02100	K03924
NDDHILDE_02102	K06181
NDDHILDE_02103	K01758
NDDHILDE_02104	K02335
NDDHILDE_02105	K01662
NDDHILDE_02106	K01823
NDDHILDE_02107	K10960
NDDHILDE_02109	K04040
NDDHILDE_02111	K01599
NDDHILDE_02112	K01749
NDDHILDE_02113	K19073
NDDHILDE_02114	K00643
NDDHILDE_02116	K04035
NDDHILDE_02122	K03919
NDDHILDE_02124	K08316
NDDHILDE_02125	K00529
NDDHILDE_02126	K11187
NDDHILDE_02127	K01724
NDDHILDE_02128	K09919
NDDHILDE_02131	K01755
NDDHILDE_02133	K01586
NDDHILDE_02136	K00655
NDDHILDE_02137	K07006
NDDHILDE_02138	K01962
NDDHILDE_02139	K01644
NDDHILDE_02141	K19802
NDDHILDE_02142	K00824
NDDHILDE_02147	K00873
NDDHILDE_02149	K02916
NDDHILDE_02150	K02887
NDDHILDE_02151	K01342
NDDHILDE_02154	K01889
NDDHILDE_02156	K01890
NDDHILDE_02157	K03719
NDDHILDE_02164	K07261
NDDHILDE_02165	K09125
NDDHILDE_02166	K15034
NDDHILDE_02167	K14286
NDDHILDE_02169	K00763
NDDHILDE_02170	K08281
NDDHILDE_02171	K01474
NDDHILDE_02172	K01473
NDDHILDE_02174	K03417
NDDHILDE_02186	K02444
NDDHILDE_02187	K00111
NDDHILDE_02189	K00812
NDDHILDE_02190	K05898
NDDHILDE_02192	K07120
NDDHILDE_02193	K00058
NDDHILDE_02197	K02483
NDDHILDE_02198	K07768
NDDHILDE_02199	K12661
NDDHILDE_02200	K19265
NDDHILDE_02216	K20207
NDDHILDE_02223	K01092
NDDHILDE_02224	K03576
NDDHILDE_02225	K00297
NDDHILDE_02228	K03520
NDDHILDE_02229	K09013
NDDHILDE_02230	K09015
NDDHILDE_02233	K10536
NDDHILDE_02234	K03281
NDDHILDE_02239	K04094
NDDHILDE_02241	K01885
NDDHILDE_02242	K11755
NDDHILDE_02246	K03655
NDDHILDE_02247	K01972
NDDHILDE_02248	K02483
NDDHILDE_02250	K00566
NDDHILDE_02251	K00748
NDDHILDE_02253	K00677
NDDHILDE_02254	K02372
NDDHILDE_02256	K07277
NDDHILDE_02257	K11749
NDDHILDE_02258	K00099
NDDHILDE_02259	K00981
NDDHILDE_02260	K00806
NDDHILDE_02261	K02838
NDDHILDE_02262	K09903
NDDHILDE_02263	K00791
NDDHILDE_02264	K13889
NDDHILDE_02265	K02033
NDDHILDE_02266	K12370
NDDHILDE_02267	K02031
NDDHILDE_02268	K03111
NDDHILDE_02269	K01735
NDDHILDE_02270	K00891
NDDHILDE_02273	K04763
NDDHILDE_02276	K09458
NDDHILDE_02278	K02536
NDDHILDE_02279	K21470
NDDHILDE_02282	K01784
NDDHILDE_02284	K01658
NDDHILDE_02285	K00766
NDDHILDE_02286	K01609
NDDHILDE_02287	K03637
NDDHILDE_02288	K03750
NDDHILDE_02289	K01356
NDDHILDE_02290	K02238
NDDHILDE_02291	K01885
NDDHILDE_02292	K01647
NDDHILDE_02294	K15866
NDDHILDE_02295	K02200
NDDHILDE_02296	K02198
NDDHILDE_02297	K02197
NDDHILDE_02298	K00145
NDDHILDE_02299	K01776
NDDHILDE_02301	K09681
NDDHILDE_02302	K23269
NDDHILDE_02305	K07390
NDDHILDE_02308	K00615
NDDHILDE_02309	K00134
NDDHILDE_02311	K00134
NDDHILDE_02312	K00954
NDDHILDE_02314	K00140
NDDHILDE_02315	K11538
NDDHILDE_02316	K05605
NDDHILDE_02317	K00020
NDDHILDE_02318	K01720
NDDHILDE_02319	K03701
NDDHILDE_02320	K03701
NDDHILDE_02321	K00382
NDDHILDE_02324	K07568
NDDHILDE_02326	K03564
NDDHILDE_02330	K02836
NDDHILDE_02331	K05366
NDDHILDE_02334	K03526
NDDHILDE_02339	K03719
NDDHILDE_02340	K02302
NDDHILDE_02342	K00366
NDDHILDE_02344	K02050
NDDHILDE_02345	K02049
NDDHILDE_02346	K02001
NDDHILDE_02348	K09972
NDDHILDE_02349	K08296
NDDHILDE_02351	K15537
NDDHILDE_02352	K00930
NDDHILDE_02353	K03978
NDDHILDE_02355	K03217
NDDHILDE_02357	K14058
NDDHILDE_02358	K00627
NDDHILDE_02359	K00640
NDDHILDE_02364	K00613
NDDHILDE_02365	K03684
NDDHILDE_02368	K06861
NDDHILDE_02369	K05808
NDDHILDE_02370	K02806
NDDHILDE_02375	K00963
NDDHILDE_02378	K09693
NDDHILDE_02379	K03313
NDDHILDE_02382	K12972
NDDHILDE_02383	K05837
NDDHILDE_02384	K05515
NDDHILDE_02386	K03570
NDDHILDE_02387	K03569
NDDHILDE_02388	K01649
NDDHILDE_02392	K01474
NDDHILDE_02393	K01473
NDDHILDE_02394	K00605
NDDHILDE_02395	K01028
NDDHILDE_02398	K02529
NDDHILDE_02399	K00065
NDDHILDE_02401	K00013
NDDHILDE_02402	K10238
NDDHILDE_02403	K02025
NDDHILDE_02405	K10112
NDDHILDE_02415	K03953
NDDHILDE_02416	K06153
NDDHILDE_02417	K00266
NDDHILDE_02418	K00265
NDDHILDE_02419	K03814
NDDHILDE_02420	K00799
NDDHILDE_02421	K18979
NDDHILDE_02428	K06207
NDDHILDE_02434	K07147
NDDHILDE_02438	K15656
NDDHILDE_02441	K01134
NDDHILDE_02445	K07266
NDDHILDE_02446	K11752
NDDHILDE_02447	K01053
NDDHILDE_02453	K12373
NDDHILDE_02455	K03648
NDDHILDE_02456	K03823
NDDHILDE_02458	K13278
NDDHILDE_02461	K12417
NDDHILDE_02463	K02518
NDDHILDE_02464	K03076
NDDHILDE_02465	K02876
NDDHILDE_02466	K04751
NDDHILDE_02467	K03320
NDDHILDE_02468	K04751
NDDHILDE_02472	K07052
NDDHILDE_02474	K03092
NDDHILDE_02480	K01136
NDDHILDE_02481	K00265
NDDHILDE_02482	K00266
NDDHILDE_02489	K00499
NDDHILDE_02491	K00013
NDDHILDE_02497	K01092
NDDHILDE_02498	K03074
NDDHILDE_02499	K03072
NDDHILDE_02501	K00405
NDDHILDE_02502	K00404
NDDHILDE_02503	K08602
NDDHILDE_02522	K17893
NDDHILDE_02528	K02004
NDDHILDE_02529	K02004
