ECFPDAKA_00002	K02477
ECFPDAKA_01601	K15580
ECFPDAKA_01603	K17725
ECFPDAKA_01605	K01992
ECFPDAKA_01607	K01647
ECFPDAKA_01608	K11921
ECFPDAKA_01609	K00111
ECFPDAKA_01611	K01423
ECFPDAKA_01614	K03321
ECFPDAKA_01616	K00528
ECFPDAKA_01619	K03594
ECFPDAKA_01620	K03594
ECFPDAKA_01621	K16871
ECFPDAKA_01622	K09470
ECFPDAKA_01629	K00252
ECFPDAKA_01630	K18703
ECFPDAKA_01631	K00259
ECFPDAKA_01633	K12507
ECFPDAKA_01634	K00626
ECFPDAKA_01635	K00626
ECFPDAKA_01637	K00294
ECFPDAKA_01638	K23010
ECFPDAKA_01643	K03543
ECFPDAKA_01648	K07262
ECFPDAKA_01649	K00057
ECFPDAKA_01650	K00631
ECFPDAKA_01651	K15781
ECFPDAKA_01653	K21345
ECFPDAKA_01654	K02843
ECFPDAKA_01659	K18244
ECFPDAKA_01660	K22818
ECFPDAKA_01664	K00058
ECFPDAKA_01665	K12663
ECFPDAKA_01666	K03310
ECFPDAKA_01668	K03313
ECFPDAKA_01669	K17828
ECFPDAKA_01670	K08997
ECFPDAKA_01673	K21417
ECFPDAKA_01674	K21416
ECFPDAKA_01677	K00059
ECFPDAKA_01678	K23256
ECFPDAKA_01679	K00249
ECFPDAKA_01689	K01935
ECFPDAKA_01690	K02170
ECFPDAKA_01691	K00652
ECFPDAKA_01692	K01012
ECFPDAKA_01694	K02020
ECFPDAKA_01695	K02018
ECFPDAKA_01696	K02017
ECFPDAKA_01698	K18204
ECFPDAKA_01699	K00058
ECFPDAKA_01700	K23514
ECFPDAKA_01702	K16092
ECFPDAKA_01708	K16092
ECFPDAKA_01709	K23424
ECFPDAKA_01716	K16046
ECFPDAKA_01718	K00666
ECFPDAKA_01719	K15016
ECFPDAKA_01720	K00626
ECFPDAKA_01723	K23016
ECFPDAKA_01725	K00359
ECFPDAKA_01727	K00995
ECFPDAKA_01728	K03703
ECFPDAKA_01729	K00075
ECFPDAKA_01730	K01104
ECFPDAKA_01731	K00979
ECFPDAKA_01732	K00912
ECFPDAKA_01733	K11085
ECFPDAKA_01735	K03561
ECFPDAKA_01736	K02238
ECFPDAKA_01738	K09808
ECFPDAKA_01739	K09810
ECFPDAKA_01740	K09808
ECFPDAKA_01742	K03734
ECFPDAKA_01743	K00351
ECFPDAKA_01744	K00350
ECFPDAKA_01745	K00349
ECFPDAKA_01746	K00348
ECFPDAKA_01747	K00347
ECFPDAKA_01748	K00346
ECFPDAKA_01749	K00134
ECFPDAKA_01750	K03723
ECFPDAKA_01752	K00772
ECFPDAKA_01753	K16052
ECFPDAKA_01755	K01356
ECFPDAKA_01758	K03168
ECFPDAKA_01760	K11932
ECFPDAKA_01764	K03437
ECFPDAKA_01769	K09160
ECFPDAKA_01770	K09902
ECFPDAKA_01771	K03684
ECFPDAKA_01772	K06187
ECFPDAKA_01773	K09747
ECFPDAKA_01774	K02343
ECFPDAKA_01785	K01912
ECFPDAKA_01787	K19810
ECFPDAKA_01788	K09471
ECFPDAKA_01789	K01915
ECFPDAKA_01791	K08963
ECFPDAKA_01792	K08963
ECFPDAKA_01795	K00891
ECFPDAKA_01796	K00605
ECFPDAKA_01798	K07114
ECFPDAKA_01799	K07114
ECFPDAKA_01802	K03924
ECFPDAKA_01806	K01557
ECFPDAKA_01808	K16339
ECFPDAKA_01809	K11249
ECFPDAKA_01810	K13299
ECFPDAKA_01816	K09705
ECFPDAKA_01817	K22303
ECFPDAKA_01818	K03753
ECFPDAKA_01821	K07234
ECFPDAKA_01823	K00091
ECFPDAKA_01824	K01628
ECFPDAKA_01826	K03974
ECFPDAKA_01830	K19416
ECFPDAKA_01834	K11179
ECFPDAKA_01836	K00557
ECFPDAKA_01843	K03308
ECFPDAKA_01847	K02336
ECFPDAKA_01851	K04084
ECFPDAKA_01852	K03786
ECFPDAKA_01853	K02160
ECFPDAKA_01854	K01961
ECFPDAKA_01855	K05607
ECFPDAKA_01856	K00059
ECFPDAKA_01860	K03088
ECFPDAKA_01865	K01193
ECFPDAKA_01866	K06915
ECFPDAKA_01867	K07054
ECFPDAKA_01871	K03529
ECFPDAKA_01880	K07178
ECFPDAKA_01881	K05591
ECFPDAKA_01883	K12368
ECFPDAKA_01885	K05819
ECFPDAKA_01886	K03442
ECFPDAKA_01887	K02168
ECFPDAKA_01889	K18981
ECFPDAKA_01891	K04091
ECFPDAKA_01892	K16898
ECFPDAKA_01894	K01626
ECFPDAKA_01896	K07400
ECFPDAKA_01897	K00548
ECFPDAKA_01900	K00392
ECFPDAKA_01904	K03522
ECFPDAKA_01905	K03521
ECFPDAKA_01906	K00311
ECFPDAKA_01908	K00058
ECFPDAKA_01910	K03530
ECFPDAKA_01911	K01338
ECFPDAKA_01912	K03544
ECFPDAKA_01913	K01358
ECFPDAKA_01914	K03545
ECFPDAKA_01917	K02676
ECFPDAKA_01918	K02341
ECFPDAKA_01919	K00943
ECFPDAKA_01920	K07082
ECFPDAKA_01921	K02619
ECFPDAKA_01922	K09458
ECFPDAKA_01923	K02078
ECFPDAKA_01924	K00059
ECFPDAKA_01925	K00645
ECFPDAKA_01926	K02911
ECFPDAKA_01927	K07040
ECFPDAKA_01929	K01091
ECFPDAKA_01930	K06179
ECFPDAKA_01931	K01912
ECFPDAKA_01933	K02618
ECFPDAKA_01934	K15866
ECFPDAKA_01935	K02614
ECFPDAKA_01936	K02615
ECFPDAKA_01945	K11527
ECFPDAKA_01947	K02481
ECFPDAKA_01949	K07232
ECFPDAKA_01953	K00255
ECFPDAKA_01954	K00219
ECFPDAKA_01955	K07710
ECFPDAKA_01956	K00359
ECFPDAKA_01957	K12507
ECFPDAKA_01958	K05708
ECFPDAKA_01960	K00359
ECFPDAKA_01962	K10533
ECFPDAKA_01966	K01814
ECFPDAKA_01969	K00253
ECFPDAKA_01970	K01969
ECFPDAKA_01971	K13767
ECFPDAKA_01972	K01968
ECFPDAKA_01973	K01640
ECFPDAKA_01975	K06942
ECFPDAKA_01976	K01056
ECFPDAKA_01977	K02897
ECFPDAKA_01978	K00948
ECFPDAKA_01980	K00919
ECFPDAKA_01984	K02492
ECFPDAKA_01985	K02835
ECFPDAKA_01992	K01130
ECFPDAKA_01996	K22443
ECFPDAKA_01999	K00605
ECFPDAKA_02001	K03153
ECFPDAKA_02006	K07080
ECFPDAKA_02012	K01491
ECFPDAKA_02013	K01883
ECFPDAKA_02015	K00059
ECFPDAKA_02018	K00059
ECFPDAKA_02023	K07152
ECFPDAKA_02024	K17285
ECFPDAKA_02025	K00428
ECFPDAKA_02026	K22470
ECFPDAKA_02029	K01338
ECFPDAKA_02031	K02670
ECFPDAKA_02033	K07161
ECFPDAKA_02035	K03639
ECFPDAKA_02038	K07304
ECFPDAKA_02041	K09539
ECFPDAKA_02043	K03799
ECFPDAKA_02047	K00059
ECFPDAKA_02049	K09478
ECFPDAKA_02051	K13243
ECFPDAKA_02052	K01436
ECFPDAKA_02055	K02652
ECFPDAKA_02056	K02650
ECFPDAKA_02057	K02483
ECFPDAKA_02061	K13954
ECFPDAKA_02062	K14645
ECFPDAKA_02063	K21672
ECFPDAKA_02086	K08682
ECFPDAKA_02087	K01919
ECFPDAKA_02088	K15257
ECFPDAKA_02089	K15256
ECFPDAKA_02092	K01270
ECFPDAKA_02093	K00813
ECFPDAKA_02094	K15738
ECFPDAKA_02095	K11921
ECFPDAKA_02096	K01907
ECFPDAKA_02097	K00626
ECFPDAKA_02098	K02259
ECFPDAKA_02101	K11752
ECFPDAKA_02102	K07738
ECFPDAKA_02103	K00600
ECFPDAKA_02104	K06020
ECFPDAKA_02106	K04485
ECFPDAKA_02109	K02314
ECFPDAKA_02110	K02939
ECFPDAKA_02112	K02963
ECFPDAKA_02113	K02990
ECFPDAKA_02120	K01132
ECFPDAKA_02138	K14445
ECFPDAKA_02140	K01134
ECFPDAKA_02143	K00314
ECFPDAKA_02144	K00314
ECFPDAKA_02146	K02168
ECFPDAKA_02149	K22187
ECFPDAKA_02150	K01273
ECFPDAKA_02151	K02168
ECFPDAKA_02158	K01620
ECFPDAKA_02159	K06183
ECFPDAKA_02160	K01113
ECFPDAKA_02162	K11068
ECFPDAKA_02166	K00117
ECFPDAKA_02175	K00069
ECFPDAKA_02176	K13955
ECFPDAKA_02179	K00432
ECFPDAKA_02184	K01278
ECFPDAKA_02185	K01271
ECFPDAKA_02188	K00128
ECFPDAKA_02189	K11147
ECFPDAKA_02190	K23256
ECFPDAKA_02200	K01695
ECFPDAKA_02201	K01696
ECFPDAKA_02202	K01817
ECFPDAKA_02203	K06173
ECFPDAKA_02205	K00133
ECFPDAKA_02206	K00052
ECFPDAKA_02207	K01704
ECFPDAKA_02208	K01703
ECFPDAKA_02209	K23164
ECFPDAKA_02210	K00485
ECFPDAKA_02211	K00059
ECFPDAKA_02215	K00135
ECFPDAKA_02216	K01711
ECFPDAKA_02221	K00249
ECFPDAKA_02222	K00059
ECFPDAKA_02223	K11729
ECFPDAKA_02224	K00666
ECFPDAKA_02227	K15510
ECFPDAKA_02229	K19548
ECFPDAKA_02236	K22443
ECFPDAKA_02244	K09690
ECFPDAKA_02245	K09691
ECFPDAKA_02250	K00274
ECFPDAKA_02260	K17231
ECFPDAKA_02261	K03719
ECFPDAKA_02262	K00457
ECFPDAKA_02265	K01800
ECFPDAKA_02266	K00502
ECFPDAKA_02267	K00065
ECFPDAKA_02268	K02032
ECFPDAKA_02272	K05540
ECFPDAKA_02273	K03557
ECFPDAKA_02274	K00602
ECFPDAKA_02275	K01945
ECFPDAKA_02278	K02238
ECFPDAKA_02279	K07397
ECFPDAKA_02280	K10914
ECFPDAKA_02282	K03929
ECFPDAKA_02284	K02099
ECFPDAKA_02285	K07044
ECFPDAKA_02287	K00117
ECFPDAKA_02288	K13985
ECFPDAKA_02289	K00387
ECFPDAKA_02292	K16089
ECFPDAKA_02296	K22390
ECFPDAKA_02300	K07698
ECFPDAKA_02303	K07814
ECFPDAKA_02304	K02483
ECFPDAKA_02306	K07710
ECFPDAKA_02307	K07709
ECFPDAKA_02309	K07814
ECFPDAKA_02310	K07710
ECFPDAKA_02318	K08309
ECFPDAKA_02324	K03113
ECFPDAKA_02331	K03111
ECFPDAKA_02332	K09471
ECFPDAKA_02334	K03701
ECFPDAKA_02336	K02879
ECFPDAKA_02337	K03040
ECFPDAKA_02338	K02986
ECFPDAKA_02339	K02948
ECFPDAKA_02340	K02952
ECFPDAKA_02341	K03076
ECFPDAKA_02343	K11414
ECFPDAKA_02344	K07071
ECFPDAKA_02346	K01886
ECFPDAKA_02347	K03768
ECFPDAKA_02348	K03269
ECFPDAKA_02351	K01682
ECFPDAKA_02352	K03823
ECFPDAKA_02355	K03924
ECFPDAKA_02356	K10764
ECFPDAKA_02357	K00764
ECFPDAKA_02358	K03558
ECFPDAKA_02359	K03749
ECFPDAKA_02360	K11754
ECFPDAKA_02361	K01963
ECFPDAKA_02364	K11450
ECFPDAKA_02370	K01575
ECFPDAKA_02371	K00626
ECFPDAKA_02373	K18688
ECFPDAKA_02377	K00128
ECFPDAKA_02379	K00635
ECFPDAKA_02381	K13566
ECFPDAKA_02382	K14287
ECFPDAKA_02383	K05800
ECFPDAKA_02384	K00179
ECFPDAKA_02385	K00263
ECFPDAKA_02386	K09125
ECFPDAKA_02389	K01414
ECFPDAKA_02390	K05592
ECFPDAKA_02391	K11103
ECFPDAKA_02396	K02200
ECFPDAKA_02397	K02199
ECFPDAKA_02398	K02198
ECFPDAKA_02399	K02197
ECFPDAKA_02401	K02195
ECFPDAKA_02402	K02194
ECFPDAKA_02403	K02193
ECFPDAKA_02404	K14058
ECFPDAKA_02405	K00024
ECFPDAKA_02407	K02004
ECFPDAKA_02408	K02003
ECFPDAKA_02409	K10804
ECFPDAKA_02410	K00833
ECFPDAKA_02412	K10716
ECFPDAKA_02415	K16046
ECFPDAKA_02419	K00130
ECFPDAKA_02420	K00471
ECFPDAKA_02421	K03451
ECFPDAKA_02422	K00477
ECFPDAKA_02425	K00108
ECFPDAKA_02426	K00471
ECFPDAKA_02427	K15016
ECFPDAKA_02430	K00020
ECFPDAKA_02431	K00121
ECFPDAKA_02432	K19802
ECFPDAKA_02437	K00249
ECFPDAKA_02441	K00059
ECFPDAKA_02442	K00059
ECFPDAKA_02449	K01754
ECFPDAKA_02452	K01938
ECFPDAKA_02456	K23016
ECFPDAKA_02458	K07044
ECFPDAKA_02462	K10215
ECFPDAKA_02471	K03762
ECFPDAKA_02472	K01692
ECFPDAKA_02476	K10680
ECFPDAKA_02479	K00958
ECFPDAKA_02480	K00860
ECFPDAKA_02481	K21900
ECFPDAKA_02482	K02346
ECFPDAKA_02485	K01581
ECFPDAKA_02492	K16089
ECFPDAKA_02494	K01626
ECFPDAKA_02496	K05888
ECFPDAKA_02498	K09009
ECFPDAKA_02499	K19221
ECFPDAKA_02500	K02015
ECFPDAKA_02501	K02013
ECFPDAKA_02502	K02016
ECFPDAKA_02503	K07862
ECFPDAKA_02509	K02529
ECFPDAKA_02510	K00013
ECFPDAKA_02512	K00059
ECFPDAKA_02514	K01885
ECFPDAKA_02515	K06175
ECFPDAKA_02516	K01424
ECFPDAKA_02518	K05523
ECFPDAKA_02519	K07512
ECFPDAKA_02521	K05539
ECFPDAKA_02522	K00616
ECFPDAKA_02526	K04754
ECFPDAKA_02528	K09930
ECFPDAKA_02530	K07284
ECFPDAKA_02535	K00655
ECFPDAKA_02536	K23753
ECFPDAKA_02538	K07278
ECFPDAKA_02542	K00830
ECFPDAKA_02543	K01897
ECFPDAKA_02544	K01006
ECFPDAKA_02550	K12297
ECFPDAKA_02551	K00359
ECFPDAKA_02554	K04761
ECFPDAKA_02559	K00128
ECFPDAKA_02560	K16090
ECFPDAKA_02565	K01897
ECFPDAKA_02566	K00128
ECFPDAKA_02567	K18688
ECFPDAKA_02571	K19802
ECFPDAKA_02572	K01297
ECFPDAKA_02573	K03315
ECFPDAKA_02574	K00525
ECFPDAKA_02576	K23775
ECFPDAKA_02578	K01652
ECFPDAKA_02579	K01653
ECFPDAKA_02580	K00053
ECFPDAKA_02581	K13634
ECFPDAKA_02582	K17103
ECFPDAKA_02583	K07147
ECFPDAKA_02585	K00166
ECFPDAKA_02586	K03719
ECFPDAKA_02587	K00263
ECFPDAKA_02591	K01972
ECFPDAKA_02593	K00266
ECFPDAKA_02594	K00174
ECFPDAKA_02595	K00175
ECFPDAKA_02596	K07657
ECFPDAKA_02597	K07636
ECFPDAKA_02598	K02039
ECFPDAKA_02599	K02040
ECFPDAKA_02600	K02037
ECFPDAKA_02601	K02038
ECFPDAKA_02603	K04762
ECFPDAKA_02604	K20881
ECFPDAKA_02605	K01082
ECFPDAKA_02608	K00567
ECFPDAKA_02609	K13529
ECFPDAKA_02611	K15537
ECFPDAKA_02613	K03455
ECFPDAKA_02615	K03524
ECFPDAKA_02623	K07511
ECFPDAKA_02624	K00540
ECFPDAKA_02625	K03517
ECFPDAKA_02626	K01423
ECFPDAKA_02628	K03548
ECFPDAKA_02629	K01408
ECFPDAKA_02630	K00163
ECFPDAKA_02631	K00627
ECFPDAKA_02632	K15918
ECFPDAKA_02633	K07026
ECFPDAKA_02635	K22597
ECFPDAKA_02636	K00209
ECFPDAKA_02637	K16639
ECFPDAKA_02638	K18687
ECFPDAKA_02639	K03719
ECFPDAKA_02644	K01692
ECFPDAKA_02647	K00626
ECFPDAKA_02651	K00059
ECFPDAKA_02652	K00626
ECFPDAKA_02653	K02652
ECFPDAKA_02654	K02653
ECFPDAKA_02655	K02456
ECFPDAKA_02660	K01724
ECFPDAKA_02668	K00526
ECFPDAKA_02669	K00525
ECFPDAKA_02670	K00611
ECFPDAKA_02671	K00821
ECFPDAKA_02672	K07390
ECFPDAKA_02674	K03386
ECFPDAKA_02675	K00147
ECFPDAKA_02676	K00969
ECFPDAKA_02677	K09710
ECFPDAKA_02678	K00783
ECFPDAKA_02679	K05515
ECFPDAKA_02680	K05837
ECFPDAKA_02681	K08305
ECFPDAKA_02682	K03642
ECFPDAKA_02683	K07258
ECFPDAKA_02685	K03801
ECFPDAKA_02686	K02837
ECFPDAKA_02690	K02946
ECFPDAKA_02691	K02906
ECFPDAKA_02692	K02926
ECFPDAKA_02693	K02892
ECFPDAKA_02694	K02886
ECFPDAKA_02695	K02965
ECFPDAKA_02696	K02890
ECFPDAKA_02697	K02982
ECFPDAKA_02698	K02878
ECFPDAKA_02699	K02904
ECFPDAKA_02700	K02961
ECFPDAKA_02701	K02874
ECFPDAKA_02702	K02895
ECFPDAKA_02703	K02931
ECFPDAKA_02704	K02954
ECFPDAKA_02710	K01007
ECFPDAKA_02711	K00249
ECFPDAKA_02712	K01715
ECFPDAKA_02713	K00626
ECFPDAKA_02717	K11927
ECFPDAKA_02718	K00059
ECFPDAKA_02719	K04883
ECFPDAKA_02720	K00681
ECFPDAKA_02721	K03319
ECFPDAKA_02723	K00059
ECFPDAKA_02724	K00059
ECFPDAKA_02725	K19802
ECFPDAKA_02727	K02069
ECFPDAKA_02731	K01302
ECFPDAKA_02734	K18880
ECFPDAKA_02735	K00255
ECFPDAKA_02737	K01563
ECFPDAKA_02740	K14155
ECFPDAKA_02742	K05708
ECFPDAKA_02748	K00605
ECFPDAKA_02750	K07250
ECFPDAKA_02751	K01433
ECFPDAKA_02752	K01130
ECFPDAKA_02755	K00243
ECFPDAKA_02757	K03704
ECFPDAKA_02760	K13049
ECFPDAKA_02761	K00784
ECFPDAKA_02763	K00635
ECFPDAKA_02764	K12663
ECFPDAKA_02768	K01969
ECFPDAKA_02769	K13767
ECFPDAKA_02770	K01961
ECFPDAKA_02779	K02968
ECFPDAKA_02781	K01104
ECFPDAKA_02785	K03722
ECFPDAKA_02791	K07511
ECFPDAKA_02792	K14445
ECFPDAKA_02795	K11187
ECFPDAKA_02800	K01610
ECFPDAKA_02801	K04083
ECFPDAKA_02803	K00813
ECFPDAKA_02808	K01897
ECFPDAKA_02809	K07304
ECFPDAKA_02811	K00059
ECFPDAKA_02816	K12942
ECFPDAKA_02820	K16047
ECFPDAKA_02825	K00639
ECFPDAKA_02826	K00060
ECFPDAKA_02834	K00097
ECFPDAKA_02837	K09693
ECFPDAKA_02838	K01692
ECFPDAKA_02839	K01011
ECFPDAKA_02840	K02836
ECFPDAKA_02841	K04567
ECFPDAKA_02843	K02486
ECFPDAKA_02844	K02485
ECFPDAKA_02845	K01768
ECFPDAKA_02853	K16049
ECFPDAKA_02854	K07068
ECFPDAKA_02855	K07068
ECFPDAKA_02857	K00626
ECFPDAKA_02858	K18688
ECFPDAKA_02859	K01692
ECFPDAKA_02861	K15016
ECFPDAKA_02862	K07116
ECFPDAKA_02863	K14652
ECFPDAKA_02864	K00626
ECFPDAKA_02866	K11533
ECFPDAKA_02868	K18703
ECFPDAKA_02870	K03307
ECFPDAKA_02871	K03087
ECFPDAKA_02872	K06194
ECFPDAKA_02873	K08974
ECFPDAKA_02874	K00573
ECFPDAKA_02875	K06176
ECFPDAKA_02876	K01770
ECFPDAKA_02877	K00991
ECFPDAKA_02879	K01689
ECFPDAKA_02880	K01627
ECFPDAKA_02881	K01937
ECFPDAKA_02882	K04075
ECFPDAKA_02883	K01962
ECFPDAKA_02884	K22843
ECFPDAKA_02885	K06180
ECFPDAKA_02887	K13638
ECFPDAKA_02888	K13636
ECFPDAKA_02889	K00135
ECFPDAKA_02890	K16871
ECFPDAKA_02891	K07462
ECFPDAKA_02892	K01733
ECFPDAKA_02893	K00003
ECFPDAKA_02894	K14261
ECFPDAKA_02895	K03981
ECFPDAKA_02896	K04763
ECFPDAKA_02897	K02884
ECFPDAKA_02898	K00554
ECFPDAKA_02899	K02860
ECFPDAKA_02900	K02959
ECFPDAKA_02902	K03810
ECFPDAKA_02903	K01686
ECFPDAKA_02906	K22696
ECFPDAKA_02909	K00648
ECFPDAKA_02913	K07053
ECFPDAKA_02914	K06190
ECFPDAKA_02916	K03767
ECFPDAKA_02917	K03474
ECFPDAKA_02920	K20509
ECFPDAKA_02921	K01960
ECFPDAKA_02923	K05541
ECFPDAKA_02925	K01652
ECFPDAKA_02926	K03305
ECFPDAKA_02928	K18928
ECFPDAKA_02929	K18929
ECFPDAKA_02930	K00782
ECFPDAKA_02932	K01595
ECFPDAKA_02933	K00134
ECFPDAKA_02934	K00134
ECFPDAKA_02935	K01625
ECFPDAKA_02936	K19337
ECFPDAKA_02938	K08744
ECFPDAKA_02940	K08745
ECFPDAKA_02941	K11927
ECFPDAKA_02946	K00563
ECFPDAKA_02951	K02371
ECFPDAKA_02952	K14674
ECFPDAKA_02953	K01897
ECFPDAKA_02954	K00372
ECFPDAKA_02955	K11162
ECFPDAKA_02956	K19548
ECFPDAKA_02957	K01692
ECFPDAKA_02958	K00059
ECFPDAKA_02964	K07305
ECFPDAKA_02966	K03473
ECFPDAKA_02967	K02335
ECFPDAKA_02968	K09906
ECFPDAKA_02969	K04085
ECFPDAKA_02973	K01736
ECFPDAKA_02974	K07320
ECFPDAKA_02975	K01495
ECFPDAKA_02979	K00057
ECFPDAKA_02980	K04079
ECFPDAKA_02981	K01902
ECFPDAKA_02982	K01903
ECFPDAKA_02983	K00382
ECFPDAKA_02984	K00658
ECFPDAKA_02985	K00164
ECFPDAKA_02986	K00240
ECFPDAKA_02987	K00239
ECFPDAKA_02988	K00242
ECFPDAKA_02989	K00241
ECFPDAKA_02991	K01647
ECFPDAKA_02993	K00817
ECFPDAKA_02996	K02036
ECFPDAKA_03007	K03442
ECFPDAKA_03009	K03210
ECFPDAKA_03010	K05396
ECFPDAKA_03011	K03310
ECFPDAKA_03013	K01081
ECFPDAKA_03014	K13634
ECFPDAKA_03016	K01665
ECFPDAKA_03017	K01966
ECFPDAKA_03018	K01961
ECFPDAKA_03019	K05606
ECFPDAKA_03020	K01847
ECFPDAKA_03021	K07588
ECFPDAKA_03022	K22441
ECFPDAKA_03026	K07798
ECFPDAKA_03029	K02014
ECFPDAKA_03031	K01969
ECFPDAKA_03032	K01644
ECFPDAKA_03033	K18703
ECFPDAKA_03035	K09780
ECFPDAKA_03036	K05798
ECFPDAKA_03037	K00249
ECFPDAKA_03038	K00059
ECFPDAKA_03041	K04774
ECFPDAKA_03042	K03426
ECFPDAKA_03043	K03314
ECFPDAKA_03044	K02342
ECFPDAKA_03045	K03469
ECFPDAKA_03047	K01069
ECFPDAKA_03048	K08307
ECFPDAKA_03049	K11391
ECFPDAKA_03051	K06132
ECFPDAKA_03055	K01657
ECFPDAKA_03061	K01800
ECFPDAKA_03062	K03773
ECFPDAKA_03064	K00315
ECFPDAKA_03066	K03424
ECFPDAKA_03067	K03580
ECFPDAKA_03070	K13702
ECFPDAKA_03072	K15866
ECFPDAKA_03073	K01796
ECFPDAKA_03074	K08683
ECFPDAKA_03076	K13069
ECFPDAKA_03079	K02742
ECFPDAKA_03080	K11729
ECFPDAKA_03081	K01692
ECFPDAKA_03082	K00626
ECFPDAKA_03084	K01134
ECFPDAKA_03090	K09471
ECFPDAKA_03091	K09471
ECFPDAKA_03092	K09470
ECFPDAKA_03094	K10797
ECFPDAKA_03095	K22443
ECFPDAKA_03102	K00605
ECFPDAKA_03105	K22443
ECFPDAKA_03106	K11527
ECFPDAKA_03108	K01783
ECFPDAKA_03109	K00992
ECFPDAKA_03110	K07102
ECFPDAKA_03111	K04744
ECFPDAKA_03112	K03771
ECFPDAKA_03113	K00097
ECFPDAKA_03115	K02388
ECFPDAKA_03116	K02387
ECFPDAKA_03123	K00548
ECFPDAKA_03124	K00547
ECFPDAKA_03128	K00548
ECFPDAKA_03131	K01135
ECFPDAKA_03132	K01565
ECFPDAKA_03135	K07787
ECFPDAKA_03137	K02556
ECFPDAKA_03138	K02557
ECFPDAKA_03139	K02557
ECFPDAKA_03140	K10716
ECFPDAKA_03143	K03281
ECFPDAKA_03144	K07714
ECFPDAKA_03145	K02481
ECFPDAKA_03147	K02409
ECFPDAKA_03148	K02410
ECFPDAKA_03151	K00666
ECFPDAKA_03154	K01938
ECFPDAKA_03158	K01443
ECFPDAKA_03159	K02564
ECFPDAKA_03161	K00635
ECFPDAKA_03162	K08869
ECFPDAKA_03163	K08869
ECFPDAKA_03165	K01772
ECFPDAKA_03168	K14715
ECFPDAKA_03169	K00135
ECFPDAKA_03170	K00931
ECFPDAKA_03171	K03979
ECFPDAKA_03172	K02899
ECFPDAKA_03173	K02888
ECFPDAKA_03174	K02523
ECFPDAKA_03175	K01810
ECFPDAKA_03176	K01840
ECFPDAKA_03177	K00963
ECFPDAKA_03178	K00971
ECFPDAKA_03179	K01716
ECFPDAKA_03180	K00647
ECFPDAKA_03181	K03750
ECFPDAKA_03182	K03638
ECFPDAKA_03187	K07645
ECFPDAKA_03188	K07666
ECFPDAKA_03189	K04708
ECFPDAKA_03191	K01897
ECFPDAKA_03198	K04773
ECFPDAKA_03200	K03809
ECFPDAKA_03201	K00537
ECFPDAKA_03202	K07058
ECFPDAKA_03206	K02491
ECFPDAKA_03209	K00265
ECFPDAKA_03213	K03282
ECFPDAKA_03214	K05844
ECFPDAKA_03217	K11527
ECFPDAKA_03218	K01657
ECFPDAKA_03219	K01658
ECFPDAKA_03220	K00766
ECFPDAKA_03221	K01609
ECFPDAKA_03238	K21672
ECFPDAKA_03239	K21672
ECFPDAKA_03242	K00790
ECFPDAKA_03243	K01207
ECFPDAKA_03247	K02003
ECFPDAKA_03253	K03656
ECFPDAKA_03255	K01299
ECFPDAKA_03256	K15981
ECFPDAKA_03257	K07391
ECFPDAKA_03260	K04751
ECFPDAKA_03261	K03320
ECFPDAKA_03262	K04751
ECFPDAKA_03263	K20862
ECFPDAKA_03264	K03733
ECFPDAKA_03266	K01778
ECFPDAKA_03267	K01586
ECFPDAKA_03269	K06202
ECFPDAKA_03271	K01755
ECFPDAKA_03272	K02478
ECFPDAKA_03273	K07705
ECFPDAKA_03274	K01749
ECFPDAKA_03275	K01719
ECFPDAKA_03277	K02498
ECFPDAKA_03278	K03182
ECFPDAKA_03279	K03628
ECFPDAKA_03280	K03671
ECFPDAKA_03281	K00382
ECFPDAKA_03283	K06158
ECFPDAKA_03286	K09781
ECFPDAKA_03287	K00937
ECFPDAKA_03289	K14055
ECFPDAKA_03296	K04764
ECFPDAKA_03297	K01890
ECFPDAKA_03298	K01889
ECFPDAKA_03299	K02887
ECFPDAKA_03300	K02916
ECFPDAKA_03301	K02520
ECFPDAKA_03302	K01868
ECFPDAKA_03303	K03821
ECFPDAKA_03304	K00635
ECFPDAKA_03306	K10798
ECFPDAKA_03307	K02483
ECFPDAKA_03308	K07642
ECFPDAKA_03310	K03702
ECFPDAKA_03319	K02237
ECFPDAKA_03320	K01591
ECFPDAKA_03321	K19804
ECFPDAKA_03323	K05788
ECFPDAKA_03324	K02945
ECFPDAKA_03325	K00945
ECFPDAKA_03326	K00800
ECFPDAKA_03327	K04517
ECFPDAKA_03328	K14170
ECFPDAKA_03329	K00831
ECFPDAKA_03330	K02469
ECFPDAKA_03332	K12960
ECFPDAKA_03333	K00568
ECFPDAKA_03334	K22292
ECFPDAKA_03336	K06178
ECFPDAKA_03337	K06024
ECFPDAKA_03338	K05896
ECFPDAKA_03339	K03579
ECFPDAKA_03343	K02453
ECFPDAKA_03349	K02493
ECFPDAKA_03350	K11996
ECFPDAKA_03351	K03327
ECFPDAKA_03353	K05592
ECFPDAKA_03354	K06203
ECFPDAKA_03357	K10773
ECFPDAKA_03358	K14267
ECFPDAKA_03359	K00990
ECFPDAKA_03360	K01265
ECFPDAKA_03361	K02967
ECFPDAKA_03362	K02357
ECFPDAKA_03365	K01676
ECFPDAKA_03366	K01141
ECFPDAKA_03367	K00609
ECFPDAKA_03368	K01515
ECFPDAKA_03369	K03980
ECFPDAKA_03370	K11753
