LKDOMNOO_00001	K06134
LKDOMNOO_01719	K01077
LKDOMNOO_01725	K02871
LKDOMNOO_01726	K02996
LKDOMNOO_01727	K00411
LKDOMNOO_01728	K00412
LKDOMNOO_01729	K03599
LKDOMNOO_01730	K03600
LKDOMNOO_01733	K07460
LKDOMNOO_01734	K07121
LKDOMNOO_01735	K07056
LKDOMNOO_01737	K03925
LKDOMNOO_01738	K03438
LKDOMNOO_01740	K03587
LKDOMNOO_01741	K01928
LKDOMNOO_01742	K01929
LKDOMNOO_01743	K01000
LKDOMNOO_01744	K01925
LKDOMNOO_01745	K03588
LKDOMNOO_01746	K10716
LKDOMNOO_01747	K10804
LKDOMNOO_01748	K02003
LKDOMNOO_01749	K02004
LKDOMNOO_01750	K00024
LKDOMNOO_01752	K14058
LKDOMNOO_01753	K02193
LKDOMNOO_01754	K02194
LKDOMNOO_01755	K02195
LKDOMNOO_01757	K02197
LKDOMNOO_01758	K02198
LKDOMNOO_01759	K02199
LKDOMNOO_01760	K02200
LKDOMNOO_01761	K04018
LKDOMNOO_01762	K03529
LKDOMNOO_01764	K01972
LKDOMNOO_01766	K07657
LKDOMNOO_01767	K07636
LKDOMNOO_01768	K00817
LKDOMNOO_01770	K01647
LKDOMNOO_01771	K00241
LKDOMNOO_01772	K00242
LKDOMNOO_01773	K00239
LKDOMNOO_01774	K00240
LKDOMNOO_01775	K00164
LKDOMNOO_01776	K00658
LKDOMNOO_01777	K00382
LKDOMNOO_01778	K01903
LKDOMNOO_01779	K01902
LKDOMNOO_01781	K04079
LKDOMNOO_01783	K07692
LKDOMNOO_01785	K07320
LKDOMNOO_01786	K01736
LKDOMNOO_01789	K04085
LKDOMNOO_01790	K09906
LKDOMNOO_01791	K03473
LKDOMNOO_01792	K07305
LKDOMNOO_01796	K01990
LKDOMNOO_01797	K01992
LKDOMNOO_01798	K06879
LKDOMNOO_01800	K11527
LKDOMNOO_01808	K03637
LKDOMNOO_01809	K03636
LKDOMNOO_01810	K03635
LKDOMNOO_01811	K16048
LKDOMNOO_01812	K18453
LKDOMNOO_01813	K03564
LKDOMNOO_01814	K01142
LKDOMNOO_01815	K03210
LKDOMNOO_01816	K05396
LKDOMNOO_01817	K03310
LKDOMNOO_01818	K01081
LKDOMNOO_01819	K13634
LKDOMNOO_01820	K01665
LKDOMNOO_01821	K01966
LKDOMNOO_01822	K01961
LKDOMNOO_01823	K05606
LKDOMNOO_01824	K01847
LKDOMNOO_01825	K07588
LKDOMNOO_01831	K18850
LKDOMNOO_01832	K01756
LKDOMNOO_01834	K00566
LKDOMNOO_01835	K12152
LKDOMNOO_01836	K06181
LKDOMNOO_01837	K00031
LKDOMNOO_01838	K06891
LKDOMNOO_01839	K03694
LKDOMNOO_01840	K02518
LKDOMNOO_01841	K00685
LKDOMNOO_01842	K00684
LKDOMNOO_01843	K00384
LKDOMNOO_01844	K03466
LKDOMNOO_01845	K03701
LKDOMNOO_01847	K03111
LKDOMNOO_01849	K03638
LKDOMNOO_01850	K03750
LKDOMNOO_01851	K00647
LKDOMNOO_01852	K01716
LKDOMNOO_01853	K02652
LKDOMNOO_01854	K02113
LKDOMNOO_01855	K02109
LKDOMNOO_01856	K02110
LKDOMNOO_01857	K02108
LKDOMNOO_01859	K03497
LKDOMNOO_01860	K03496
LKDOMNOO_01861	K03501
LKDOMNOO_01862	K03495
LKDOMNOO_01863	K03650
LKDOMNOO_01864	K03217
LKDOMNOO_01866	K03536
LKDOMNOO_01867	K02313
LKDOMNOO_01868	K02338
LKDOMNOO_01869	K03629
LKDOMNOO_01870	K02470
LKDOMNOO_01872	K01879
LKDOMNOO_01873	K01878
LKDOMNOO_01875	K05801
LKDOMNOO_01876	K03498
LKDOMNOO_01877	K03499
LKDOMNOO_01878	K03500
LKDOMNOO_01879	K00604
LKDOMNOO_01880	K01462
LKDOMNOO_01882	K04096
LKDOMNOO_01883	K07566
LKDOMNOO_01884	K00228
LKDOMNOO_01885	K00014
LKDOMNOO_01888	K02275
LKDOMNOO_01889	K02274
LKDOMNOO_01890	K02258
LKDOMNOO_01891	K02262
LKDOMNOO_01895	K02257
LKDOMNOO_01896	K07152
LKDOMNOO_01897	K02335
LKDOMNOO_01898	K03978
LKDOMNOO_01901	K03673
LKDOMNOO_01902	K03719
LKDOMNOO_01903	K01649
LKDOMNOO_01906	K01687
LKDOMNOO_01910	K01876
LKDOMNOO_01911	K01159
LKDOMNOO_01912	K03550
LKDOMNOO_01913	K03551
LKDOMNOO_01914	K07107
LKDOMNOO_01915	K03562
LKDOMNOO_01916	K03560
LKDOMNOO_01918	K03641
LKDOMNOO_01919	K03640
LKDOMNOO_01921	K10026
LKDOMNOO_01922	K06920
LKDOMNOO_01923	K06991
LKDOMNOO_01925	K00666
LKDOMNOO_01926	K22443
LKDOMNOO_01929	K07003
LKDOMNOO_01932	K01480
LKDOMNOO_01934	K10027
LKDOMNOO_01935	K02291
LKDOMNOO_01937	K13789
LKDOMNOO_01940	K01578
LKDOMNOO_01941	K18660
LKDOMNOO_01946	K02167
LKDOMNOO_01949	K00605
LKDOMNOO_01950	K22443
LKDOMNOO_01956	K01676
LKDOMNOO_01957	K01141
LKDOMNOO_01959	K00609
LKDOMNOO_01960	K01515
LKDOMNOO_01961	K03980
LKDOMNOO_01962	K11753
LKDOMNOO_01963	K01870
LKDOMNOO_01964	K03101
LKDOMNOO_01965	K03774
LKDOMNOO_01966	K03527
LKDOMNOO_01968	K07715
LKDOMNOO_01969	K07710
LKDOMNOO_01970	K01916
LKDOMNOO_01971	K05807
LKDOMNOO_01972	K06180
LKDOMNOO_01973	K05810
LKDOMNOO_01974	K03695
LKDOMNOO_01986	K01652
LKDOMNOO_01987	K01653
LKDOMNOO_01988	K15987
LKDOMNOO_01989	K00053
LKDOMNOO_01990	K17103
LKDOMNOO_01991	K07147
LKDOMNOO_01997	K02337
LKDOMNOO_01998	K03470
LKDOMNOO_01999	K00748
LKDOMNOO_02000	K00677
LKDOMNOO_02001	K02372
LKDOMNOO_02002	K02536
LKDOMNOO_02004	K07277
LKDOMNOO_02005	K11749
LKDOMNOO_02006	K00099
LKDOMNOO_02007	K00981
LKDOMNOO_02008	K00806
LKDOMNOO_02009	K02838
LKDOMNOO_02010	K09903
LKDOMNOO_02011	K03296
LKDOMNOO_02013	K15982
LKDOMNOO_02016	K14938
LKDOMNOO_02017	K01897
LKDOMNOO_02018	K00108
LKDOMNOO_02027	K15747
LKDOMNOO_02031	K03405
LKDOMNOO_02032	K03404
LKDOMNOO_02033	K07710
LKDOMNOO_02035	K00387
LKDOMNOO_02038	K07710
LKDOMNOO_02040	K11149
LKDOMNOO_02042	K00464
LKDOMNOO_02043	K00128
LKDOMNOO_02044	K00128
LKDOMNOO_02045	K00315
LKDOMNOO_02047	K14384
LKDOMNOO_02048	K03442
LKDOMNOO_02050	K01278
LKDOMNOO_02053	K09470
LKDOMNOO_02056	K00605
LKDOMNOO_02059	K01669
LKDOMNOO_02060	K06876
LKDOMNOO_02061	K08869
LKDOMNOO_02062	K08869
LKDOMNOO_02065	K00249
LKDOMNOO_02066	K01772
LKDOMNOO_02068	K00931
LKDOMNOO_02069	K03979
LKDOMNOO_02074	K06193
LKDOMNOO_02078	K03519
LKDOMNOO_02079	K00106
LKDOMNOO_02083	K06972
LKDOMNOO_02084	K22757
LKDOMNOO_02085	K15461
LKDOMNOO_02086	K09458
LKDOMNOO_02090	K01669
LKDOMNOO_02091	K05984
LKDOMNOO_02093	K14652
LKDOMNOO_02094	K10536
LKDOMNOO_02095	K12251
LKDOMNOO_02098	K00799
LKDOMNOO_02100	K07391
LKDOMNOO_02102	K04751
LKDOMNOO_02103	K03320
LKDOMNOO_02104	K04751
LKDOMNOO_02105	K20862
LKDOMNOO_02106	K03733
LKDOMNOO_02108	K01778
LKDOMNOO_02109	K01586
LKDOMNOO_02113	K01755
LKDOMNOO_02114	K01749
LKDOMNOO_02117	K03182
LKDOMNOO_02118	K03628
LKDOMNOO_02119	K03671
LKDOMNOO_02122	K03773
LKDOMNOO_02124	K00525
LKDOMNOO_02125	K00526
LKDOMNOO_02126	K03722
LKDOMNOO_02128	K01652
LKDOMNOO_02130	K18138
LKDOMNOO_02131	K00074
LKDOMNOO_02132	K10914
LKDOMNOO_02133	K07397
LKDOMNOO_02135	K01945
LKDOMNOO_02136	K00602
LKDOMNOO_02137	K00859
LKDOMNOO_02138	K03574
LKDOMNOO_02139	K00620
LKDOMNOO_02140	K03070
LKDOMNOO_02141	K19304
LKDOMNOO_02142	K02535
LKDOMNOO_02143	K03531
LKDOMNOO_02144	K00563
LKDOMNOO_02145	K05591
LKDOMNOO_02146	K00626
LKDOMNOO_02147	K03654
LKDOMNOO_02148	K15468
LKDOMNOO_02151	K00974
LKDOMNOO_02152	K01633
LKDOMNOO_02153	K01409
LKDOMNOO_02154	K02970
LKDOMNOO_02155	K09117
LKDOMNOO_02156	K02316
LKDOMNOO_02165	K01011
LKDOMNOO_02166	K01011
LKDOMNOO_02171	K00951
LKDOMNOO_02172	K12339
LKDOMNOO_02173	K03584
LKDOMNOO_02174	K03595
LKDOMNOO_02175	K03685
LKDOMNOO_02177	K03100
LKDOMNOO_02178	K03596
LKDOMNOO_02179	K04771
LKDOMNOO_02183	K03088
LKDOMNOO_02184	K00278
LKDOMNOO_02186	K06980
LKDOMNOO_02189	K16090
LKDOMNOO_02192	K01897
LKDOMNOO_02193	K00128
LKDOMNOO_02194	K01407
LKDOMNOO_02195	K00163
LKDOMNOO_02196	K00627
LKDOMNOO_02197	K00209
LKDOMNOO_02198	K16639
LKDOMNOO_02199	K00666
LKDOMNOO_02201	K15016
LKDOMNOO_02202	K02879
LKDOMNOO_02203	K03040
LKDOMNOO_02204	K02986
LKDOMNOO_02205	K02948
LKDOMNOO_02206	K02952
LKDOMNOO_02207	K02371
LKDOMNOO_02208	K00249
LKDOMNOO_02210	K00078
LKDOMNOO_02214	K02356
LKDOMNOO_02215	K01079
LKDOMNOO_02217	K02621
LKDOMNOO_02219	K02348
LKDOMNOO_02220	K06207
LKDOMNOO_02221	K01915
LKDOMNOO_02223	K07708
LKDOMNOO_02224	K07712
LKDOMNOO_02225	K03071
LKDOMNOO_02226	K03676
LKDOMNOO_02229	K00626
LKDOMNOO_02233	K11928
LKDOMNOO_02237	K15537
LKDOMNOO_02241	K01066
LKDOMNOO_02242	K13954
LKDOMNOO_02244	K14645
LKDOMNOO_02246	K12574
LKDOMNOO_02248	K00383
LKDOMNOO_02251	K00015
LKDOMNOO_02252	K08153
LKDOMNOO_02253	K02653
LKDOMNOO_02254	K02652
LKDOMNOO_02255	K02899
LKDOMNOO_02256	K02888
LKDOMNOO_02257	K02523
LKDOMNOO_02258	K01840
LKDOMNOO_02260	K10716
LKDOMNOO_02263	K04761
LKDOMNOO_02265	K00113
LKDOMNOO_02269	K00059
LKDOMNOO_02271	K02014
LKDOMNOO_02274	K05349
LKDOMNOO_02275	K03307
LKDOMNOO_02281	K06920
LKDOMNOO_02282	K05591
LKDOMNOO_02283	K00563
LKDOMNOO_02284	K09941
LKDOMNOO_02285	K01740
LKDOMNOO_02287	K00537
LKDOMNOO_02290	K01611
LKDOMNOO_02291	K00797
LKDOMNOO_02292	K11927
LKDOMNOO_02293	K02115
LKDOMNOO_02294	K02112
LKDOMNOO_02295	K02114
LKDOMNOO_02298	K18933
LKDOMNOO_02301	K03315
LKDOMNOO_02304	K17509
LKDOMNOO_02307	K00059
LKDOMNOO_02308	K15981
LKDOMNOO_02310	K15919
LKDOMNOO_02315	K01951
LKDOMNOO_02317	K07665
LKDOMNOO_02322	K00058
LKDOMNOO_02323	K06134
LKDOMNOO_02325	K06013
LKDOMNOO_02330	K09792
LKDOMNOO_02332	K05786
LKDOMNOO_02334	K03657
LKDOMNOO_02339	K07657
LKDOMNOO_02341	K01951
LKDOMNOO_02344	K18703
LKDOMNOO_02345	K00248
LKDOMNOO_02347	K05817
LKDOMNOO_02350	K01487
LKDOMNOO_02357	K06978
LKDOMNOO_02358	K00020
LKDOMNOO_02360	K00042
LKDOMNOO_02363	K05499
LKDOMNOO_02366	K03307
LKDOMNOO_02370	K19611
LKDOMNOO_02376	K03182
LKDOMNOO_02378	K07045
LKDOMNOO_02379	K01897
LKDOMNOO_02384	K09019
LKDOMNOO_02391	K12574
LKDOMNOO_02393	K00383
LKDOMNOO_02396	K00090
LKDOMNOO_02397	K01907
LKDOMNOO_02404	K02387
LKDOMNOO_02405	K02388
LKDOMNOO_02408	K00275
LKDOMNOO_02410	K00666
LKDOMNOO_02411	K13735
LKDOMNOO_02414	K03789
LKDOMNOO_02416	K03613
LKDOMNOO_02417	K03612
LKDOMNOO_02418	K03614
LKDOMNOO_02419	K03615
LKDOMNOO_02420	K03616
LKDOMNOO_02421	K03617
LKDOMNOO_02422	K01874
LKDOMNOO_02423	K03593
LKDOMNOO_02424	K01494
LKDOMNOO_02426	K11175
LKDOMNOO_02427	K01933
LKDOMNOO_02430	K10763
LKDOMNOO_02431	K09125
LKDOMNOO_02435	K07058
LKDOMNOO_02436	K00281
LKDOMNOO_02437	K00605
LKDOMNOO_02440	K03648
LKDOMNOO_02441	K06980
LKDOMNOO_02443	K00278
LKDOMNOO_02452	K15034
LKDOMNOO_02456	K00354
LKDOMNOO_02457	K00059
LKDOMNOO_02458	K15866
LKDOMNOO_02459	K00248
LKDOMNOO_02460	K00101
LKDOMNOO_02461	K00799
LKDOMNOO_02462	K18980
LKDOMNOO_02463	K02393
LKDOMNOO_02464	K02392
LKDOMNOO_02465	K02392
LKDOMNOO_02466	K02390
LKDOMNOO_02467	K01652
LKDOMNOO_02468	K01653
LKDOMNOO_02469	K17103
LKDOMNOO_02470	K07147
LKDOMNOO_02471	K17247
LKDOMNOO_02473	K00128
LKDOMNOO_02474	K23256
LKDOMNOO_02478	K03797
LKDOMNOO_02479	K22719
LKDOMNOO_02480	K15633
LKDOMNOO_02481	K01273
LKDOMNOO_02482	K22187
LKDOMNOO_02483	K19802
LKDOMNOO_02484	K00059
LKDOMNOO_02485	K00059
LKDOMNOO_02487	K18981
LKDOMNOO_02489	K09920
LKDOMNOO_02490	K03651
LKDOMNOO_02491	K01886
LKDOMNOO_02492	K01883
LKDOMNOO_02495	K01491
LKDOMNOO_02499	K00263
LKDOMNOO_02500	K00179
LKDOMNOO_02501	K05800
LKDOMNOO_02509	K02946
LKDOMNOO_02510	K02906
LKDOMNOO_02511	K02926
LKDOMNOO_02512	K02892
LKDOMNOO_02513	K02886
LKDOMNOO_02514	K02965
LKDOMNOO_02515	K02890
LKDOMNOO_02516	K02982
LKDOMNOO_02517	K02878
LKDOMNOO_02518	K02904
LKDOMNOO_02519	K02961
LKDOMNOO_02520	K02874
LKDOMNOO_02521	K02895
LKDOMNOO_02522	K02931
LKDOMNOO_02523	K02954
LKDOMNOO_02524	K02994
LKDOMNOO_02525	K02933
LKDOMNOO_02529	K09022
LKDOMNOO_02540	K02456
LKDOMNOO_02541	K02653
LKDOMNOO_02542	K01814
LKDOMNOO_02543	K02501
LKDOMNOO_02544	K01693
LKDOMNOO_02545	K03575
LKDOMNOO_02548	K18138
LKDOMNOO_02550	K11162
LKDOMNOO_02554	K03789
LKDOMNOO_02556	K03613
LKDOMNOO_02557	K03612
LKDOMNOO_02558	K03614
LKDOMNOO_02559	K03615
LKDOMNOO_02560	K03616
LKDOMNOO_02561	K03617
LKDOMNOO_02562	K01874
LKDOMNOO_02563	K03593
LKDOMNOO_02564	K01494
LKDOMNOO_02566	K11175
LKDOMNOO_02567	K01933
LKDOMNOO_02570	K10763
LKDOMNOO_02571	K09125
LKDOMNOO_02575	K07058
LKDOMNOO_02578	K00248
LKDOMNOO_02581	K00833
LKDOMNOO_02583	K01436
LKDOMNOO_02587	K01923
LKDOMNOO_02588	K01867
LKDOMNOO_02589	K01267
LKDOMNOO_02590	K06153
LKDOMNOO_02591	K14742
LKDOMNOO_02594	K00939
LKDOMNOO_02595	K02499
LKDOMNOO_02596	K02895
LKDOMNOO_02597	K02874
LKDOMNOO_02598	K02961
LKDOMNOO_02599	K02904
LKDOMNOO_02600	K02878
LKDOMNOO_02601	K02982
LKDOMNOO_02602	K02890
LKDOMNOO_02603	K02965
LKDOMNOO_02604	K02886
LKDOMNOO_02605	K02892
LKDOMNOO_02606	K02926
LKDOMNOO_02607	K02906
LKDOMNOO_02608	K02946
LKDOMNOO_02620	K13444
LKDOMNOO_02629	K02014
LKDOMNOO_02631	K00835
LKDOMNOO_02634	K07512
LKDOMNOO_02636	K11209
LKDOMNOO_02637	K00392
LKDOMNOO_02639	K02302
LKDOMNOO_02640	K00477
LKDOMNOO_02644	K02003
LKDOMNOO_02650	K00108
LKDOMNOO_02653	K00074
LKDOMNOO_02658	K03929
LKDOMNOO_02659	K00344
LKDOMNOO_02660	K00059
LKDOMNOO_02661	K03451
LKDOMNOO_02663	K22443
LKDOMNOO_02665	K15919
LKDOMNOO_02667	K15981
LKDOMNOO_02668	K00059
LKDOMNOO_02672	K00275
LKDOMNOO_02674	K00666
LKDOMNOO_02677	K02412
LKDOMNOO_02679	K02410
LKDOMNOO_02680	K02409
LKDOMNOO_02682	K07714
LKDOMNOO_02683	K03648
LKDOMNOO_02686	K00404
LKDOMNOO_02687	K00405
LKDOMNOO_02689	K00406
LKDOMNOO_02693	K13051
LKDOMNOO_02694	K09966
LKDOMNOO_02697	K03088
LKDOMNOO_02704	K19745
LKDOMNOO_02707	K07568
LKDOMNOO_02708	K00773
LKDOMNOO_02711	K03106
LKDOMNOO_02712	K02959
LKDOMNOO_02713	K02860
LKDOMNOO_02714	K00554
LKDOMNOO_02715	K02884
LKDOMNOO_02716	K04763
LKDOMNOO_02717	K03981
LKDOMNOO_02718	K14261
LKDOMNOO_02719	K00003
LKDOMNOO_02720	K01733
LKDOMNOO_02721	K07462
LKDOMNOO_02722	K02836
LKDOMNOO_02723	K04567
LKDOMNOO_02725	K02486
LKDOMNOO_02726	K02485
LKDOMNOO_02727	K01768
LKDOMNOO_02734	K03642
LKDOMNOO_02735	K07258
LKDOMNOO_02737	K03801
LKDOMNOO_02738	K02837
LKDOMNOO_02740	K00432
LKDOMNOO_02741	K09470
LKDOMNOO_02744	K01881
LKDOMNOO_02746	K03072
LKDOMNOO_02747	K03074
LKDOMNOO_02748	K01092
LKDOMNOO_02749	K15396
LKDOMNOO_02751	K07148
LKDOMNOO_02753	K15667
LKDOMNOO_02754	K00613
LKDOMNOO_02757	K12573
LKDOMNOO_02758	K03218
LKDOMNOO_02759	K02990
LKDOMNOO_02760	K02963
LKDOMNOO_02762	K02939
LKDOMNOO_02763	K02314
LKDOMNOO_02765	K00281
LKDOMNOO_02768	K02379
LKDOMNOO_02769	K01938
LKDOMNOO_02773	K01426
LKDOMNOO_02777	K12349
LKDOMNOO_02779	K03734
LKDOMNOO_02782	K00864
LKDOMNOO_02784	K00111
LKDOMNOO_02787	K22552
LKDOMNOO_02791	K01714
LKDOMNOO_02794	K07666
LKDOMNOO_02795	K07645
LKDOMNOO_02797	K01897
LKDOMNOO_02798	K00059
LKDOMNOO_02808	K11527
LKDOMNOO_02816	K15256
LKDOMNOO_02817	K01929
LKDOMNOO_02819	K01147
LKDOMNOO_02820	K01893
LKDOMNOO_02821	K03496
LKDOMNOO_02822	K03742
LKDOMNOO_02823	K00275
LKDOMNOO_02824	K00681
LKDOMNOO_02827	K02316
LKDOMNOO_02828	K05837
LKDOMNOO_02829	K05515
LKDOMNOO_02830	K00783
LKDOMNOO_02831	K09710
LKDOMNOO_02832	K00969
LKDOMNOO_02833	K00147
LKDOMNOO_02835	K03594
LKDOMNOO_02836	K01465
LKDOMNOO_02837	K07390
LKDOMNOO_02838	K00821
LKDOMNOO_02839	K00611
LKDOMNOO_02843	K01698
LKDOMNOO_02848	K04084
LKDOMNOO_02851	K02687
LKDOMNOO_02852	K01961
LKDOMNOO_02853	K02160
LKDOMNOO_02854	K03786
LKDOMNOO_02858	K06013
LKDOMNOO_02861	K07497
LKDOMNOO_02864	K01259
LKDOMNOO_02866	K01042
LKDOMNOO_02869	K01190
LKDOMNOO_02871	K06147
LKDOMNOO_02872	K00548
LKDOMNOO_02876	K00919
LKDOMNOO_02879	K02492
LKDOMNOO_02880	K02835
LKDOMNOO_02881	K02493
LKDOMNOO_02882	K11996
LKDOMNOO_02883	K03327
LKDOMNOO_02884	K05592
LKDOMNOO_02885	K06203
LKDOMNOO_02887	K02434
LKDOMNOO_02888	K02433
LKDOMNOO_02890	K03569
LKDOMNOO_02891	K03570
LKDOMNOO_02892	K03571
LKDOMNOO_02893	K06287
LKDOMNOO_02895	K09889
LKDOMNOO_02896	K06213
LKDOMNOO_02897	K11189
LKDOMNOO_02898	K06958
LKDOMNOO_02899	K02806
LKDOMNOO_02900	K05808
LKDOMNOO_02901	K03092
LKDOMNOO_02902	K06861
LKDOMNOO_02905	K03270
LKDOMNOO_02906	K06041
LKDOMNOO_02907	K07301
LKDOMNOO_02910	K00790
LKDOMNOO_02911	K00765
LKDOMNOO_02912	K00013
LKDOMNOO_02913	K04691
LKDOMNOO_02916	K01938
LKDOMNOO_02918	K02992
LKDOMNOO_02919	K02950
LKDOMNOO_02920	K03046
LKDOMNOO_02921	K00059
LKDOMNOO_02923	K01897
