NPBHCDIL_00005	K00285
NPBHCDIL_01774	K09458
NPBHCDIL_01775	K02078
NPBHCDIL_01776	K00346
NPBHCDIL_01777	K00347
NPBHCDIL_01778	K00348
NPBHCDIL_01779	K00349
NPBHCDIL_01780	K00350
NPBHCDIL_01781	K00351
NPBHCDIL_01783	K03734
NPBHCDIL_01785	K01265
NPBHCDIL_01787	K15633
NPBHCDIL_01789	K05995
NPBHCDIL_01792	K22468
NPBHCDIL_01793	K22468
NPBHCDIL_01795	K07462
NPBHCDIL_01796	K07056
NPBHCDIL_01798	K00857
NPBHCDIL_01803	K02335
NPBHCDIL_01806	K01673
NPBHCDIL_01808	K01920
NPBHCDIL_01809	K07003
NPBHCDIL_01813	K03701
NPBHCDIL_01820	K00652
NPBHCDIL_01821	K01738
NPBHCDIL_01822	K01354
NPBHCDIL_01824	K01620
NPBHCDIL_01826	K02836
NPBHCDIL_01829	K00790
NPBHCDIL_01833	K03654
NPBHCDIL_01834	K00604
NPBHCDIL_01835	K03530
NPBHCDIL_01836	K07735
NPBHCDIL_01837	K00826
