KNGECOPJ_00001	K11536
KNGECOPJ_01754	K18889
KNGECOPJ_01755	K03625
KNGECOPJ_01758	K00254
KNGECOPJ_01763	K03321
KNGECOPJ_01764	K18204
KNGECOPJ_01765	K08641
KNGECOPJ_01769	K00384
KNGECOPJ_01775	K01580
KNGECOPJ_01776	K16053
KNGECOPJ_01784	K03270
KNGECOPJ_01785	K06287
KNGECOPJ_01788	K03307
KNGECOPJ_01789	K17686
KNGECOPJ_01792	K00059
KNGECOPJ_01793	K01669
KNGECOPJ_01794	K01669
KNGECOPJ_01795	K06876
KNGECOPJ_01796	K01669
KNGECOPJ_01799	K00790
KNGECOPJ_01803	K03654
KNGECOPJ_01804	K00604
KNGECOPJ_01805	K03530
KNGECOPJ_01806	K07735
KNGECOPJ_01812	K13444
KNGECOPJ_01813	K01816
KNGECOPJ_01814	K15270
KNGECOPJ_01816	K06201
KNGECOPJ_01817	K02440
KNGECOPJ_01818	K18682
KNGECOPJ_01822	K04487
KNGECOPJ_01823	K00819
KNGECOPJ_01824	K03215
KNGECOPJ_01828	K07444
KNGECOPJ_01831	K17989
KNGECOPJ_01832	K03321
