PMDGCEHL_00002	K02428
PMDGCEHL_01986	K06881
PMDGCEHL_01992	K13038
PMDGCEHL_01994	K03631
PMDGCEHL_01996	K06950
PMDGCEHL_01999	K00616
PMDGCEHL_02000	K03217
PMDGCEHL_02001	K01937
PMDGCEHL_02002	K02617
PMDGCEHL_02004	K08097
PMDGCEHL_02006	K15736
PMDGCEHL_02007	K18707
PMDGCEHL_02008	K01737
PMDGCEHL_02009	K01495
PMDGCEHL_02010	K06890
PMDGCEHL_02014	K15519
PMDGCEHL_02015	K03274
PMDGCEHL_02023	K07456
PMDGCEHL_02025	K02478
PMDGCEHL_02026	K02477
PMDGCEHL_02027	K01760
PMDGCEHL_02033	K03111
PMDGCEHL_02034	K04763
PMDGCEHL_02038	K02010
PMDGCEHL_02039	K04564
PMDGCEHL_02040	K06213
PMDGCEHL_02043	K02361
PMDGCEHL_02044	K19222
