GBJFBJOC_00002	K01265
GBJFBJOC_01530	K01703
GBJFBJOC_01531	K01704
GBJFBJOC_01540	K00128
GBJFBJOC_01541	K01619
GBJFBJOC_01542	K01840
GBJFBJOC_01543	K03783
GBJFBJOC_01544	K01652
GBJFBJOC_01546	K00325
GBJFBJOC_01548	K00453
GBJFBJOC_01549	K03523
GBJFBJOC_01551	K19583
GBJFBJOC_01552	K00803
GBJFBJOC_01553	K00111
GBJFBJOC_01556	K02029
GBJFBJOC_01557	K02028
GBJFBJOC_01558	K00477
GBJFBJOC_01559	K01488
GBJFBJOC_01565	K22224
GBJFBJOC_01566	K09927
GBJFBJOC_01567	K12663
GBJFBJOC_01569	K08776
GBJFBJOC_01571	K03088
GBJFBJOC_01574	K03671
GBJFBJOC_01575	K17758
GBJFBJOC_01580	K00121
GBJFBJOC_01581	K15866
GBJFBJOC_01584	K04751
GBJFBJOC_01587	K01875
GBJFBJOC_01589	K06199
GBJFBJOC_01590	K00275
GBJFBJOC_01593	K18958
GBJFBJOC_01598	K09966
GBJFBJOC_01599	K00219
GBJFBJOC_01600	K18384
GBJFBJOC_01601	K18258
GBJFBJOC_01602	K12370
GBJFBJOC_01603	K02033
GBJFBJOC_01604	K12368
GBJFBJOC_01605	K02032
GBJFBJOC_01606	K15583
GBJFBJOC_01608	K22044
GBJFBJOC_01610	K02314
GBJFBJOC_01611	K02939
GBJFBJOC_01612	K02963
GBJFBJOC_01613	K03111
GBJFBJOC_01615	K00606
GBJFBJOC_01618	K08384
GBJFBJOC_01619	K01928
GBJFBJOC_01620	K01000
GBJFBJOC_01621	K01925
GBJFBJOC_01622	K03588
GBJFBJOC_01623	K02563
GBJFBJOC_01624	K01924
GBJFBJOC_01625	K00075
GBJFBJOC_01627	K03531
GBJFBJOC_01628	K05810
GBJFBJOC_01629	K06997
GBJFBJOC_01635	K04750
GBJFBJOC_01637	K01494
GBJFBJOC_01639	K03320
GBJFBJOC_01640	K01834
GBJFBJOC_01641	K04043
GBJFBJOC_01642	K03687
GBJFBJOC_01643	K03686
GBJFBJOC_01644	K13640
GBJFBJOC_01645	K01939
GBJFBJOC_01646	K01945
GBJFBJOC_01647	K01588
GBJFBJOC_01648	K01756
GBJFBJOC_01649	K00764
GBJFBJOC_01650	K01933
GBJFBJOC_01651	K00762
GBJFBJOC_01652	K00027
GBJFBJOC_01653	K00121
GBJFBJOC_01654	K01692
GBJFBJOC_01658	K01130
GBJFBJOC_01659	K15468
GBJFBJOC_01661	K00128
GBJFBJOC_01662	K01104
GBJFBJOC_01667	K06891
GBJFBJOC_01671	K02011
GBJFBJOC_01672	K03709
GBJFBJOC_01673	K00626
GBJFBJOC_01675	K00784
GBJFBJOC_01676	K00059
GBJFBJOC_01677	K00666
GBJFBJOC_01681	K01246
GBJFBJOC_01682	K00059
GBJFBJOC_01684	K19583
GBJFBJOC_01686	K03523
GBJFBJOC_01687	K11779
GBJFBJOC_01690	K11473
GBJFBJOC_01691	K00104
GBJFBJOC_01692	K00104
GBJFBJOC_01693	K03281
GBJFBJOC_01695	K03684
GBJFBJOC_01699	K00873
GBJFBJOC_01700	K01126
GBJFBJOC_01708	K00281
GBJFBJOC_01709	K17883
GBJFBJOC_01711	K18688
GBJFBJOC_01712	K01736
GBJFBJOC_01713	K18622
GBJFBJOC_01714	K00605
GBJFBJOC_01717	K08999
GBJFBJOC_01718	K00760
GBJFBJOC_01721	K02437
GBJFBJOC_01722	K08744
GBJFBJOC_01729	K09811
GBJFBJOC_01730	K09812
GBJFBJOC_01731	K02836
GBJFBJOC_01732	K03070
GBJFBJOC_01734	K03686
GBJFBJOC_01735	K03705
GBJFBJOC_01736	K03596
GBJFBJOC_01737	K02968
GBJFBJOC_01738	K02340
GBJFBJOC_01739	K00796
GBJFBJOC_01740	K02238
GBJFBJOC_01741	K02237
GBJFBJOC_01742	K03671
GBJFBJOC_01743	K11729
GBJFBJOC_01745	K01869
GBJFBJOC_01748	K09710
GBJFBJOC_01750	K00969
GBJFBJOC_01751	K03086
GBJFBJOC_01752	K01626
GBJFBJOC_01753	K07161
GBJFBJOC_01755	K00147
GBJFBJOC_01756	K03980
GBJFBJOC_01757	K00931
GBJFBJOC_01758	K03979
GBJFBJOC_01759	K02899
GBJFBJOC_01760	K02888
GBJFBJOC_01761	K08301
GBJFBJOC_01764	K05837
GBJFBJOC_01765	K05515
GBJFBJOC_01768	K03569
GBJFBJOC_01769	K00940
GBJFBJOC_01770	K11754
GBJFBJOC_01771	K03544
GBJFBJOC_01772	K01358
GBJFBJOC_01773	K03545
GBJFBJOC_01774	K01593
GBJFBJOC_01778	K01897
GBJFBJOC_01779	K03651
GBJFBJOC_01781	K01638
GBJFBJOC_01782	K01637
GBJFBJOC_01792	K01501
GBJFBJOC_01795	K00540
GBJFBJOC_01796	K00059
GBJFBJOC_01800	K03438
GBJFBJOC_01801	K03925
GBJFBJOC_01805	K02346
GBJFBJOC_01808	K01092
GBJFBJOC_01809	K07668
GBJFBJOC_01810	K07654
GBJFBJOC_01812	K00864
GBJFBJOC_01815	K13668
GBJFBJOC_01816	K18979
GBJFBJOC_01820	K00766
GBJFBJOC_01828	K01262
GBJFBJOC_01829	K00315
GBJFBJOC_01831	K20497
GBJFBJOC_01833	K18703
GBJFBJOC_01836	K14445
GBJFBJOC_01838	K00441
GBJFBJOC_01840	K21929
GBJFBJOC_01841	K22316
GBJFBJOC_01845	K03522
GBJFBJOC_01846	K03521
GBJFBJOC_01848	K01126
GBJFBJOC_01849	K00936
GBJFBJOC_01851	K03593
GBJFBJOC_01853	K04487
GBJFBJOC_01857	K02198
GBJFBJOC_01860	K02195
GBJFBJOC_01862	K01990
GBJFBJOC_01871	K01907
GBJFBJOC_01874	K01676
GBJFBJOC_01877	K00058
GBJFBJOC_01879	K03575
GBJFBJOC_01891	K00784
GBJFBJOC_01892	K00059
GBJFBJOC_01893	K00666
GBJFBJOC_01897	K11991
GBJFBJOC_01899	K02343
GBJFBJOC_01900	K06187
GBJFBJOC_01901	K05606
GBJFBJOC_01902	K02335
GBJFBJOC_01903	K01966
GBJFBJOC_01905	K00684
GBJFBJOC_01907	K00928
GBJFBJOC_01909	K02552
GBJFBJOC_01910	K02551
GBJFBJOC_01911	K08680
GBJFBJOC_01912	K19802
GBJFBJOC_01917	K00390
GBJFBJOC_01918	K02302
GBJFBJOC_01919	K02303
GBJFBJOC_01920	K00392
GBJFBJOC_01922	K20497
