LJLJMBLE_00003	K14157
LJLJMBLE_01770	K02005
LJLJMBLE_01771	K12340
LJLJMBLE_01772	K14742
LJLJMBLE_01773	K03442
LJLJMBLE_01774	K07056
LJLJMBLE_01775	K07397
LJLJMBLE_01776	K07462
LJLJMBLE_01780	K03269
LJLJMBLE_01781	K01737
LJLJMBLE_01786	K01893
LJLJMBLE_01787	K01893
LJLJMBLE_01788	K03092
LJLJMBLE_01789	K03503
LJLJMBLE_01790	K03502
LJLJMBLE_01791	K16089
LJLJMBLE_01793	K16089
LJLJMBLE_01796	K00262
LJLJMBLE_01803	K00942
LJLJMBLE_01804	K00969
LJLJMBLE_01806	K09808
LJLJMBLE_01807	K02834
LJLJMBLE_01808	K05606
LJLJMBLE_01822	K06889
LJLJMBLE_01824	K04659
LJLJMBLE_01826	K04564
LJLJMBLE_01827	K00764
LJLJMBLE_01829	K03469
LJLJMBLE_01830	K11175
