GPLBGAJO_00002	K05884
GPLBGAJO_02223	K05592
GPLBGAJO_02225	K03437
GPLBGAJO_02227	K23010
GPLBGAJO_02228	K01586
GPLBGAJO_02231	K00384
GPLBGAJO_02240	K16089
GPLBGAJO_02244	K10859
GPLBGAJO_02245	K03305
GPLBGAJO_02246	K03305
GPLBGAJO_02247	K01278
GPLBGAJO_02248	K00104
GPLBGAJO_02249	K13963
GPLBGAJO_02250	K03695
GPLBGAJO_02252	K01284
GPLBGAJO_02254	K21703
GPLBGAJO_02258	K00812
GPLBGAJO_02259	K03272
GPLBGAJO_02260	K00554
GPLBGAJO_02261	K02860
GPLBGAJO_02262	K02959
GPLBGAJO_02273	K01937
GPLBGAJO_02274	K00979
GPLBGAJO_02275	K00658
GPLBGAJO_02278	K02440
GPLBGAJO_02287	K03555
GPLBGAJO_02291	K00029
GPLBGAJO_02296	K01952
GPLBGAJO_02299	K00248
GPLBGAJO_02300	K03530
GPLBGAJO_02304	K00632
GPLBGAJO_02305	K07516
GPLBGAJO_02307	K00789
GPLBGAJO_02308	K00820
GPLBGAJO_02310	K11381
GPLBGAJO_02313	K15789
GPLBGAJO_02314	K09164
GPLBGAJO_02317	K01354
GPLBGAJO_02320	K00428
GPLBGAJO_02328	K19423
GPLBGAJO_02336	K03606
GPLBGAJO_02344	K01465
GPLBGAJO_02348	K09117
GPLBGAJO_02364	K15537
GPLBGAJO_02365	K03315
GPLBGAJO_02369	K07038
GPLBGAJO_02370	K06867
GPLBGAJO_02371	K03704
