LLFADLJE_00001	K02371
LLFADLJE_01929	K02428
LLFADLJE_01931	K02015
LLFADLJE_01932	K02013
LLFADLJE_01935	K02340
LLFADLJE_01938	K07116
LLFADLJE_01939	K09874
LLFADLJE_01943	K03790
LLFADLJE_01945	K22205
LLFADLJE_01946	K06217
LLFADLJE_01947	K01923
LLFADLJE_01951	K06147
LLFADLJE_01953	K07680
LLFADLJE_01959	K07056
LLFADLJE_01963	K03932
LLFADLJE_01966	K05592
LLFADLJE_01972	K16167
LLFADLJE_01973	K13237
LLFADLJE_01975	K09458
LLFADLJE_01979	K05847
LLFADLJE_01991	K07444
LLFADLJE_01994	K03654
LLFADLJE_01995	K03118
LLFADLJE_01997	K06861
LLFADLJE_01998	K17103
LLFADLJE_01999	K07019
LLFADLJE_02014	K02437
LLFADLJE_02016	K03550
LLFADLJE_02017	K00029
LLFADLJE_02021	K03635
LLFADLJE_02023	K02888
